updated_publication,publication,updated_DOI,DOI,ID_PUB
"Jolly, D., Bonnefille, R., Burcq, S. and Roux, M., 1996. Représentation pollinique de la foręt dense humide du Gabon, tests statistiques. Comptes rendus de l'Académie des sciences. Série 2. Sciences de la terre et des plančtes, 322(1), pp.63-70.; Lebamba, J., Vincens, A., Jolly, D., Ngomanda, A., Schevin, P., Maley, J. and Bentaleb, I. and REGAB members, 2009. Modern pollen rain in savanna and forest ecosystems of Gabon and Cameroon, Central Atlantic Africa. Review of Palaeobotany and Palynology, 153(1-2), pp.34-45.","Jolly, D., R. Bonnefille, S. Burcq, and M. Roux. 1996. Représentation pollinique de la forêt dense humide du Gabon, tests statistiques. Comptes rendus de l'Académie des sciences. Série II a, Sciences de la terre et des planètes 322(1):63-70; Lebamba, J., A. Vincens, D. Jolly, A. Ngomanda, P. Schevin, J. Maley, I. Bentaleb, and REGAB members. 2009. Modern pollen rain in savanna and forest ecosystems of Gabon and Cameroon, Central Atlantic Africa. Review of Palaeobotany and Palynology 153(1-2):34-45. [DOI: 10.1016/j.revpalbo.2008.06.004]",;\n10.1016/j.revpalbo.2008.06.004,10.1016/j.revpalbo.2008.06.004,1
"Julier, A.C.M., Jardine, P.E., Adu-Bredu, S., Coe, A.L., Duah-Gyamfi, A., Fraser, W.T., Lomax, B.H., Malhi, Y., Moore, S., Owusu-Afriyie, K. and Gosling, W.D., 2018. The modern pollen–vegetation relationships of a tropical forest–savannah mosaic landscape, Ghana, West Africa. Palynology 42(3), pp.324-338.","Julier, A.C.M., P.E. Jardine, S. Adu-Bredu, A.L. Coe, A. Duah-Gyamfi, W.T. Fraser, B.H. Lomax, Y. Malhi, S. Moore, K. Owusu-Afriyie, and W.D. Gosling. 2018. The modern pollen–vegetation relationships of a tropical forest–savannah mosaic landscape, Ghana, West Africa. Palynology 42(3):324-338. [DOI: 10.1080/01916122.2017.1356392]",10.1080/01916122.2017.1356392,10.1080/01916122.2017.1356392,2
"Julier, A.C.M., Jardine, P.E., Adu-Bredu, S., Coe, A.L., Fraser, W.T., Lomax, B.H., Malhi, Y., Moore, S. and Gosling, W.D., 2019. Variability in modern pollen rain from moist and wet tropical forest plots in Ghana, West Africa. Grana, 58(1), pp.45-62.","Julier, A.C.M., P.E. Jardine, S. Adu-Bredu, A.L. Coe, W.T. Fraser, B.H. Lomax, Y. Malhi, S. Moore, and W.D. Gosling. 2019. Variability in modern pollen rain from moist and wet tropical forest plots in Ghana, West Africa. Grana 58(1):45-62. [DOI: 10.1080/00173134.2018.1510027]",10.1080/00173134.2018.1510027,10.1080/00173134.2018.1510027,3
