"site_name","entity_name","longitude","latitude","elevation","mi","gdd0","mat","mtco","mtwa"
"05-Mo","05-Mo",102.667317,46.932097,1632,0.31144968364918796,1959.2512217300364,-0.18129532906025744,-17.876668772763,15.45286908339518
"05-Mo","05-Mo-10",102.66972,46.93229,1630,0.31142298334476076,1960.9274386600152,-0.1743814595490596,-17.87502284833696,15.462078053988963
"05-Mo","05-Mo-11",101.73172,46.7017,2072,0.2946478276967484,1636.145175392231,-1.7938256051612511,-18.84067381376236,13.69217841729886
"05-Mo","05-Mo-12",101.73197,46.70199,2075,0.29502655577511955,1632.4390780802507,-1.8144795025633085,-18.859174958746188,13.671024538643637
"05-Mo","05-Mo-13",101.76215,46.60724,2275,0.32199189225558517,1407.5548346740343,-2.9789800046793466,-19.648004721781255,12.340109760283596
"05-Mo","05-Mo-14",101.783333,46.616667,2250,0.31926428717133454,1435.0791142618868,-2.819800090363546,-19.511740102089146,12.504932151665306
"05-Mo","05-Mo-15",101.76854,46.58325,2253,0.31865776882056274,1434.8712215473631,-2.822373957159818,-19.514666655754482,12.504683229189203
"05-Mo","05-Mo-16",101.7684,46.56656,2307,0.3251204713498462,1374.8347153341965,-3.164331683937842,-19.795951807662238,12.14242933711212
"05-Mo","05-Mo-17",101.81228,46.54566,2428,0.3408314151713631,1241.539715803865,-3.9345320834318356,-20.415341928910586,11.316377968404646
"05-Mo","05-Mo-18",101.81229,46.5467,2428,0.34084166654447157,1241.5006110286517,-3.9347958910359515,-20.415620078666734,11.316129461918765
"05-Mo","05-Mo-19",101.79383,46.56224,2372,0.3335784771949847,1302.407562615412,-3.579827814062575,-20.130702790724484,11.697059061306543
"05-Mo","05-Mo-2",105.34145,47.87225,1010,0.44414753770460885,2156.27529086029,-0.7295094964532304,-22.099129435727743,17.121321839645482
"05-Mo","05-Mo-20",101.78783,46.56683,2345,0.3301176211554479,1332.1837532383222,-3.4075029072517693,-19.99086377199869,11.881054507909267
"05-Mo","05-Mo-21",101.72487,46.66208,2095,0.29559965086139434,1614.9494381685638,-1.9145886494353737,-18.94926731194673,13.573206725881812
"05-Mo","05-Mo-22",101.70857,46.9832,2096,0.3237163767901739,1511.4630449090807,-2.5065914996679717,-19.556987847255854,12.951970109221355
"05-Mo","05-Mo-23",101.40531,46.97522,2670,0.3474597051402211,1017.7920769526771,-5.732814525397647,-22.720996667257477,9.918490943124675
"05-Mo","05-Mo-24",101.89296,47.4609,1537,0.36411069984133737,1826.307485140711,-0.8623621247293501,-18.557278092872217,14.694875518185434
"05-Mo","05-Mo-25",101.88412,47.47089,1532,0.36451727827804487,1828.85286784063,-0.8501854435833335,-18.551233846520365,14.708822075751529
"05-Mo","05-Mo-26",101.97708,47.43848,1535,0.36303354306795166,1834.5995515553116,-0.827926486861449,-18.549986395139644,14.741297918134725
"05-Mo","05-Mo-27",102.36217,47.61116,1363,0.37105883400634776,1967.7169647745873,-0.4087181222165588,-18.83189321866192,15.52062814929833
"05-Mo","05-Mo-28",102.35659,47.6308,1356,0.37192811338755594,1971.0948312378616,-0.39831610313669374,-18.84097475068075,15.540093410736477
"05-Mo","05-Mo-29",102.53748,47.63668,1360,0.3719808642109478,1970.6262225614287,-0.4347821481752743,-18.943459924480152,15.550002927265476
"05-Mo","05-Mo-3",105.34437,47.86954,1010,0.4440844911784436,2156.1641027134683,-0.7301952712375456,-22.099998971144842,17.12078829256514
"05-Mo","05-Mo-30",102.63051,47.78021,1330,0.3945463742017242,1953.098462416644,-0.6771486469450341,-19.532630293126292,15.524982640513583
"05-Mo","05-Mo-31",102.63051,47.78021,1330,0.3945463742017242,1953.098462416644,-0.6771486469450341,-19.532630293126292,15.524982640513583
"05-Mo","05-Mo-32",102.72832,47.7762,1341,0.39465568304552756,1944.5968486876416,-0.7231087816766095,-19.56976539502481,15.480805164240554
"05-Mo","05-Mo-33",103.24567,47.88108,1173,0.42564203025470987,2012.6319635784303,-0.7583114002628433,-20.449493246948194,16.008763159393236
"05-Mo","05-Mo-34",103.24902,47.87952,1174,0.4254565697728297,2012.2002386561849,-0.7589727044633995,-20.44614497669492,16.005961102536535
"05-Mo","05-Mo-35",103.24377,47.88106,1178,0.42497412956208364,2010.3652259531823,-0.7622953863666312,-20.435032427108577,15.99394850317814
"05-Mo","05-Mo-36",104.26,47.833,945,0.4559151975558712,2132.556575176299,-0.7358208143925258,-21.767166487122992,16.949002043250996
"05-Mo","05-Mo-38",104.53616,46.79178,1444,0.27819114617009416,2181.619803996963,0.3125415702316601,-18.709335901644973,16.969748614603887
"05-Mo","05-Mo-4",104.52634,47.22123,1334,0.3137825435387559,2126.587329542964,-0.13335379491991742,-19.543448497368026,16.718549793818987
"05-Mo","05-Mo-5",104.62803,47.13825,1355,0.3055666509962105,2138.6883614048756,-0.05370985575993721,-19.412456477270492,16.785492852370492
"05-Mo","05-Mo-8",102.66872,46.9329,1631,0.3114705394097369,1959.9567010520673,-0.17858467513747303,-17.876683949460986,15.45675452834182
"05-Mo","05-Mo-9",102.67046,46.93202,1630,0.3114059413625359,1960.9964705003724,-0.17408569397654944,-17.874871612745913,15.46248375989591
"Achit Nuur. 39A","Achit Nuur. 39A",90.65145,49.45996,1435,0.27949392192978734,1983.7650146754756,-2.567404316954226,-25.50065682471466,16.012843171677343
"Airag Nuur. 20A","Airag Nuur. 20A",93.36395,48.91845,1034,0.2434370644344367,2539.576225618379,-0.6334932134075183,-25.49727830321784,19.097089517143797
"Alpine Khar Nuur. 33A","Alpine Khar Nuur. 33A",90.04732,48.38331,2510,0.28454169700041493,1085.9743045104221,-6.605933691243521,-26.467909426819038,10.433174567851273
"Aral2 Nuur. 30A","Aral2 Nuur. 30A",90.62551,48.50601,2375,0.2674038399686112,1209.9001350882916,-6.0480026249360685,-26.539650617276376,11.257818279539391
"Baga Nuur IV. 53A","Baga Nuur IV. 53A",93.84221,49.92132,983,0.4027860528523545,2416.0689851745715,-1.5786917796472908,-26.760496496477792,18.557254268454866
"Baga Nuur. 41A","Baga Nuur. 41A",90.80414,49.50642,1543,0.29621104913899693,1885.5654510802767,-3.086452800919757,-25.88968174849286,15.467082389629528
"Baga Nuur. 50A","Baga Nuur. 50A",92.89125,50.01905,762,0.38542670146562985,2648.120722373842,-0.3905113862157928,-25.664283267622846,19.79131073604303
"Baga Nuur. 9A","Baga Nuur. 9A",95.97118,48.43189,1988,0.2959033605252881,1489.263969100089,-5.183542710427775,-26.8947767604245,13.125655919362547
"Baikel Lake","Baikel Lake",105.87,52.08,130,0.5579715128802697,2609.9565394129936,1.0396196516104437,-21.518465980850053,20.593363940032187
"Bayan Nuur II. 36B","Bayan Nuur II. 36B",90.91627,48.8449,1576,0.2263902256033297,1955.4511774442863,-2.663072715092068,-25.58967088894337,15.811351410645008
"Bayan Nuur III. 52A","Bayan Nuur III. 52A",93.95314,49.98291,930,0.41247908019978696,2467.559521936688,-1.3431269046803536,-26.59702902103354,18.84063246646507
"Bayan Nuur. 12B","Bayan Nuur. 12B",95.17352,48.46182,1518,0.22754584144065865,2078.1606554093205,-2.4989030221696282,-25.813990184972322,16.533353482915057
"Bosten Lake","Bosten Lake",86.55,41.97,1050,0.06908202386761383,4515.8381833216035,10.994790779036531,-7.667549413882,25.41083051122015
"Buvst Nuur. 6A","Buvst Nuur. 6A",97.42161,49.15466,2218,0.36889946105755905,1185.8296853832403,-7.231970472688047,-29.254802096664477,11.283842149198906
"Chagan-P. S","Chagan-P. S-2",99.742222,48.173611,2061,0.3357652173023873,1319.948963159721,-5.186787126726948,-25.213434113964645,12.007483467495108
"Chaiwopu Lake","Chaiwopu Lake",87.78,43.55,1100,0.12982769377575132,3630.696849373308,6.860918389030911,-12.813393016231634,23.236999694759046
"Changjiang River","Changjiang River_1998",120.23,32.25,6,0.960523196800785,5527.029886577676,15.142547634459385,2.3675365798030614,27.408212944221415
"Daba Nur Lake","Daba Nur Lake",98.79,48.2,2465,0.34051817284359354,1003.3402925663371,-7.509611547103355,-27.74937711168871,9.961064784239824
"Dahu Lake_DW","Dahu Lake_DW",115.035,24.255,250,1.4341106184917753,7527.192988493879,20.622446543818846,11.690443335060747,27.924796707280134
"Daihai Lake_2004","Daihai Lake_2004 1",112.67,40.58,1220,0.3763979286335589,3143.240988903727,5.88451953990762,-11.580494466132528,20.83196294380327
