"source","site_name","entity_name","latitude","longitude","elevation","basin_size","site_type","entity_type","age_BP","notes","publication","doi","ID_BIOME","ID_SAMPLE","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150","T151","T152","T153","T154","T155","T156","T157","T158","T159","T160","T161","T162","T163","T164","T165","T166","T167","T168","T169","T170","T171","T172","T173","T174","T175","T176","T177","T178","T179","T180","T181","T182","T183","T184","T185","T186","T187","T188","T189","T190","T191","T192","T193","T194","T195","T196","T197","T198","T199","T200","T201","T202","T203","T204","T205","T206","T207","T208","T209","T210","T211","T212","T213","T214","T215","T216","T217","T218","T219","T220","T221","T222","T223","T224","T225","T226","T227","T228","T229","T230","T231","T232","T233","T234","T235","T236","T237","T238","T239","T240","T241","T242","T243","T244","T245","T246","T247","T248","T249","T250","T251","T252","T253","T254","T255","T256","T257","T258","T259","T260","T261","T262","T263","T264","T265","T266","T267","T268","T269","T270","T271","T272","T273","T274","T275","T276","T277","T278","T279","T280","T281","T282","T283","T284","T285","T286","T287","T288","T289","T290","T291","T292","T293","T294","T295","T296","T297","T298","T299","T300","T301","T302","T303","T304","T305","T306","T307","T308","T309","T310","T311","T312","T313","T314","T315","T316","T317","T318","T319","T320","T321","T322","T323","T324","T325","T326","T327","T328","T329","T330","T331","T332","T333","T334","T335","T336","T337","T338","T339","T340","T341","T342","T343","T344","T345","T346","T347","T348","T349","T350","T351","T352","T353","T354","T355","T356","T357","T358","T359","T360","T361","T362","T363","T364","T365"
"Neotoma","Ras El Ma   ","REM core",33.473611,-5.138611,1633,"not recorded","marsh","core top",-50,"according to original article core top = -50, but age = 201 in Neotoma","El Bait, M.N., Rhoujjati, A., Eynaud, F., Benkaddour, A., Dezileau, L., Wainer, K., Goslar, T., Khater, C., Tabel, J. and Cheddadi, R., 2014. An 18 000‐year pollen and sedimentary record from the cedar forests of the Middle Atlas, Morocco. Journal of Quaternary Science, 29(5), pp.423-432.","10.1002/jqs.2708",20,1,1.4213790324599391,1.4125987200180496,1.40597074733906,1.401502031746724,1.3992071876628192,1.3991084421745876,1.4012354294020835,1.4056248621961416,1.412320081928344,1.4213704895355246,1.4328308634978488,1.44676057299671,1.4632226970434268,1.482283062813707,1.5040092186848923,1.52846935947275,1.5557312230256588,1.5858609785879927,1.6189221281331911,1.6549744421466566,1.6940729510812227,1.7362670129036482,1.7815994758082723,1.8301059533217732,1.8818142267068338,1.9367437868555912,1.9949055248229772,2.056301576873854,2.1209253265024257,2.1887615624275703,2.259786788173483,2.333969675607159,2.4031445172982338,2.4672697223600615,2.5263014362323526,2.5801943260097544,2.628902380128627,2.672379705842854,2.710581308436044,2.743463837010154,2.770986282915353,2.793110618391656,2.809802364724054,2.8210310811125425,2.826770767469481,2.827000176424766,2.821703031893269,2.810868153592497,2.794489488850241,2.772566054875902,2.745101796354222,2.71210536472986,2.6735898268634775,2.6295723118364243,2.5800736055468234,2.5251177033634926,2.4647313314777453,2.398943447712599,2.3277847324145116,2.251287079669717,2.1789379488159786,2.1107662375864167,2.04679673702246,1.9870498263151781,1.9315412612779395,1.8802820575062305,1.8332784669990996,1.7905320448170816,1.7520398002980397,1.7177944255054725,1.6877845919976557,1.6619953057259207,1.6404083089312285,1.6230025173326907,1.6097544806992587,1.6006388550623691,1.595628875345423,1.594696818025524,1.5978144445626679,1.604953417681077,1.616085684109004,1.631183819014936,1.650221329055692,1.673172912612038,1.7000146773697533,1.7307243168536806,1.7652812487912208,1.8036667192306952,1.845863877139295,1.8918578247353182,1.9416356490608615,1.9880236280994528,2.0310148789946685,2.0706065251517356,2.106799648912792,2.1395992214298896,2.169014012845564,2.195056485068344,2.217742668515795,2.2370920232354847,2.253127283852695,2.265874286882986,2.2753617781386852,2.2816211973005154,2.2846864362657273,2.2845935676634777,2.281380539981231,2.2750868360973406,2.2657530926782163,2.2534206788739075,2.2381312340194786,2.2199261655920886,2.1988461104406616,2.1749303642372855,2.1482162861247405,2.118738687569192,2.086529216379634,2.0516157486299518,2.0140218027189927,1.973765990936335,1.930861524582806,1.888934055330516,1.847985050901659,1.8080098173167656,1.768997363135395,1.730930383075675,1.6937853691518447,1.6575328542271897,1.6221377892643944,1.5875600516831474,1.5537550782384255,1.5206746118554908,1.4882675480475531,1.4564808630465604,1.4252606027366155,1.3945529090196802,1.3643050584722336,1.334466487153113,1.304989775252869,1.275831565958698,1.2469533944393099,1.2183224051911488,1.1899119390601214,1.1617019749612605,1.1336794155373044,1.105838210580291,1.0781793168275722,1.050710497566454,1.0234459701696133,0.9964059140713366,0.9696158556291076,0.9431059496604117,0.9168267784121393,0.8908133696688247,0.8651009449420715,0.8397240998143826,0.8147160379386533,0.7901078796228611,0.7659280630054716,0.7422018523435759,0.7189509640286276,0.6961933167637051,0.673942908038854,0.6522098147859097,0.6310003120347543,0.6103170996716862,0.5901596241433584,0.5705244792614945,0.5514058682245322,0.5327961076356333,0.5146861536869333,0.4970661307938473,0.4799258437698664,0.46325525607557644,0.44704491867785034,0.4312863365205283,0.41597226242731383,0.40109691131343944,0.38665609075383467,0.37264724712242553,0.3590694295663181,0.34592317690666263,0.33325794439691603,0.3210774737159095,0.3093871034307165,0.2981934262235473,0.28750391559998734,0.2773265357318808,0.26766934789090324,0.25854012631537504,0.24994599537362333,0.24189309860161895,0.23438630866592744,0.22742898560314087,0.22102278888156024,0.21516754698472687,0.20986118638905685,0.20509972005197855,0.2008772938871125,0.1971862882147588,0.19401746986580237,0.19136018950279457,0.18920261781300665,0.1875320135270806,0.18633501572003144,0.18559795255068195,0.18530715847977527,0.18544929206271074,0.18601164662586783,0.1869824464916804,0.18835112190345996,0.19010855640390475,0.1922473011297481,0.19479672164292072,0.19775344789477267,0.20111642601114457,0.20488694470642987,0.20906860633955443,0.21366724358536388,0.21869078400843484,0.22414906611205831,0.23005361166448035,0.23641736024673182,0.24325437298950406,0.25057951333802114,0.2584081133720191,0.2667556346831531,0.2756373330485205,0.2850679361157918,0.29506134301875525,0.3056303542660758,0.3167864393942194,0.32853954876136165,0.3408979745067689,0.3538682641441764,0.3674551885425893,0.3816617642270518,0.39648932806597786,0.4119376605665512,0.428005152244369,0.44468900593693045,0.461985466559073,0.4798900687126801,0.4983978918150163,0.5165384505600097,0.5343064519254144,0.5516966516635695,0.5687040428438965,0.5853240069413119,0.6015524210783572,0.6173857169487932,0.6328208890863262,0.6478554524120831,0.6624873513089944,0.676714824736811,0.69053623402423,0.7039498618642557,0.7169536926126119,0.7295451851747694,0.7417210505072617,0.7534770460124287,0.7648077988505204,0.7757066694271746,0.7861656650562828,0.7961754120869111,0.8057251926759987,0.8148030499607035,0.8233959627244318,0.8314900878585665,0.8390710661046028,0.8461243838286157,0.8526357810400688,0.8585916936227309,0.8639797158896392,0.8703049011505317,0.8775582494941111,0.8857329643612435,0.8948248274247177,0.904832510101695,0.915757808794394,0.9276057931859117,0.940384859573246,0.9541066842078283,0.9687860748310231,0.9844407219239897,1.0010908545188724,1.018758808621247,1.0374685192562088,1.0572449497647325,1.0781134741482992,1.1000992299100556,1.1232264599113821,1.1475178622171691,1.1729939667281144,1.199672556604566,1.2275681511076628,1.2566915645753696,1.2870495538880988,1.3186445640519135,1.3514745785394413,1.385533077890367,1.4208091068980642,1.457287447608629,1.4949488924387848,1.5337706090750736,1.5707286922231622,1.60579680382638,1.6389488159037078,1.6701593558104872,1.6994043453771295,1.7266615202140976,1.7519109164133457,1.7751353131761163,1.7963206214863683,1.815456210752704,1.832535167280393,1.8475544804304314,1.8605151542996077,1.8714222446465283,1.8802848225348778,1.887115867720114,1.8919320961346364,1.8947537269079289,1.8956041951837206,1.8945098175689918,1.8914994173837898,1.886603916998816,1.8798559044790775,1.8712891815302461,1.860938299405953,1.8488380890151213,1.8350231910032873,1.8195275911016193,1.8023841655689439,1.7836242411166563,1.7654490299284897,1.7478824579080705,1.7309426988932242,1.7146419315523638,1.6989861767535623,1.6839752155993273,1.669602587424335,1.6558556662529411,1.642715813506709,1.630158604135161,1.6181541228076897,1.6066673263413822,1.595658468136305,1.5850835800332665,1.574895006685108,1.5650419872267833,1.5554712787281426,1.5461278156040992,1.5369553988294429,1.5278974084525987,1.5188975325205736,1.5099005051167014,1.500852845779101,1.491703592121634,1.4824050170362644,1.4729133214371173,1.4631892931374504,1.4531989221605461,1.442913962606023,1.432312431157611
"Neotoma","Aansser peat bog","ANS core",35.0175,-4.992778,1342,"not recorded","peat bog","core top",43,,"Cheddadi, R., Henrot, A.J., François, L., Boyer, F., Bush, M., Carré, M., Coissac, E., De Oliveira, P.E., Ficetola, F., Hambuckers, A. and Huang, K., Lezine, A.M., Nourelbait, M., Rhoujjati, A., Taberlet, P., Sarmiento, F., Abel-Schaad, D., Alba-Sánchez, F., Zheng, Z., 2017. Microrefugia, climate change, and conservation of Cedrus atlantica in the Rif Mountains, Morocco. Frontiers in Ecology and Evolution, 5, p.114.; 
Cheddadi, R., Nourelbait, M., Bouaissa, O., Tabel, J., Rhoujjati, A., López-Sáez, J.A., Alba-Sánchez, F., Khater, C., Ballouche, A., Dezileau, L. and Lamb, H., 2015. A history of human impact on Moroccan mountain landscapes. African Archaeological Review, 32(2), pp.233-248.","10.3389/fevo.2017.00114;
10.1007/s10437-015-9186-7",4,2,1.5862415922237525,1.5807998207518,1.5769346083138387,1.574652756430172,1.573967377241788,1.5748977911864332,1.5774693307210181,1.5817130495079823,1.5876653381083856,1.5953674489804786,1.60486493542964,1.6162070110464608,1.6294458380501875,1.6446357547662047,1.661832454147664,1.6810921267420138,1.702470582745137,1.726022368726481,1.7517998952037663,1.7798525914612542,1.8102261038193148,1.8429615529665841,1.8780948649651747,1.915656189154356,1.9556694144426996,1.998151793439651,2.0431136815920747,2.0905583960256173,2.1404821962164933,2.1928743860114603,2.2477175339470605,2.304987806365562,2.3583200356166047,2.407681735978741,2.453038307159192,2.4943536356319598,2.531590711397649,2.5647122477102364,2.5936812916496255,2.6184618140334486,2.639019268024441,2.655321106863724,2.6673372524044594,2.675040507492637,2.6784069067004053,2.677416001422053,2.672051076855934,2.662299299882971,2.648151798283343,2.6296036730803722,2.606653947041611,2.5793054534813553,2.5475646704797397,2.5114415064470115,2.4709490436061525,2.426103246434117,2.3769226423853853,2.3234279823186266,2.2656418879585867,2.2035884934554915,2.1450210232055573,2.089962347990205,2.038432627434205,1.9904490785556292,1.9460258080698232,1.905173708926403,1.8679004199443883,1.8342103458725774,1.8041047337885772,1.7775818005046218,1.7546369046108121,1.7352627559880494,1.719449655086699,1.7071857540059632,1.6984573314252847,1.6932490737247752,1.69154435516784,1.6933255107777656,1.6985740964845681,1.7072711322058578,1.7193973247081202,1.7349332683223821,1.7538596228098993,1.7761572688401688,1.8018074426095083,1.8307918520533288,1.8630927778549553,1.8986931630021764,1.9375766949713977,1.979727884718564,2.025132146524805,2.067437429744792,2.106633261691959,2.142712367051444,2.175670721916403,2.2055075912660955,2.23222555070675,2.2558304925679815,2.27633161566748,2.293741397262612,2.308075544940152,2.3193529254976477,2.3275954672855166,2.332828032050821,2.335078252092386,2.3343763285384247,2.330754786821752,2.3242481859749873,2.3148927792092655,2.302726124373039,2.287786644297262,2.270113138689628,2.249744251099286,2.2267178964760364,2.2010706569232106,2.1728371553094132,2.1420494183712733,2.1087362427134444,2.072922578598792,2.034628947531096,1.9938709102827665,1.9539195039637232,1.9147790095307495,1.876447571503029,1.838917028451668,1.8021728672143742,1.7661943090678576,1.730954532728114,1.6964210353204376,1.6625561284853407,1.6293175626977612,1.5966592688198982,1.5645322020324919,1.5328852697439692,1.5016663220027686,1.4708231804629674,1.4403046801853512,1.410061697579545,1.3800481376634621,1.3502218545587474,1.3205454807468051,1.290987143037807,1.2615210463812871,1.2321279104683747,1.202795248413427,1.1735174815071123,1.1442958889388384,1.115138396320547,1.0860592116310914,1.057078321670996,1.0282208661136667,0.9995164096218387,0.9711238062320884,0.9430772267676537,0.9154109765773342,0.8881586746167133,0.8613524885988237,0.8350224474992368,0.8091958496425574,0.7838967809649547,0.7591457539827435,0.7349594736566218,0.7113507318894289,0.6883284279978248,0.6658977083154167,0.6440602142650711,0.6228144249126927,0.6021560772926217,0.5820786457589922,0.5625738603224035,0.5436322434015026,0.525243644649036,0.5073977544671868,0.49008457844658343,0.47329485716308617,0.457020418443168,0.4412544522449664,0.4259917015715341,0.41122856620545145,0.3969631194013834,0.3831950408737319,0.36992547235962797,0.357041862429731,0.3445484342889617,0.33245091927094195,0.32075619259095445,0.3094718836284114,0.2986059752991016,0.2881664066727551,0.2781606921358999,0.2685955691524127,0.2594766851036322,0.2508083318721534,0.24259323484742062,0.23483240095579633,0.22752502822844176,0.22066847738677423,0.21425830400896934,0.208288348093784,0.20275087630092534,0.19763677085012077,0.19293575802268415,0.18863666843792906,0.1847277207709753,0.18119682032884055,0.17803186389211217,0.1752210424388181,0.1727531337708799,0.17061777763541547,0.16880572664635363,0.1673090671401698,0.16612140501833458,0.16523801261554566,0.16482475550278194,0.16488067096807127,0.16540680064458016,0.16640615131725356,0.16788360736038246,0.1698457975757046,0.1723009202969702,0.17525853164714186,0.17872930275879248,0.18272475257616477,0.18725696352744792,0.19233828786666995,0.197981052815391,0.20419727276592528,0.2109983767237342,0.2183949588545771,0.2263965594550159,0.23501148288254997,0.2442466579712912,0.25410754523644297,0.26459809376065924,0.27572074909146554,0.28747651180383876,0.29986504464616387,0.31288482444805865,0.3265333332866306,0.3408072818478756,0.3557028565464013,0.3712159808410429,0.38734258036229063,0.4040788409974603,0.4206650928587788,0.4370983414432608,0.45337609140475266,0.46949648613644746,0.4854583998306645,0.5012614766809664,0.5169061140266004,0.5323933885749594,0.5477249272880531,0.5629027269896039,0.57792892914169125,0.5928055584546056,0.6075342359351847,0.6221158785593982,0.6365503988979633,0.6508364186680831,0.664971010286826,0.6789494800395942,0.6927652054498834,0.7064095378661409,0.7198717792124331,0.733139239347444,0.7461973776258,0.7590300291576799,0.7716197130304313,0.7839480165109765,0.795996046115018,0.8077449335320293,0.8191763818506855,0.8302732354436787,0.8421867788196292,0.8549038804654103,0.8684142342488234,0.8827108149988914,0.897790254767344,0.9136531249426608,0.9303041121096599,0.9477520787485074,0.9660100034390018,0.9850947990553433,1.0050270113688424,1.0258304043809425,1.0475314424462416,1.0701586826797547,1.093742094150064,1.1183123228314193,1.1438999231343252,1.1705345779902778,1.1982443298926002,1.2270548449799925,1.256988731208539,1.2880649299346314,1.320298197894087,1.3536986937022988,1.3882716797254426,1.4240173466064032,1.4609307640022513,1.4990019573371813,1.5382161067274924,1.5785538608177108,1.6199917551905076,1.659501087321333,1.6970539327011642,1.7326221241870212,1.7661778772020877,1.7976944087717086,1.8271465341287034,1.8545112258136944,1.8797681218156557,1.9028999712621864,1.9238930083874584,1.9427372478825895,1.9594266971737089,1.973959483585879,1.9863378966535774,1.996568347958704,2.0046612527564625,2.0106308392441745,2.0144948926102586,2.0162744419571252,2.015993398824918,2.0136781563673276,2.009357158272585,2.003060446316652,1.9948191950225962,1.9846652413247718,1.9726306164442322,1.9587470864173104,1.9430457069238254,1.9255563972715024,1.9063075376397483,1.8877430334902663,1.8698842639444078,1.8527472549145703,1.8363424919537525,1.8206748130815775,1.8057433802728833,1.791541727350777,1.778057881215146,1.765274552657908,1.753169392461959,1.7417153080424395,1.730880835554689,1.7206305621486488,1.7109255928789378,1.701724056666426,1.692981645634197,1.6846521820916263,1.676688207399923,1.6690415869074369,1.6616641250825093,1.6545081848885366,1.6475273053360184,1.6406768110106755,1.6339144072200324,1.6272007542327271,1.6205000139193573,1.6137803619588802,1.6070144586718187,1.6001798715048767,1.5932594422463724
"Neotoma","Dayet M'Had","MHD core",35.128333,-5.438611,754,"not recorded","marsh","core top",0,,"Cheddadi, R., Henrot, A.J., François, L., Boyer, F., Bush, M., Carré, M., Coissac, E., De Oliveira, P.E., Ficetola, F., Hambuckers, A. and Huang, K., Lezine, A.M., Nourelbait, M., Rhoujjati, A., Taberlet, P., Sarmiento, F., Abel-Schaad, D., Alba-Sánchez, F., Zheng, Z., 2017. Microrefugia, climate change, and conservation of Cedrus atlantica in the Rif Mountains, Morocco. Frontiers in Ecology and Evolution, 5, p.114.; 
Cheddadi, R., Nourelbait, M., Bouaissa, O., Tabel, J., Rhoujjati, A., López-Sáez, J.A., Alba-Sánchez, F., Khater, C., Ballouche, A., Dezileau, L. and Lamb, H., 2015. A history of human impact on Moroccan mountain landscapes. African Archaeological Review, 32(2), pp.233-248.","10.3389/fevo.2017.00114;
10.1007/s10437-015-9186-7",4,3,2.1310580739340415,2.119103568785407,2.1087852581691275,2.1001147677514833,2.0931091998623277,2.087790933608154,2.084187358356351,2.08233054182936,2.0822568347810755,2.084006415053481,2.0876227747201632,2.093152154999638,2.100642934643576,2.1101449785455197,2.1217089543421896,2.135385625756335,2.15122513231944,2.1692762658766385,2.189585754878419,2.2121975678710735,2.237152247782208,2.2644862885372934,2.2942315652240057,2.326414828437179,2.361057272591587,2.3981741868942144,2.437774696342262,2.4798615985856896,2.524431300797853,2.571473858874353,2.6209731193715906,2.672906962648721,2.7208651122518686,2.7648174710910354,2.80473206337642,2.8405755402162196,2.8723137086761343,2.8999120750502927,2.9233363927368723,2.942553204939628,2.9575303724327116,2.9682375768321965,2.9746467902124176,2.976732702485639,2.974473098723878,2.967849179533729,2.956845818687428,2.9414517534510045,2.92165970441424,2.897466423093333,2.868872667117162,2.8358831043881114,2.798506149190383,2.7567537347604762,2.7106410282907434,2.66018609566146,2.605409524343421,2.5463340138384765,2.482983943690614,2.415384929474148,2.351262634541812,2.2906407729006126,2.233539990780061,2.179977560114922,2.1299671474905995,2.0835186627459197,2.040638189243125,2.001327995554707,1.9655866260594637,1.9334090657656464,1.9047869726654412,1.8797089691455928,1.8581609824982717,1.8401266234478697,1.8255875908730612,1.8145240905836033,1.8069152561158395,1.8027395600310634,1.8019752051115152,1.804600486109895,1.8105941142662292,1.8199354985964569,1.83260497990752,1.8485840155262927,1.8678553147644137,1.8904029270991332,1.916212286856796,1.9452702197722804,1.9775649181055996,2.0130858919778776,2.0518239052076024,2.087503834210575,2.120120530510783,2.149671665302381,2.1761576355711285,2.1995814683065804,2.219948728150894,2.237267432440839,2.25154797601905,2.262803066488273,2.2710476688346266,2.2762989566336045,2.2785762654581228,2.277901042712176,2.2742967869927413,2.2677889693042395,2.2584049280706204,2.246173729951727,2.2311259889978143,2.2132936376742722,2.1927096447423406,2.1694076768543256,2.143421702955727,2.1147855431044373,2.083532366023905,2.049694142493806,2.0133010644293248,1.9743809420839842,1.9329585941068372,1.889055247073764,1.8426879624871186,1.7974046857329353,1.7532125542413282,1.710113096620255,1.6681019578943086,1.6271687411174152,1.587296977044157,1.5484642301112248,1.5106423450816475,1.4737978344720681,1.4378924024672393,1.4028835965876933,1.368725574083141,1.3353699660407696,1.3027668186811105,1.2708655884059628,1.2396161649832993,1.2089698958968804,1.178880584416334,1.14930543438626,1.1202059160846487,1.0915485297207526,1.0633054461561287,1.0354550081344684,1.0079820795643908,0.9808782350612738,0.9541417868512623,0.9277776510960247,0.9017970605327219,0.8762171348677825,0.8510603244558937,0.8263537462964426,0.801825718362567,0.7775087202711757,0.7534358601357092,0.729640076340293,0.7061533817170956,0.6830061713728508,0.6602266126698888,0.6378401325462935,0.6158690135943669,0.5943321062560603,0.5732446602960156,0.5526182745364748,0.5324609598377408,0.5127773066264045,0.49356874503808124,0.4748338830578427,0.45656890599126787,0.4387680192362692,0.42142391567655413,0.4045282490791688,0.3880720956212106,0.3720463870394831,0.35644230081463835,0.3412515951731946,0.3264668794082206,0.3120818129653181,0.29809122979410624,0.2844911875074081,0.2712789438074974,0.25845286532805456,0.24606702321607657,0.23412255473780239,0.22262215528549073,0.21156978277374505,0.20097033411212134,0.19082930682888571,0.1811524586526451,0.17194547717028608,0.16321367062337844,0.15496168954272393,0.1471932873203184,0.1399111260511631,0.13311663211583594,0.1268099040876232,0.12098967369939824,0.11565331885235082,0.11079692603967724,0.10641539813251898,0.10250260226201606,0.09905155154972645,0.0960546136989571,0.09350373896340641,0.09139069975125172,0.08970733409072748,0.08844578536097392,0.08759873105984584,0.08715959391677422,0.08712272934104083,0.08748358400125508,0.08823882123824352,0.08938640999970897,0.09080770446853519,0.09250346796455837,0.0944758706874007,0.09672841711660024,0.09926583467641262,0.10209392691265812,0.10521939545084352,0.10864963594870841,0.11239251409911316,0.1164561284565155,0.1208485674272756,0.1255776681560027,0.13065078523361484,0.13607457712667984,0.14185481796470492,0.14799624181036566,0.15450242577193857,0.16137571730015554,0.16861720975520605,0.17622676885546568,0.18420311095988023,0.19254393233322392,0.2012460866498495,0.21030580606786817,0.2197189593197011,0.22948133848922408,0.23958896455508566,0.25003840044820763,0.26082705936903183,0.2719534954994256,0.283417664077391,0.29537094549332177,0.3078157287348638,0.32075533206353035,0.33419405914857514,0.34813719106056507,0.3625909095748457,0.37756214997866355,0.3930583845459342,0.4090873409319362,0.4256566628272175,0.4427735231700033,0.4604442029223279,0.47867365074373347,0.49746504073375647,0.516819346661081,0.5367349516730916,0.55720731232813,0.5782286948846217,0.5997880001164582,0.6218706905333469,0.6444588308297788,0.6675312487576733,0.6910638195332571,0.7150298724888353,0.7394007141232201,0.7641462571611118,0.7892357408775332,0.8146385239526351,0.8403249276603064,0.8662671044105806,0.892854859274582,0.9200670312208633,0.9478872070725117,0.9763043763499268,1.0053134575029208,1.0349156748696238,1.0651187699269191,1.0959370352965547,1.127391165379569,1.1595079232240182,1.192319629086375,1.2258634819172247,1.2601807304794084,1.2953157157924822,1.3313148109093393,1.3682252875107812,1.4060941413241768,1.4449669098410332,1.4848865161725489,1.525892172130844,1.5680183717869456,1.6112940039058892,1.6557416079027472,1.701376793442368,1.7482078386881927,1.7962354766798228,1.84545287358514,1.895845796834945,1.9473929656059126,2.0000665709589205,2.0538329483322366,2.105357478224078,2.1545999744639386,2.2015197277465623,2.2460764611626276,2.288231268252769,2.327947508381816,2.36519163631851,2.399933945654455,2.4321492089748147,2.461817201359073,2.488923097692378,2.5134577382556973,2.535417760991714,2.5548056025795365,2.5716293738790643,2.5859026183285723,2.5976439644240426,2.606876685427058,2.613628180915143,2.6179293957036536,2.6198141920517304,2.619318690955854,2.616480597786879,2.6113385266058384,2.6039313362726944,2.5942974900166504,2.58247444854251,2.568498105076517,2.5524022690734727,2.534218203671669,2.516520935697006,2.4993323428019414,2.482667636289828,2.4665352409096584,2.450936783864773,2.4358671883955285,2.4213148658978842,2.4072619993749065,2.393684910082822,2.3805544985193237,2.3678367503966737,2.3554932979302414,2.3434820266362246,2.331757717851069,2.3202727173388933,2.308977620621369,2.297821966026268,2.2867549268862337,2.2757259948092656,2.264685646468945,2.253585986909676,2.2423813629158276,2.2310289405420383,2.219489241435481,2.2077266330935177,2.195709768688096,2.1834119725513847,2.1708115678579127,2.1578921434627913,2.1446427572714253
