"source","site_name","entity_name","latitude","longitude","elevation","basin_size","site_type","entity_type","age_BP","ID_BIOME","ID_SAMPLE","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150","T151","T152","T153","T154","T155","T156","T157","T158","T159","T160","T161","T162","T163","T164","T165","T166","T167","T168","T169","T170","T171","T172","T173","T174","T175","T176","T177","T178","T179","T180","T181","T182","T183","T184","T185","T186","T187","T188","T189","T190","T191","T192","T193","T194","T195","T196","T197","T198","T199","T200","T201","T202","T203","T204","T205","T206","T207","T208","T209","T210","T211","T212","T213","T214","T215","T216","T217","T218","T219","T220","T221","T222","T223","T224","T225","T226","T227","T228","T229","T230","T231","T232","T233","T234","T235","T236","T237","T238","T239","T240","T241","T242","T243","T244","T245","T246","T247","T248","T249","T250","T251","T252","T253","T254","T255","T256","T257","T258","T259","T260","T261","T262","T263","T264","T265","T266","T267","T268","T269","T270","T271","T272","T273","T274","T275","T276","T277","T278","T279","T280","T281","T282","T283","T284","T285","T286","T287","T288","T289","T290","T291","T292","T293","T294","T295","T296","T297","T298","T299","T300","T301","T302","T303","T304","T305","T306","T307","T308","T309","T310","T311","T312","T313","T314","T315","T316","T317","T318","T319","T320","T321","T322","T323","T324","T325","T326","T327","T328","T329","T330","T331","T332","T333","T334","T335","T336","T337","T338","T339","T340","T341","T342","T343","T344","T345","T346","T347","T348","T349","T350","T351","T352","T353","T354","T355","T356","T357","T358","T359","T360","T361","T362","T363","T364","T365"
"Harrison et al., 2021","Juodonys","juodonys_core",55.74,25.44,20,"small (0.01-1 km2)","bog","core top","modern",9,1,1.2158799682688344,1.2010421348119915,1.186313393201058,1.1717113712065599,1.1572524586946662,1.142951393749335,1.128820899099311,1.1148713792618827,1.1011106868644565,1.0875439643932348,1.0741735652246134,1.060999055303733,1.048017294332256,1.0352225928990217,1.022606939713307,1.0101602910541319,0.997870912793623,0.9857257639391254,0.9737109096051391,0.961811950695596,0.9500144573579681,0.9383043934573052,0.9266685198910031,0.9150947654921302,0.9035725555081888,0.8920930891425233,0.8806495593502782,0.8692373099292114,0.8578539268755929,0.8464992629256254,0.8351753961149087,0.8238865250086687,0.8133660951721738,0.8036218594369793,0.7946629126978392,0.7864994058908069,0.7791422378784498,0.7726027340458969,0.7668923204838933,0.7620222024778176,0.7580030556513977,0.7548447375511879,0.752556026726119,0.7511443954808422,0.7506158214884625,0.7509746423640786,0.7522234561517498,0.7543630694897441,0.7573924940171872,0.7613089903934812,0.7661081581431535,0.7717840684352615,0.7783294358793341,0.7857358244893097,0.7939938821523373,0.8030935972585267,0.8130245706173261,0.8237762954204728,0.8353384378224513,0.8477011107058372,0.8598618109645284,0.8718128828473035,0.8835483913486557,0.8950642698942346,0.9063584160290724,0.9174307326521534,0.9282831138414782,0.9389193758611362,0.9493451354930627,0.95956763934582745,0.9695955492149285,0.9794386898583635,0.9891077666647557,0.9986140615901007,1.0079691163899729,1.0171844125506728,1.026271057407545,1.0352394857233373,1.0440991854860018,1.052858455886095,1.0615242043719948,1.0701017883892059,1.078594905930077,1.0870055374017602,1.0953339396188746,1.1035786910026424,1.1117367853817144,1.1198037702024355,1.12777392352586,1.1356404629682861,1.143395778776695,1.151287924550299,1.1593086498394591,1.1674498904931856,1.175704001393872,1.184063965888334,1.1925235752615946,1.201077572873221,1.2097217590408054,1.2184530543528507,1.2272695207598152,1.2361703414603686,1.2451557622028244,1.2542269980945113,1.2633861112950582,1.2726358660115147,1.2819795679720112,1.2914208960002338,1.3009637334282826,1.3106120068672031,1.3203695393135435,1.3302399237309541,1.3402264221454427,1.3503318939795161,1.3605587558817314,1.3709089737483164,1.3813840860509408,1.3919852560489945,1.4027133490437633,1.4135690295888597,1.424552872562125,1.4353583167513793,1.4459855783656008,1.4564346062591496,1.4667051963083573,1.4767970936491397,1.4867100767670116,1.4964440184715724,1.5059989200635675,1.5153749164572605,1.5245722515895497,1.5335912250599988,1.542432112530519,1.5510950638982368,1.5595799845721912,1.5678864062728128,1.5760133545804997,1.5839592209457116,1.591721647010579,1.599297428868675,1.606682448307916,1.613871637159776,1.6208589796487574,1.6276375561459526,1.6341996300375508,1.6405367775911475,1.6466400588143038,1.652500225429334,1.6581079603151172,1.663454141167269,1.6685301197732154,1.6733280072506311,1.6788141675050257,1.6849831181903665,1.691830981951579,1.6993556879567782,1.7075571274135106,1.716437255551467,1.7260001342686753,1.7362519116203479,1.7472007365064002,1.7588566092036546,1.7712311707042478,1.7843374360730648,1.7981894791356803,1.8128020776709017,1.828190329833661,1.8443692537115848,1.861353382673145,1.8791563694646567,1.8977906118432095,1.9172669118971597,1.9375941801279863,1.9587791938875223,1.9808264179392492,2.003737892811475,2.027513194314272,2.052149465188977,2.0776415174399254,2.1039820015539576,2.131161636630769,2.159169493505512,2.1859754595587146,2.2115668160570183,2.2359307446869785,2.259054693137855,2.280926726470182,2.301535853456064,2.3208723181328987,2.3389278481779665,2.355695853326667,2.3711715688542254,2.385352141047741,2.398236653539309,2.409826095281198,2.4201232727546627,2.4291326706567773,2.4368602667553794,2.443313307802932,2.44850005432867,2.452429502770206,2.4551110937570786,2.456554415426736,2.4567689104546067,2.4557635950384733,2.453546797423806,2.450125922725495,2.44550724982971,2.439695765084972,2.432695036350816,2.42450712980048,2.415132570702306,2.4045703482610326,2.3945957323069416,2.3852048317750945,2.3763924890292287,2.368152438237574,2.3604774921395135,2.3533597521641707,2.34679083640109,2.3407621195835664,2.335264979027967,2.3302910403780968,2.32583241703174,2.3218819372759745,2.318433353426928,2.315481527655627,2.3130225896807737,2.3110540621165514,2.309574949971922,2.308585791598358,2.3080886692641585,2.3080871784812778,2.3085863562081865,2.3095925690799604,2.31111336385231,2.3131572832650464,2.315733651505918,2.3188523343603196,2.3225234799378587,2.326757246545691,2.3315635248046704,2.3369516614545947,2.3429301924491757,2.3477660772519,2.3514653006492914,2.3540321702104414,2.355469174257061,2.3557768893741553,2.354953940799434,2.3529970175654698,2.3499009427060282,2.345658797222679,2.3402620948899653,2.333701003409868,2.325964605962636,2.3170411958936064,2.3069185961734315,2.2955844944155874,2.2830267836660734,2.2692338989225918,2.254195139409795,2.2379009670374925,2.2203432721912937,2.201515599028833,2.1814133237461455,2.1600337807936545,2.1373763337055913,2.1134423889996037,2.0882353534383324,2.061760536753962,2.0340250036523413,2.005037380471542,1.974807623213302,1.9460045985761727,1.9186394517123677,1.8927231636472417,1.8682662723905878,1.8452786099842717,1.8237690631307681,1.8037453640164132,1.7852139166994765,1.7681796630320032,1.7526459905869094,1.7386146835312493,1.7260859158859556,1.7150582852012015,1.7055288834087496,1.6974934005339901,1.6909462560968467,1.6858807524273178,1.6822892437813624,1.6801633150674748,1.6794939641735802,1.6802717822970863,1.6824871272982145,1.6861302858806204,1.691191621310664,1.6976617043709783,1.7055314262569587,1.714792093119182,1.725435502885651,1.7374540058247667,1.750840550998464,1.765588721277534,1.7791732866486643,1.791589999393322,1.80283612373814,1.8129104235985767,1.8218131382402518,1.8295459487007404,1.8361119374000645,1.8415155428275103,1.845762510558449,1.848859841164618,1.8508157348745489,1.8516395321587826,1.8513416487976764,1.8499335034765507,1.8474274355781148,1.8438366106345665,1.8391749108833484,1.8334568085548344,1.8266972199115035,1.81891133865069,1.8101144480609754,1.8003217122598256,1.7895479479021557,1.7778073788928073,1.7651133778106722,1.7514781989037511,1.7369127085860958,1.7214261203022874,1.7050257413688372,1.6877167399058015,1.6706473025759176,1.6538179686528351,1.6372268649150028,1.6208696257625104,1.6047393670285246,1.5888267182382902,1.5731199164629235,1.55760496309125,1.542265842861868,1.5270848024295078,1.5120426836611238,1.4971193048475722,1.482293881155911,1.4675454740117035,1.4528534577599328,1.4381979909674556,1.4235604791471885,1.4089240155376295,1.394273786878124,1.3795974318802176,1.3648853412910487,1.350130890041378,1.3353305939180073,1.320484185433542,1.3055946060094692,1.2906679141565327,1.2757131119391176,1.2607418945556177,1.245768330264227,1.230808480048094
"Harrison et al., 2021","Petresiunai","petresiunai_121",55.85,25.7028,107,"0.02","lake","core top","20",9,2,1.3247254066649377,1.3081308553978424,1.291875410347566,1.275975931194815,1.2604482103037413,1.2453065966972439,1.2305636658757917,1.2162299445047098,1.2023136972317603,1.1888207809143037,1.1757545694042362,1.1631159498344705,1.150903389149378,1.139113067498372,1.1277390731368633,1.1167736517156093,1.1062075013419597,1.0960301036077207,1.0862300799290068,1.0767955620513834,1.0677145654433868,1.058975354525145,1.0505667892363708,1.042478643309008,1.0347018857348922,1.0272289182616732,1.020053763259611,1.0131721979237434,1.0065818324555524,1.0002821315522405,0.9942743801696184,0.9885615960706189,0.9832078053749482,0.9782190108443736,0.9736023901051245,0.9693660552612698,0.9655187935282679,0.9620697964560081,0.9590283853308783,0.9564037401691997,0.9542046393560539,0.9524392164636325,0.9511147401237332,0.9502374220532992,0.9498122574640324,0.9498429011511575,0.9503315815760188,0.9512790542550096,0.9526845947650033,0.9545460306932705,0.956859810916927,0.9596211097109677,0.9628239623714611,0.9664614283166947,0.9705257770080459,0.9750086915266444,0.9799014842626957,0.9851953189309041,0.9908814330250698,0.9969513548724189,1.0031169271668352,1.009371462185301,1.015709713867738,1.0221279933899945,1.02862424293077,1.0351980659521502,1.0418507135152655,1.048585027384527,1.0554053419017329,1.0623173477991075,1.069327922231284,1.076444930304013,1.083677004227437,1.0910333068925482,1.0985232871340072,1.1061564341796226,1.1139420387820982,1.1218889682759154,1.130005462303555,1.1382989552220066,1.146775930252949,1.155441809307122,1.1643008811322946,1.173356269048728,1.1826099380955415,1.192062739968896,1.201714492743251,1.2115640910842966,1.221609641538341,1.2318486165644855,1.2422780203028094,1.2526006647181043,1.2628129515871562,1.2729111379037001,1.282891480866956,1.2927503624684722,1.302484388682106,1.3120904595106508,1.3215658075566543,1.3309080043064019,1.3401149348816015,1.3491847435566173,1.3581157537937172,1.3669063678507305,1.3755549521061254,1.384059715075043,1.3924185856156648,1.4006290990197892,1.4086882985296538,1.4165926593240636,1.4243380411846593,1.4319196749160448,1.439332186193132,1.4465696588991601,1.4536257382620397,1.4604937722660831,1.4671669879866334,1.4736386977440596,1.479902528377033,1.4859526655641304,1.4917841040412896,1.4981074597405029,1.5049197463361543,1.5122191523685367,1.520005221937159,1.5282789960027094,1.5370431066674863,1.5463018183949484,1.5560610120068594,1.5663281093924963,1.57711193909961,1.588422545265051,1.6002709445941579,1.612668838221867,1.62562828719817,1.6391613619561696,1.6532797773732182,1.6679945258683841,1.6833155213528528,1.6992512667415733,1.71580855714132,1.7329922297686045,1.750804970155747,1.7692471823279583,1.788316928447226,1.8080099410023087,1.8283197080697715,1.8492376295771118,1.8707532399655478,1.8928544902753224,1.9155280805525865,1.9387598316863501,1.961456009441599,1.9836026076479485,2.005186673164142,2.0261966795035624,2.046622861738292,2.0664575015676303,2.0856951531540227,2.1043328023814603,2.122369954497673,2.1398086475722007,2.1566533917422177,2.172911036730369,2.1885905725097086,2.203702870172662,2.2182603719559477,2.2322767409169653,2.2457664818994383,2.2587445461344546,2.2712259320822596,2.2832252949329503,2.294756576570364,2.3058326667985307,2.316465105283312,2.3266638320340642,2.3364369924100363,2.345790800658425,2.3547294639515557,2.3632551668652795,2.371368114300408,2.3790666290588978,2.3864817753077103,2.3936083294309443,2.4004394817778265,2.4069670890891754,2.4131819454256513,2.4190740627611786,2.4246329526375168,2.42984790076853,2.434708227201219,2.4392035255450906,2.4433238758286846,2.447060026687161,2.4504035437833434,2.4533469225741835,2.455883664716341,2.4580083185243917,2.4597164849243636,2.4610047912610895,2.4618708361036616,2.4623131088382078,2.4623308883361124,2.4619241253381787,2.461093313404789,2.459839353355759,2.458163416070626,2.4560668083514514,2.4535508462775093,2.450616740116525,2.4472654944121923,2.443497826353808,2.4393141049618903,2.43522123247461,2.4312188773927885,2.427306403826463,2.423482905186985,2.4197472608049226,2.4160982138585165,2.412534468295779,2.409054801770143,2.4056581910012205,2.4023439454358404,2.3991118446375013,2.3959622744916467,2.3928963570962183,2.3899160691262136,2.3870243435295966,2.3842251496391405,2.3815235471749805,2.3789257101664902,2.3764389175339238,2.3740715079293278,2.3718327974253626,2.3697329597371803,2.3677828698375896,2.3659939130459846,2.364377762899143,2.3629461323060292,2.3617105036068557,2.360681844155972,2.3598703148874454,2.3592849799635807,2.358933526016751,2.3577341414114787,2.3556910527740973,2.3528064703631753,2.3490804382271957,2.3445107369932092,2.3390928439687895,2.3328199536417213,2.3256830599108294,2.3176710995322374,2.3087711543788294,2.298968708251366,2.2882479522131773,2.276592130811123,2.2639839201538297,2.2504058276981076,2.235840602790778,2.2202716465598,2.2036834096668936,2.186061766731049,2.1673943569013927,2.1476708810771763,2.1268833476069355,2.105026259900299,2.0820967411959925,2.0580945936818376,2.033022291184684,2.0068849066658476,1.9796899776969252,1.9514473148820464,1.9221687597727195,1.8942850662778976,1.8678102792917086,1.842758573803884,1.8191439289056426,1.7969798120700615,1.776278882306475,1.757052719870626,1.7393115890617619,1.7230642393090698,1.7083177483026244,1.6950774094206529,1.6833466642071488,1.673127079220273,1.6644183652553552,1.6572184357917144,1.6515235005554618,1.647328189355985,1.6446257008557834,1.6434079706746108,1.6436658532016486,1.6453893116763718,1.6485676114743155,1.6531895120660516,1.659243453769474,1.6667177361475691,1.6756006856757983,1.6858808110758212,1.6975469454488872,1.7105883750103956,1.7249949547995658,1.7407572121938433,1.7554776716221998,1.769149537510534,1.7817679815639087,1.7933301717811383,1.8038352773270054,1.8132844512040482,1.821680792607859,1.8290292906938548,1.8353367512498546,1.840611707481578,1.8448643158029978,1.8481062372077162,1.8503505045079767,1.8516113754905807,1.8519041718773521,1.8512451039117723,1.8496510804385573,1.847139504509096,1.8437280548365222,1.8394344538367182,1.8342762235154997,1.8282704310806053,1.8214334268461123,1.8137805777268845,1.8053260003570843,1.796082298571512,1.7860603106215454,1.775268872018361,1.7637146002664517,1.7514017079352027,1.7391191968905153,1.726866227522192,1.7146393960821098,1.7024327127706584,1.6902376310001557,1.6780431307023838,1.665835857189371,1.6536003155565988,1.641319118983929,1.6289732875972076,1.6165425928635422,1.6040059408697018,1.5913417863404407,1.578528567953954,1.5655451544625048,1.5523712903771958,1.5389880295668281,1.5253781450797368,1.5115265038391497,1.497420395587127,1.4830498065451228,1.4684076296915414,1.4534898052856788,1.4382953872381607,1.422826533075273,1.4070884174954799,1.3910890717930178,1.3748391536460278,1.3583516538567566,1.3416415485148314
"Harrison et al., 2021","Prat de Vila","Prat de Vila_core",38.9158333333333,1.43472222222222,4,"not known","marsh","core","0",20,3,1.777326130983222,1.7521201820660735,1.728377575698957,1.7061080692962567,1.6853220605039052,1.6660303284731188,1.6482437793510663,1.6319732023722455,1.6172290421414832,1.6040211917766485,1.5923588105715838,1.5822501687935782,1.5737025211893991,1.5667220097806276,1.5613135956187953,1.557481018372788,1.5552267819572458,1.5545521638948392,1.5554572457431861,1.5579409617066997,1.5620011624856596,1.5676346914742845,1.57483747058664,1.5836045932407015,1.5939304223418131,1.6058086914517269,1.6192326076839152,1.634194955207559,1.6506881985523207,1.6687045851681928,1.6882362468982077,1.7092753001598542,1.7288831693042694,1.7470531924881636,1.7637799248711272,1.7790591986406323,1.7928881646797494,1.8052653162192682,1.8161904949074938,1.8256648797921793,1.8336909597486815,1.8402724899158358,1.8454144327255202,1.8491228841426135,1.8514049857771886,1.8522688235974938,1.8517233140659632,1.8497780786446163,1.8464433077721216,1.8417296156009249,1.8356478869955726,1.8282091185258666,1.8194242554317654,1.8093040267797953,1.7978587812598508,1.785098326272495,1.7710317731152654,1.755667391177429,1.7390124740826944,1.7210732206669297,1.7039123257239732,1.6875329939408226,1.6719365791631307,1.657122561602716,1.6430885563121842,1.6298303534296068,1.617341990006461,1.6056158525053892,1.594642808314443,1.584412363896878,1.5749128465069235,1.5661316057785513,1.5580552309610824,1.550669779154862,1.5439610096106209,1.5379146190117685,1.532516472667968,1.5277528267138416,1.5236105367248642,1.5200772486238265,1.5171415683401634,1.5147932073800725,1.5130231022424365,1.51182350644504,1.5111880547764207,1.5111118002282478,1.5115912248594057,1.5126242265651462,1.5142100843449917,1.5163494051575426,1.5190440558001663,1.5213120749168085,1.5231574429613879,1.5245849829959859,1.5256002697771094,1.5262095415029564,1.5264196166086865,1.526237817378421,1.525671901447286,1.5247300015264893,1.5234205729347376,1.5217523477966963,1.519734294110478,1.5173755773262663,1.51468552164882,1.5116735680049003,1.5083492255235318,1.504722013476015,1.5008013909194484,1.49659667177859,1.492116923773972,1.4873708504376575,1.4823666564220568,1.4771118973641215,1.4716133166730188,1.465876672715182,1.4599065609247313,1.4537062363168596,1.4472774426757864,1.4406202552794891,1.4337329443690785,1.4265681170403317,1.4191210296647718,1.4113857921268096,1.4033553547948725,1.3950215335352019,1.3863750764494125,1.3774057745473196,1.3681026169012223,1.3584539890262657,1.3484479113620063,1.3380723128675118,1.3273153329640652,1.3161656434441806,1.3046127805881678,1.2926474766588665,1.2802619792404955,1.2674503465958387,1.2542087073689192,1.240535473573042,1.226431496873355,1.21190015967694,1.1969473944414137,1.18158162684697,1.1658136409729474,1.1496563672912155,1.133124597037902,1.116234629248606,1.0990038593346445,1.0814503204352328,1.063592190805495,1.0454472821060097,1.0270666189674604,1.0084650818302792,0.9896550446547925,0.9706459784772872,0.9514441291479895,0.9320522810891245,0.9124696163510111,0.8926916753136901,0.8727104221820465,0.8525144150664727,0.8320890770485769,0.8114170613243356,0.7904787004149977,0.7692525266511961,0.7477158487685528,0.7258453675881852,0.7036178124585548,0.6810105794499016,0.6580023522399264,0.6345736872063688,0.6107075454224138,0.5863897559861264,0.5616093973375137,0.5363590858418421,0.5106351638482588,0.48443778256255643,0.45777087829193935,0.43064204381784893,0.40306229972483404,0.3750457733620656,0.3483672462980898,0.32304511373491773,0.2990988252874771,0.27654835303549535,0.25541365255405374,0.23571413177623737,0.21746814191147426,0.20069250363659386,0.18540208044695874,0.17160940946235667,0.1593243981901083,0.14855409381979373,0.13930252962155845,0.1315706509999061,0.12535632176775488,0.12065440929433206,0.11745694538036039,0.11575335805210382,0.11553076796211369,0.11677434175252863,0.11946769358512473,0.12359332507606186,0.1291330930954773,0.1360686943051485,0.14438215491428472,0.1540563139382939,0.16507528825398882,0.17742490796452115,0.1910931110268541,0.20607028676226544,0.22234955877338566,0.2385655047754852,0.25471737114369813,0.27080763401901065,0.2868419682691989,0.3028291287601825,0.31878074477777485,0.3347110307738895,0.35063641899669623,0.3665751219356622,0.38254663479718837,0.3985711903472322,0.4146691803341167,0.43086055925913963,0.44716424742042216,0.46359755085076915,0.4801756159487737,0.49691093622474275,0.5138129276276895,0.5308875873853831,0.5481372491965945,0.5655604450060254,0.5831518805327559,0.6009025282981109,0.6187998382129238,0.6368280619567821,0.6549686835440994,0.673200944761178,0.6915024507137318,0.7098498376802214,0.7282194829475086,0.7465882344210982,0.7658048413448635,0.7858498126191413,0.8067067517374779,0.8283628971225315,0.8508095537398153,0.8740424004979969,0.8980616618813686,0.922872136670006,0.9484830813345525,0.9749079505785415,1.0021640023652971,1.0302717794302731,1.0592544835692916,1.0891372627465197,1.1199464341397696,1.151708668515824,1.1844501627157977,1.2181958274742768,1.252968517276529,1.2887883274929677,1.3256719816733473,1.3636323287233754,1.4026779658432602,1.4428129987265141,1.4840369457638762,1.5263447880503758,1.5697271620379762,1.614170686894959,1.6596584142000599,1.7061703836721218,1.7509157262999635,1.7938710825312933,1.83501279185356,1.8743176194541,1.9117634574117128,1.9473299783280829,1.9809992214482963,2.01275609409307,2.042588774508104,2.0704890058900114,2.0964522752268175,2.1204778745444366,2.142568846033685,2.162731816209298,2.1809767276020855,2.197316479405432,2.2117664909074732,2.2243442033839025,2.235068537371612,2.243959322882244,2.2510367201627886,2.2563206481027045,2.2598302363772818,2.2615833159720036,2.2615959609297316,2.2598820920853235,2.256453151286333,2.2513178522284134,2.244482011640102,2.2359484622069568,2.225717046393677,2.2160601952390158,2.206972034001834,2.1984441024755723,2.190465628821144,2.18302385497134,2.17610440382189,2.1696916778456163,2.163769278456788,2.1583204353985024,2.1533284356079267,2.1487770414114107,2.14465088849094,2.140935854821568,2.137619392682693,2.1346908168711898,2.1321415433690722,2.1299652739206554,2.1281581232334656,2.126718686812667,2.1256480487507092,2.124949730101909,2.12462957975568,2.124695610961329,2.1251577878308674,2.126027767232525,2.127318602465375,2.129044415953256,2.131220048893666,2.1338606963256046,2.1369815364223936,2.1391916016214982,2.140504121952708,2.1409304496723394,2.140479794249434,2.1391590127050417,2.1369724602446505,2.133921904588417,2.1300065057674256,2.1252228614578605,2.119565116214015,2.1130251312823787,2.105592710081401,2.0972558729622333,2.088001173570214,2.0778140480465006,2.0666791874792967,2.054580923463005,2.0415036163707208,2.027432036000683,2.012351724619905,1.9962493330870432,1.9791129216695635,1.9609322183458806,1.941698828760496,1.921406393531375,1.900050690240225,1.877629679111043,1.8541434930421323,1.829594374244978,1.8039865612066306
