"source","site_name","entity_name","latitude","longitude","elevation","site_type","entity_type","basin_size","ID_BIOME","age_BP","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150","T151","T152","T153","T154","T155","T156","T157","T158","T159","T160","T161","T162","T163","T164","T165","T166","T167","T168","T169","T170","T171","T172","T173","T174","T175","T176","T177","T178","T179","T180","T181","T182","T183","T184","T185","T186","T187","T188","T189","T190","T191","T192","T193","T194","T195","T196","T197","T198","T199","T200","T201","T202","T203","T204","T205","T206","T207","T208","T209","T210","T211","T212","T213","T214","T215","T216","T217","T218","T219","T220","T221","T222","T223","T224","T225","T226","T227","T228","T229","T230","T231","T232","T233","T234","T235","T236","T237","T238","T239","T240","T241","T242","T243","T244","T245","T246","T247","T248","T249","T250","T251","T252","T253","T254","T255","T256","T257","T258","T259","T260","T261","T262","T263","T264","T265","T266","T267","T268","T269","T270","T271","T272","T273","T274","T275","T276","T277","T278","T279","T280","T281","T282","T283","T284","T285","T286","T287","T288","T289","T290","T291","T292","T293","T294","T295","T296","T297","T298","T299","T300","T301","T302","T303","T304","T305","T306","T307","T308","T309","T310","T311","T312","T313","T314","T315","T316","T317","T318","T319","T320","T321","T322","T323","T324","T325","T326","T327","T328","T329","T330","T331","T332","T333","T334","T335","T336","T337","T338","T339","T340","T341","T342","T343","T344","T345","T346","T347","T348","T349","T350","T351","T352","T353","T354","T355","T356","T357","T358","T359","T360","T361","T362","T363","T364","T365"
"EMBSeCBIO","Al Jourd","Aljourd",34.35,36.2,2100,"terrestrial, marsh","marsh core",,4,-70,53.085464099136516,53.31997074600839,53.54276419621399,53.75360249701599,53.95222543726137,54.13836080839687,54.31173081404031,54.47205845479213,54.61907372390023,54.75251946257624,54.87215674043712,54.97776964590745,55.069169392635324,55.14619767025336,55.20872919040878,55.25667340122372,55.28997536465799,55.30861581116187,55.31261040416608,55.30200826310423,55.276889807638085,55.23736399748115,55.18356505167953,55.11564873845003,55.03378833176811,54.93817033393417,54.82899006442407,54.70644721454708,54.570741464878594,54.42206825819107,54.260614814746724,54.08655646942073,53.9138128127983,53.74251073093714,53.5727417910531,53.404561038140784,53.23798662584,53.07300027409528,52.909548527064594,52.747544766260305,52.586871916530285,52.42738576668846,52.26891881284594,52.11128452119906,51.95428189856726,51.79770025363454,51.64132402982915,51.48493759217041,51.32832985519302,51.17129864707795,51.01365471610743,50.85522529913248,50.69585718740645,50.53541924232204,50.37380433165023,50.2109306751435,50.046742606138835,49.88121077241411,49.714331814393,49.54612757131624,49.38502544592815,49.23108943032743,49.08439990513262,48.945051717445786,48.81315217393918,48.68881900861042,48.5721783756895,48.46336290720032,48.36250986240222,48.26975938344964,48.18525285882563,48.1091313841498,48.04153429950951,47.982597774137844,47.932453403578734,47.891226781839656,47.859036011688026,47.83599012029604,47.82218735480772,47.8177133428493,47.822639116125465,47.83701901047914,47.86088847245408,47.89426181968282,47.93713001945825,47.989458565707956,48.051185548358085,48.122220019853046,48.202440770576544,48.29169562739279,48.38980138694515,48.46899843930223,48.529072252123314,48.56980919834128,48.59099886435177,48.59243682856769,48.573927924966114,48.535289979473895,48.47635797776362,48.3969885924661,48.297064967293444,48.176501626546376,48.035249352420216,47.8732998508717,47.69069001091097,47.48750555323151,47.26388386304898,47.02001580957705,46.75614637107946,46.472573909896695,46.16964797585702,45.84776555825669,45.50736575496221,45.14892288062274,44.77293809265188,44.37992967146634,43.97042214821137,43.5449345265316,43.10396789255543,42.64799274695378,42.17743642273732,41.701222499987914,41.21964290234378,40.73289970758528,40.241097319267304,39.7442368350146,39.24221286222335,38.73481296540572,38.22171985400812,37.70251633767598,37.17669299040561,36.64365837882377,36.10275162608415,35.553257004675224,34.994420181761264,34.42546568223424,33.84561508977012,33.25410547670785,32.65020754079731,32.03324293146279,31.4026002702175,30.757749408590463,30.098253521098457,29.423778698518948,28.734100785581386,28.029109294345925,27.308808316822773,26.57331445444959,25.822851874488777,25.05774469091291,24.278406946816656,23.485330544070386,22.717788005371652,21.97635597076649,21.261616568888705,20.574142584854783,19.914483349682516,19.283151756444113,18.68061275932484,18.107273651634284,17.563476350150527,17.04949183877352,16.5655168472722,16.111672763895335,15.688006706640259,15.294494609679061,14.931046121150441,14.597511058159556,14.293687125841837,14.019328580691749,13.77415550446015,13.557863353697702,13.370132460886522,13.210637185041334,13.079054441273955,12.975071378401173,12.89839201931575,12.848742728483503,12.825876422486306,12.829575490955769,12.859653444613237,12.915955352717768,12.965283779822641,13.00757199430746,13.042807706277788,13.071029158343554,13.092320380429193,13.106805820692633,13.114644565010874,13.11602435062786,13.111155566259342,13.100265412187104,13.083592370751763,13.061381111347796,13.033877925734437,13.001326760381168,12.963965883780556,12.922025199196677,12.875724188058557,12.825270446885735,12.770858761812907,12.712670649854442,12.650874285237519,12.585624722488873,12.517064325386865,12.445323312154592,12.370520332023906,12.2927629961073,12.212148295869834,12.128762854851768,12.042682973090013,11.953974438360149,11.86269209337229,11.77554946752609,11.692573179387344,11.613772190432167,11.539136641180322,11.468636627621233,11.40222097945836,11.339816107915471,11.281324994914396,11.226626397273456,11.175574339152087,11.127997963273366,11.083701806517102,11.042466558339163,11.004050351216216,10.968190621042918,10.934606562260289,10.90300218764649,10.8730699863769,10.84449515643307,10.81696036904045,10.790151003934277,10.763760775345485,10.737497650177758,10.711089942480294,10.684292452619191,10.656892506153131,10.62871573697145,10.599631452386038,10.56955741516918,10.538463879509294,10.506376724923882,10.494652441419442,10.50341562170945,10.532831776512225,10.583106176297898,10.654481567154953,10.74723474453208,10.861672004615377,10.99812353111222,11.15693681397551,11.338469234723451,11.543079989015208,11.771121549527052,12.022930899467509,12.2988207879015,12.599071271220877,12.923921809626435,13.273564182690544,13.648136473599937,14.047718347558481,14.472327816478035,14.921919640315569,15.396385466428944,15.89555575367387,16.41920346950793,16.967049488198658,17.53876955860386,18.134002653223607,18.752360458605636,19.39343772288141,20.05682314115407,20.706178179982782,21.34113518977707,21.961375162841435,22.566636508674552,23.156722293102625,23.731505689339667,24.290933445361638,24.835027236395675,25.363882841550105,25.877667157061737,26.376613132562827,26.861012788361393,27.33120853823369,27.78758310106643,28.230548333558517,28.660533353170496,29.077972344128554,29.483292448595137,29.876902139724162,30.25918045340879,30.630467421865333,30.991056006076587,31.341185767330227,31.68103845283969,32.01073559925866,32.33033818355392,32.639848276058544,32.93921257845717,33.22832766271318,33.50704666806083,33.77518716435691,34.04921560528619,34.32889994244382,34.61399467127004,34.90424987709154,35.19941969898359,35.49926991048512,35.80358436088602,36.11217007474772,36.42486086823313,36.741519406170944,37.06203769087422,37.386336039843,37.71436067194611,38.04608007801558,38.38148039979524,38.72056007901844,39.06332406464919,39.40977788008509,39.75992185299783,40.11374579861359,40.47122442326581,40.832313680132806,41.196948264777326,41.56504038637375,41.936479893563906,42.31113577412209,42.68885898752295,43.069486531552926,43.45284659062885,43.83876456660875,44.218630422577405,44.592282552133156,44.959575593543306,45.32038737894355,45.67462540493748,46.0222325606331,46.36319187712053,46.69753009922282,47.02531992443333,47.34668080343691,47.66177824947057,47.97082165790682,48.27406069073503,48.571780331062534,48.864294758514106,49.15194023587256,49.435067229165966,49.7140320066966,49.989187976620805,50.26087702739363,50.52942113083365,50.795114454228205,51.058216206595766,51.31894441602568,51.57747080121513,51.83391686235882,52.088351275948334,52.34078863635172,52.591189545777276,52.839462014783756
"EMBSeCBIO","Kis-Mohos To","Kismohos",48.33724,20.42333,315,"terrestrial, mire, bog","peat core","very small (<0.01 km2)",9,0,76.89598480115633,76.8406487445376,76.78173098795114,76.7194643050723,76.65407248509432,76.58576701950885,76.51474442490128,76.44118422937679,76.36524762907261,76.28707680019711,76.20679483178593,76.12450622551577,76.04029789206766,75.95424055926047,75.86639049598107,75.77679144824371,75.68547667983026,75.59247101008448,75.49779274561013,75.40145541076302,75.30346919367956,75.20384203976512,75.1025803425346,74.999689201803,74.89517224070347,74.78903099502745,74.68126391005345,74.57186500046127,74.46082224724874,74.3481158209686,74.23371623237297,74.11758251911482,73.99736995650093,73.87302641391159,73.74450046986428,73.6117403907168,73.4746934283299,73.33330549772485,73.18752127491284,73.03728473212911,72.88254010368416,72.72323325161916,72.55931337741539,72.39073500521256,72.21746014432786,72.03946052518627,71.85671979377878,71.66923554594871,71.47702108445093,71.28010678886551,71.07854100087654,70.8723903446956,70.6617394238566,70.44668986036608,70.22735866924003,70.0038759896513,69.7763822220469,69.54502464744562,69.30995362951253,69.07131852083594,68.83546586656658,68.60252320394186,68.37259750457187,68.14577155999041,67.92210090731307,67.70161142129005,67.484297678620635,67.27012217547482,67.05901545068154,66.85087713610662,66.64557792355677,66.44296240537115,66.24285271495772,66.04505286510438,65.84935365704601,65.6555380129561,65.46338656951717,65.27268336106785,65.08322141782894,64.89480810795361,64.70727006143608,64.52045752884254,64.33424804775548,64.14854931393788,63.963301181551635,63.77847674623702,63.59408249533426,63.410157539860194,63.226771971921885,63.04402441801995,62.86203888224482,62.6845518745789,62.511719843708725,62.34370565697626,62.180674158653694,62.02278782522677,61.87020264666605,61.72306435031299,61.581505067991756,61.445640528023496,61.31556783280537,61.191363860411236,61.073084306165825,60.960763358218045,60.85441398059346,60.754028758761905,60.65958124700745,60.571027744293524,60.488309416183036,60.41135467484963,60.34008172729854,60.27440120344377,60.214218780382836,60.15943772665805,60.10996130001071,60.065694943553424,60.02654823781307,59.99243657912658,59.963282567807596,59.939017101802555,59.91958018272881,59.900550216659624,59.881892608311006,59.86358845451961,59.84563414847446,59.82804070249911,59.81083283395742,59.79404785936531,59.77773444039756,59.76195122246358,59.74676540220961,59.73225125505505,59.718488648073134,59.70556155756746,59.69355660494395,59.682561619273905,59.67266423057379,59.66395049452613,59.65650354729312,59.650402288321494,59.64572008961116,59.6425235317635,59.64087117009077,59.640812337961805,59.64238599911597,59.64561966559504,59.65052840288807,59.65711394850723,59.66536397416568,59.67525152467905,59.68673466836684,59.69975639383261,59.70719509970849,59.70897363061177,59.705010248133675,59.69521948088682,59.67951318186404,59.65780180076466,59.629995870289285,59.59600769566764,59.55575322624942,59.50915407730023,59.456139659680495,59.3966493653484,59.33063474811517,59.25806163226722,59.178912076981156,59.09318612225583,59.00090324263668,58.90210343848455,58.79684790098845,58.68521919646939,58.567320927565696,58.443276843307174,58.313229386432276,58.17733768404104,58.03577500618009,57.888725735548135,57.73638190947291,57.57893941193613,57.416593908021746,57.24953662510964,57.082878316956844,56.91677603386941,56.75135756531297,56.586718172609444,56.42291793671413,56.259979808587545,56.097888431988586,55.93658978810337,55.77599168894867,55.61596512270093,55.456346429809486,55.296940264793434,55.13752327582409,54.97784841335263,54.81764976087472,54.65664776605453,54.49455473935927,54.33108048044151,54.16593788995348,53.998848426331634,53.82954727323495,53.65778809348825,53.483347259168404,53.306027464345505,53.12566064633535,52.94211016243298,52.75527219125136,52.56507635023246,52.3714855429045,52.17449507034001,51.97413106040873,51.785852239645294,51.60974358603418,51.44591715237946,51.29450861506944,51.15567360591739,51.02958392956785,50.91642376534297,50.816385946314654,50.72966840018956,50.65647082666999,50.596991674714,50.551425470951045,50.51996053779579,50.50277712688125,50.500045980606785,50.511927322126574,50.538570262204544,50.58011260021318,50.63668098629599,50.70839140247249,50.795349912340505,50.89765362212349,51.01539179022012,51.148647018239814,51.297496453869485,51.46201293492991,51.642266004769645,51.83832273183038,52.05024827090313,52.278106110355225,52.52195795847916,52.753828962730815,52.97376996241572,53.18182202646041,53.37801500375722,53.562365833162,53.73487664489044,53.89553269981217,54.0443002277788,54.18112424003811,54.30592640333214,54.41860307379248,54.51902359658127,54.60702898177609,54.68243106773278,54.745012279653494,54.79452608305156,54.83069821909915,54.853228791513885,54.86179525291408,54.85605631287359,54.83565676085432,54.800233165583315,54.74942037923871,54.68285874110939,54.600201842406904,54.501124682897455,54.385332022279286,54.25256670600937,54.10261772776324,53.93532777993666,53.803518677076305,53.7071495344325,53.64623998994019,53.62087338944581,53.63119839509311,53.677428880229485,53.75984202110082,53.87877454805768,54.034617175445476,54.227807288004776,54.458820020488076,54.7281579242168,55.03633946732479,55.38388666238023,55.771312153993506,56.19910612817016,56.6677234231227,57.17757122694986,57.72899774039646,58.32228216266866,58.95762632533984,59.63514825459639,60.35487788676713,61.11675509804096,61.92063013865827,62.766266487128135,63.65334606384193,64.58147666858628,65.5502014356526,66.55901003611024,67.60735130172313,68.61480626413817,69.58081902272787,70.50486999455372,71.38648895434221,72.22526684718328,73.0208660322194,73.77302866559731,74.48158299029362,75.14644736683191,75.7676319498749,76.3452379885717,76.87945480072777,77.3705545398078,77.81888493713404,78.22486025736978,78.58895075178378,78.91167092962603,79.19356699238428,79.43520378839195,79.63715164631887,79.79997343602686,79.92421218501373,80.01037954942957,80.05894540189429,80.0703287557266,80.04489019844966,79.98292595832993,79.88466367794484,79.75025991996266,79.57979938388532,79.41775940082104,79.26407259737435,79.11859450760913,78.98110896260233,78.85133470230956,78.72893300698487,78.61351613514657,78.50465635061855,78.40189532207208,78.304753684204,78.21274055960704,78.12536285387974,78.04213415293216,77.96258307013551,77.88626091133803,77.81274854726792,77.7416624049649,77.67265951218027,77.60544155077156,77.53975789665132,77.47540764454243,77.41224063538287,77.3501575224889,77.28910892932365,77.2290937667344,77.17015679065157,77.11238549231051,77.05590642192287,77.00088105324573,76.94750130056664
"EMBSeCBIO","Popradske pleso","Popradske_1",49.15343,20.07971,1513,"lacustrine, natural open-water, glacial origin","lacustrine core","small (0.01-1 km2)",9,-70,66.36311631335047,66.2736699360473,66.18521012052639,66.09799640091323,66.01228929072265,65.92834497481402,65.84641032964592,65.76671837346404,65.68948423382,65.61490170389033,65.54314044194996,65.47434385057417,65.40862765420707,65.34607917613356,65.28675729906602,65.2306930779071,65.17789095910284,65.12833054862658,65.08196886022702,65.03874296726339,64.99857297529982,64.96136522864495,64.92701566215649,64.89541320979427,64.8664431834813,64.8399905396738,64.81594295648671,64.79419365110462,64.77464387534827,64.75720503649468,64.7418004005822,64.72836634629772,64.72218590478775,64.72323088211415,64.7314943587299,64.74698988725568,64.76975017260179,64.7998252745355,64.83728038396441,64.88219323440859,64.93465121911385,64.99474829175938,65.06258173449427,65.13824888087277,65.22184388296519,65.31345461135045,65.41315977376212,65.52102633284038,65.63710729578632,65.7614399388539,65.89404451776117,66.03492350154254,66.18406135246455,66.34142485881732,66.50696401114725,66.68061339633533,66.86229406836917,67.05191584023973,67.24937992860806,67.454581872187,67.65268504911342,67.84358740299672,68.02719489223543,68.20342427513735,68.37220556175241,68.53348406164373,68.68722196996615,68.83339944917469,68.97201517992455,69.10308637167623,69.22664824059483,69.34275297892614,69.4514682555766,69.55287530158964,69.64706664613213,69.73414357810479,69.81421341528711,69.88738666683967,69.95377417595384,70.01348432750014,70.06662040083344,70.11327814071437,70.1535436099277,70.1874913760272,70.21518307215649,70.23666635857421,70.25197429784515,70.26112514313117,70.26412252609576,70.26095601904154,70.25160203539956,70.24491827541506,70.24085833025478,70.23936656054461,70.24037985535492,70.24382946409341,70.24964284393373,70.2577454689259,70.26806255203498,70.28052063776565,70.29504903044392,70.31158103131158,70.33005496601595,70.35041499251675,70.37261168757715,70.39660241757798,70.42235150615517,70.44983021691334,70.47901657407394,70.50989504727778,70.5424561288503,70.57669583265886,70.61261514331625,70.65021944301247,70.68951794083212,70.73052312620509,70.77325026433138,70.81771694721655,70.86394270955013,70.91194871425061,70.96175750826585,71.0084723717986,71.05211460566915,71.09270305260593,71.13025419102804,71.16478231232078,71.19629976426907,71.22481724218409,71.25034410883094,71.27288872449515,71.29245876934809,71.30906154161973,71.32270421687815,71.33339405587162,71.34113855082684,71.34594550274136,71.34782302498238,71.34677947134463,71.34282328955946,71.33596280403236,71.32620593426053,71.31355985789537,71.29803062971865,71.27962276984171,71.25833883617153,71.23417899755775,71.20714062499594,71.17721791876232,71.14440158934964,71.10867860952095,71.07003205366966,71.0284410389478,70.98816140629116,70.94916806958834,70.91143589598447,70.87494003913557,70.83965635081334,70.80556186656605,70.7726353572454,70.74085793425921,70.71021369256923,70.68069037188667,70.65228001340252,70.62497958689518,70.5987915613484,70.5737243914281,70.54979289242648,70.52701847766818,70.50542923492732,70.48505982212589,70.46595116741825,70.44814996461437,70.43170796160095,70.41668104678527,70.40312814637184,70.39110995320515,70.38068751567285,70.37192072244173,70.36486672527187,70.35957834751005,70.35610252981377,70.35447886694799,70.34753976432326,70.33530540513902,70.31778433944483,70.29497287710649,70.26685479567772,70.2334013907435,70.19457188568693,70.15031420596806,70.10056611028116,70.04525665782828,69.98430797789887,69.91763729549243,69.84515915537833,69.7667877772519,69.6824394669777,69.5920350037041,69.49550192020894,69.39277659441035,69.28380607366094,69.16854956022931,69.04697949611901,68.91908219782799,68.78485800642925,68.64432093497103,68.49749781307702,68.3444269471239,68.18515633279337,68.01974147442671,67.84824288174765,67.67072332850177,67.48724496879177,67.30814309349842,67.133473319323,66.96328559289663,66.79762179774639,66.6365137370403,66.47998157375439,66.32803279409379,66.18066174157079,66.03784974874613,65.89956587201115,65.76576821270785,65.6364057861594,65.51142087960446,65.39075182135193,65.27433606737591,65.16211349864228,65.05402981316358,64.9500398914528,64.85011101287228,64.75422580339045,64.66238480234705,64.57460854672976,64.49093908579232,64.4114408560857,64.33620086653751,64.265328164426,64.19895257524807,64.13722273184125,64.08030342997651,64.02837236830445,63.98161634939064,63.93101124026093,63.87673693927746,63.81895704707373,63.75781449985236,63.693427486224074,63.625885757943806,63.555247436275685,63.481536404424304,63.40474036289303,63.324809609213055,63.241656586696706,63.15515622919459,63.065147110753585,62.97143339104147,62.87378752984844,62.771953727270166,62.6656520306493,62.55458303526521,62.43843309332584,62.316879935182214,62.18959859795643,62.05626755000666,61.916574894869164,61.77022453551742,61.61694217894014,61.45648106213907,61.28862728365247,61.11320462959633,60.93007878995963,60.73916086947322,60.57135567231332,60.426669613127565,60.305157195323346,60.20692094019708,60.132110308117504,60.080919608406234,60.053584915565295,60.05038003120449,60.07161155301332,60.11761313392874,60.18873903572598,60.28535710102073,60.4078412854881,60.55656390734855,60.73188778322491,60.93415842776784,61.16369649848879,61.420790666640436,61.705691089494636,62.01860364888993,62.35968510553186,62.72903929849137,63.126714495101616,63.55270196862061,64.00693585038245,64.48929427061263,64.9996017686365,65.53763291993151,66.10311709544042,66.69574423882621,67.31517152087919,67.90465217200111,68.46382728030277,68.99235498213855,69.48991782541177,69.95622959226573,70.39104141915277,70.79414707213047,71.16538725876966,71.50465288441035,71.81188718874436,72.08708672787613,72.33030119617689,72.54163211051336,72.72123040599817,72.86929301659362,72.98605853514934,73.07180206536934,73.12682939252699,73.15147061037239,73.14607334862417,73.11099574884834,73.04659933662438,72.953241934985,72.83127075852687,72.68101581968318,72.50278376878586,72.29685227805864,72.06346506688233,71.802827651828,71.51510389029403,71.237024121822,70.96864959582206,70.70998260118881,70.46096695067217,70.2214895527105,69.99138303343916,69.77042935266206,69.55836433946764,69.35488305618415,69.15964588380777,68.97228520822914,68.79241257484557,68.61962616979243,68.45351847934047,68.29368397523271,68.13972667307033,67.99126741342056,67.84795072116465,67.70945110768406,67.57547869266689,67.44578403737722,67.32016209884478,67.19845523420044,67.08055520582178,66.96640416052607,66.85599457917114,66.74936821609413,66.64661407022277,66.54786545084306,66.45329622035062
"EMBSeCBIO","Popradske pleso","Popradske_2",49.15343,20.07971,1513,"lacustrine, natural open-water, glacial origin","lacustrine core","small (0.01-1 km2)",9,-51,66.36311631335047,66.2736699360473,66.18521012052639,66.09799640091323,66.01228929072265,65.92834497481402,65.84641032964592,65.76671837346404,65.68948423382,65.61490170389033,65.54314044194996,65.47434385057417,65.40862765420707,65.34607917613356,65.28675729906602,65.2306930779071,65.17789095910284,65.12833054862658,65.08196886022702,65.03874296726339,64.99857297529982,64.96136522864495,64.92701566215649,64.89541320979427,64.8664431834813,64.8399905396738,64.81594295648671,64.79419365110462,64.77464387534827,64.75720503649468,64.7418004005822,64.72836634629772,64.72218590478775,64.72323088211415,64.7314943587299,64.74698988725568,64.76975017260179,64.7998252745355,64.83728038396441,64.88219323440859,64.93465121911385,64.99474829175938,65.06258173449427,65.13824888087277,65.22184388296519,65.31345461135045,65.41315977376212,65.52102633284038,65.63710729578632,65.7614399388539,65.89404451776117,66.03492350154254,66.18406135246455,66.34142485881732,66.50696401114725,66.68061339633533,66.86229406836917,67.05191584023973,67.24937992860806,67.454581872187,67.65268504911342,67.84358740299672,68.02719489223543,68.20342427513735,68.37220556175241,68.53348406164373,68.68722196996615,68.83339944917469,68.97201517992455,69.10308637167623,69.22664824059483,69.34275297892614,69.4514682555766,69.55287530158964,69.64706664613213,69.73414357810479,69.81421341528711,69.88738666683967,69.95377417595384,70.01348432750014,70.06662040083344,70.11327814071437,70.1535436099277,70.1874913760272,70.21518307215649,70.23666635857421,70.25197429784515,70.26112514313117,70.26412252609576,70.26095601904154,70.25160203539956,70.24491827541506,70.24085833025478,70.23936656054461,70.24037985535492,70.24382946409341,70.24964284393373,70.2577454689259,70.26806255203498,70.28052063776565,70.29504903044392,70.31158103131158,70.33005496601595,70.35041499251675,70.37261168757715,70.39660241757798,70.42235150615517,70.44983021691334,70.47901657407394,70.50989504727778,70.5424561288503,70.57669583265886,70.61261514331625,70.65021944301247,70.68951794083212,70.73052312620509,70.77325026433138,70.81771694721655,70.86394270955013,70.91194871425061,70.96175750826585,71.0084723717986,71.05211460566915,71.09270305260593,71.13025419102804,71.16478231232078,71.19629976426907,71.22481724218409,71.25034410883094,71.27288872449515,71.29245876934809,71.30906154161973,71.32270421687815,71.33339405587162,71.34113855082684,71.34594550274136,71.34782302498238,71.34677947134463,71.34282328955946,71.33596280403236,71.32620593426053,71.31355985789537,71.29803062971865,71.27962276984171,71.25833883617153,71.23417899755775,71.20714062499594,71.17721791876232,71.14440158934964,71.10867860952095,71.07003205366966,71.0284410389478,70.98816140629116,70.94916806958834,70.91143589598447,70.87494003913557,70.83965635081334,70.80556186656605,70.7726353572454,70.74085793425921,70.71021369256923,70.68069037188667,70.65228001340252,70.62497958689518,70.5987915613484,70.5737243914281,70.54979289242648,70.52701847766818,70.50542923492732,70.48505982212589,70.46595116741825,70.44814996461437,70.43170796160095,70.41668104678527,70.40312814637184,70.39110995320515,70.38068751567285,70.37192072244173,70.36486672527187,70.35957834751005,70.35610252981377,70.35447886694799,70.34753976432326,70.33530540513902,70.31778433944483,70.29497287710649,70.26685479567772,70.2334013907435,70.19457188568693,70.15031420596806,70.10056611028116,70.04525665782828,69.98430797789887,69.91763729549243,69.84515915537833,69.7667877772519,69.6824394669777,69.5920350037041,69.49550192020894,69.39277659441035,69.28380607366094,69.16854956022931,69.04697949611901,68.91908219782799,68.78485800642925,68.64432093497103,68.49749781307702,68.3444269471239,68.18515633279337,68.01974147442671,67.84824288174765,67.67072332850177,67.48724496879177,67.30814309349842,67.133473319323,66.96328559289663,66.79762179774639,66.6365137370403,66.47998157375439,66.32803279409379,66.18066174157079,66.03784974874613,65.89956587201115,65.76576821270785,65.6364057861594,65.51142087960446,65.39075182135193,65.27433606737591,65.16211349864228,65.05402981316358,64.9500398914528,64.85011101287228,64.75422580339045,64.66238480234705,64.57460854672976,64.49093908579232,64.4114408560857,64.33620086653751,64.265328164426,64.19895257524807,64.13722273184125,64.08030342997651,64.02837236830445,63.98161634939064,63.93101124026093,63.87673693927746,63.81895704707373,63.75781449985236,63.693427486224074,63.625885757943806,63.555247436275685,63.481536404424304,63.40474036289303,63.324809609213055,63.241656586696706,63.15515622919459,63.065147110753585,62.97143339104147,62.87378752984844,62.771953727270166,62.6656520306493,62.55458303526521,62.43843309332584,62.316879935182214,62.18959859795643,62.05626755000666,61.916574894869164,61.77022453551742,61.61694217894014,61.45648106213907,61.28862728365247,61.11320462959633,60.93007878995963,60.73916086947322,60.57135567231332,60.426669613127565,60.305157195323346,60.20692094019708,60.132110308117504,60.080919608406234,60.053584915565295,60.05038003120449,60.07161155301332,60.11761313392874,60.18873903572598,60.28535710102073,60.4078412854881,60.55656390734855,60.73188778322491,60.93415842776784,61.16369649848879,61.420790666640436,61.705691089494636,62.01860364888993,62.35968510553186,62.72903929849137,63.126714495101616,63.55270196862061,64.00693585038245,64.48929427061263,64.9996017686365,65.53763291993151,66.10311709544042,66.69574423882621,67.31517152087919,67.90465217200111,68.46382728030277,68.99235498213855,69.48991782541177,69.95622959226573,70.39104141915277,70.79414707213047,71.16538725876966,71.50465288441035,71.81188718874436,72.08708672787613,72.33030119617689,72.54163211051336,72.72123040599817,72.86929301659362,72.98605853514934,73.07180206536934,73.12682939252699,73.15147061037239,73.14607334862417,73.11099574884834,73.04659933662438,72.953241934985,72.83127075852687,72.68101581968318,72.50278376878586,72.29685227805864,72.06346506688233,71.802827651828,71.51510389029403,71.237024121822,70.96864959582206,70.70998260118881,70.46096695067217,70.2214895527105,69.99138303343916,69.77042935266206,69.55836433946764,69.35488305618415,69.15964588380777,68.97228520822914,68.79241257484557,68.61962616979243,68.45351847934047,68.29368397523271,68.13972667307033,67.99126741342056,67.84795072116465,67.70945110768406,67.57547869266689,67.44578403737722,67.32016209884478,67.19845523420044,67.08055520582178,66.96640416052607,66.85599457917114,66.74936821609413,66.64661407022277,66.54786545084306,66.45329622035062
