"source","site_name","entity_name","latitude","longitude","elevation","basin_size","site_type","entity_type","age_BP","ID_BIOME","PNV","ID_SAMPLE","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150","T151","T152","T153","T154","T155","T156","T157","T158","T159","T160","T161","T162","T163","T164","T165","T166","T167","T168","T169","T170","T171","T172","T173","T174","T175","T176","T177","T178","T179","T180","T181","T182","T183","T184","T185","T186","T187","T188","T189","T190","T191","T192","T193","T194","T195","T196","T197","T198","T199","T200","T201","T202","T203","T204","T205","T206","T207","T208","T209","T210","T211","T212","T213","T214","T215","T216","T217","T218","T219","T220","T221","T222","T223","T224","T225","T226","T227","T228","T229","T230","T231","T232","T233","T234","T235","T236","T237","T238","T239","T240","T241","T242","T243","T244","T245","T246","T247","T248","T249","T250","T251","T252","T253","T254","T255","T256","T257","T258","T259","T260","T261","T262","T263","T264","T265","T266","T267","T268","T269","T270","T271","T272","T273","T274","T275","T276","T277","T278","T279","T280","T281","T282","T283","T284","T285","T286","T287","T288","T289","T290","T291","T292","T293","T294","T295","T296","T297","T298","T299","T300","T301","T302","T303","T304","T305","T306","T307","T308","T309","T310","T311","T312","T313","T314","T315","T316","T317","T318","T319","T320","T321","T322","T323","T324","T325","T326","T327","T328","T329","T330","T331","T332","T333","T334","T335","T336","T337","T338","T339","T340","T341","T342","T343","T344","T345","T346","T347","T348","T349","T350","T351","T352","T353","T354","T355","T356","T357","T358","T359","T360","T361","T362","T363","T364","T365"
"APD","Grootdrift Farm 2","GDV4_0",-32.3833333333333,18,720,"not applicable","terrestrial","not known","modern",,"not applicable",83,21.072070781184586,21.107739913059554,21.142878325871852,21.177462805684414,21.211471037895496,21.244882577517473,21.277679763022963,21.309848539539363,21.341379160746317,21.372266743401525,21.402511653797486,21.432119711425738,21.461102201475985,21.48947569430101,21.517261676418798,21.544486003796123,21.571178193877792,21.597370577932235,21.623097339642595,21.648393469378707,21.6732936661655,21.69783122097282,21.72203691557481,21.745937970875396,21.769557077303457,21.792911537702945,21.81601255015166,21.838864654423894,21.861465361465246,21.883804980379374,21.90586665214868,21.927626593744733,21.946496478206704,21.962442912369,21.97543014510946,21.985420958063266,21.992377645133846,21.99626305614447,21.997041677144338,21.99468071764709,21.989151173526473,21.980428833507176,21.96849519724124,21.953338273910965,21.934953232188974,21.913342875233266,21.888517918191475,21.860497050393846,21.829306769957096,21.794980984791934,21.757560380861975,21.717091565802022,21.67362600345898,21.62721876233231,21.5779271080056,21.52580897620959,21.470921368868936,21.413318720101337,21.353051282419358,21.29016358512582,21.22633789956219,21.16160159855513,21.095971048962024,21.029450914833724,20.962033786340307,20.893700157538607,20.82441876535949,20.754147290556453,20.682833409165667,20.610416170706113,20.536827667350416,20.46199494708776,20.385842113936192,20.308292549975146,20.229271187744533,20.14870675771698,20.06653393433515,19.982695305665477,19.89714309609572,19.809840578630713,19.720763123038402,19.629898838079733,19.53724877993013,19.442826714188485,19.34665843501972,19.248780661384203,19.149239546339096,19.048088850414747,18.945387843459294,18.841199010540862,18.735585646005802,18.62924105650909,18.52222279609238,18.414582117523345,18.3063620556188,18.1975958488171,18.088305761663722,17.97850235594796,17.868184241238417,17.757338317154,17.64594050058658,17.533956912012826,17.421345476756514,17.308057880326416,17.194041802444634,17.07924334269901,16.963609542395478,16.847090902519327,16.729643796955035,16.611232683328957,16.49183202092678,16.371427815845816,16.250018727466234,16.127616686930175,16.004246996956095,15.87994790225815,15.754769640298658,15.628773002269002,15.502027453271708,15.374608877909399,15.246597032194696,15.119745485070514,14.994132108989845,14.869828966335485,14.746899654058371,14.625396895589017,14.50536046935222,14.38681555088456,14.26977153034598,14.154221349737236,14.040141385077266,13.92749187890647,13.816217908536359,13.706250856229357,13.597510329693327,13.489906465576228,13.383342535617029,13.27771776520705,13.172930267667367,13.068879994739918,12.965471604662572,12.862617153649033,12.76023852438203,12.658269515889346,12.556657532434178,12.455364824258751,12.354369249554013,12.2536645442373,12.153260103342728,12.053180294425712,11.953463338754636,11.854159809678684,11.757609861874158,11.663881539123231,11.573047611298625,11.485183296424179,11.400363997854935,11.31866313024651,11.240150102013743,11.164888513841362,11.092934622899392,11.02433611117888,10.95913118427642,10.89734801450225,10.839004529842814,10.784108538518801,10.732658168044857,10.684642588157995,10.640042979011174,10.59883369982219,10.560983608844985,10.526457483128967,10.495217486018472,10.467224631615718,10.44244019832595,10.420827047914042,10.402350811983098,10.386980914170298,10.374691403365407,10.365461580615658,10.359276409822835,10.35612670961972,10.353400550337657,10.351101706962043,10.349240636227382,10.347833839763231,10.346903059039775,10.346474331773074,10.346576942017972,10.347242297791952,10.348502770768249,10.350390532401349,10.352936419865616,10.356168863468653,10.360112904821278,10.364789332082516,10.370213955128342,10.376397039593181,10.383342914478119,10.391049763484133,10.39950960548768,10.408708464706544,10.418626726188089,10.429239667375404,10.440518151762888,10.452429466140291,10.464938278748624,10.478007691942262,10.491600359781934,10.505679638482828,10.520210735917665,10.535161825520891,10.550505090037277,10.567926412760245,10.58740886676306,10.608942096287471,10.632522748636312,10.65815468978139,10.685848992175746,10.715623690267119,10.747503306655558,10.78151815949299,10.817703469334685,10.856098290952898,10.896744302336794,10.939684488959234,10.984961766135571,11.032617585703047,11.082690575123472,11.135215257314488,11.190220897962984,11.247730523749059,11.30776014986097,11.370318248530955,11.435405482261105,11.503014716191895,11.573131314009359,11.645733711250793,11.720794249250021,11.798280242676492,11.878155244087441,11.96038046053036,12.044916270377154,12.131723783561554,12.218144906734441,12.304146674278117,12.389701097788386,12.474786301194996,12.559387415365528,12.643497193536383,12.727116319377327,12.810253391287542,12.89292457919026,12.975152963144765,13.05696757600514,13.138402184597986,13.219493854955648,13.300281356555814,13.380803467870868,13.461097250487217,13.541196361374865,13.62112947243494,13.700918863204294,13.780579246642468,13.860116879471484,13.939528997892307,14.018803607067916,14.097919639022983,14.17684747910662,14.255549846475901,14.333982999776975,14.412098225909133,14.489843558003043,14.567165659015703,14.645210337413111,14.7239279207935,14.80327371454129,14.883209771909709,14.963706443118417,15.044743641601006,15.126311775947727,15.208412308599305,15.291057916471406,15.374272243870347,15.458089253697887,15.54255219841497,15.627712246923483,15.713626816844368,15.80035767308575,15.887968862648973,15.976524561950058,16.066086916286494,16.15671395132125,16.248457633579996,16.341362151083107,16.435462476601035,16.53078326498049,16.627338122988863,16.725129275690016,16.824147638078863,16.924373285179552,17.02577629867293,17.12831795396635,17.231952199010628,17.33662736559734,17.439738072964087,17.541228306741804,17.641043407201757,17.73913194860596,17.835447467013886,17.92994997353589,18.022607199296438,18.11339552965136,18.202300598010375,18.289317523410574,18.374450790197297,18.457713782213602,18.53912799721228,18.61872197925795,18.696530017211852,18.772590665601097,18.846945149968974,18.919635721994062,18.990704030170292,19.06018956968947,19.12812827050044,19.1945512755757,19.259483952524953,19.322945171257686,19.38494686887175,19.44549391082262,19.50458424521651,19.562209335267653,19.61835484403753,19.673001535956026,19.727198162199645,19.78091799230919,19.834131910593502,19.88680973409271,19.938921508073015,19.990438727188067,20.041335435144347,20.0915891621774,20.141181667571402,20.190099463475107,20.238334105986773,20.28588224948904,20.332745470097848,20.37892987345537,20.424445510580767,20.469305632781595,20.5135258224609,20.557123040841386,20.6001146360452,20.642517355570746,20.684346406023,20.725614600078202,20.76633162625878,20.806503471375393,20.846132018722535,20.885214837583902,20.923745171629665,20.96171212568968,20.999101042479822,21.035894053440387
"APD","Grootdrift Farm 2","GDV4_5",-32.3833333333333,18,720,"not applicable","terrestrial","not known","modern",,"not applicable",84,21.072070781184586,21.107739913059554,21.142878325871852,21.177462805684414,21.211471037895496,21.244882577517473,21.277679763022963,21.309848539539363,21.341379160746317,21.372266743401525,21.402511653797486,21.432119711425738,21.461102201475985,21.48947569430101,21.517261676418798,21.544486003796123,21.571178193877792,21.597370577932235,21.623097339642595,21.648393469378707,21.6732936661655,21.69783122097282,21.72203691557481,21.745937970875396,21.769557077303457,21.792911537702945,21.81601255015166,21.838864654423894,21.861465361465246,21.883804980379374,21.90586665214868,21.927626593744733,21.946496478206704,21.962442912369,21.97543014510946,21.985420958063266,21.992377645133846,21.99626305614447,21.997041677144338,21.99468071764709,21.989151173526473,21.980428833507176,21.96849519724124,21.953338273910965,21.934953232188974,21.913342875233266,21.888517918191475,21.860497050393846,21.829306769957096,21.794980984791934,21.757560380861975,21.717091565802022,21.67362600345898,21.62721876233231,21.5779271080056,21.52580897620959,21.470921368868936,21.413318720101337,21.353051282419358,21.29016358512582,21.22633789956219,21.16160159855513,21.095971048962024,21.029450914833724,20.962033786340307,20.893700157538607,20.82441876535949,20.754147290556453,20.682833409165667,20.610416170706113,20.536827667350416,20.46199494708776,20.385842113936192,20.308292549975146,20.229271187744533,20.14870675771698,20.06653393433515,19.982695305665477,19.89714309609572,19.809840578630713,19.720763123038402,19.629898838079733,19.53724877993013,19.442826714188485,19.34665843501972,19.248780661384203,19.149239546339096,19.048088850414747,18.945387843459294,18.841199010540862,18.735585646005802,18.62924105650909,18.52222279609238,18.414582117523345,18.3063620556188,18.1975958488171,18.088305761663722,17.97850235594796,17.868184241238417,17.757338317154,17.64594050058658,17.533956912012826,17.421345476756514,17.308057880326416,17.194041802444634,17.07924334269901,16.963609542395478,16.847090902519327,16.729643796955035,16.611232683328957,16.49183202092678,16.371427815845816,16.250018727466234,16.127616686930175,16.004246996956095,15.87994790225815,15.754769640298658,15.628773002269002,15.502027453271708,15.374608877909399,15.246597032194696,15.119745485070514,14.994132108989845,14.869828966335485,14.746899654058371,14.625396895589017,14.50536046935222,14.38681555088456,14.26977153034598,14.154221349737236,14.040141385077266,13.92749187890647,13.816217908536359,13.706250856229357,13.597510329693327,13.489906465576228,13.383342535617029,13.27771776520705,13.172930267667367,13.068879994739918,12.965471604662572,12.862617153649033,12.76023852438203,12.658269515889346,12.556657532434178,12.455364824258751,12.354369249554013,12.2536645442373,12.153260103342728,12.053180294425712,11.953463338754636,11.854159809678684,11.757609861874158,11.663881539123231,11.573047611298625,11.485183296424179,11.400363997854935,11.31866313024651,11.240150102013743,11.164888513841362,11.092934622899392,11.02433611117888,10.95913118427642,10.89734801450225,10.839004529842814,10.784108538518801,10.732658168044857,10.684642588157995,10.640042979011174,10.59883369982219,10.560983608844985,10.526457483128967,10.495217486018472,10.467224631615718,10.44244019832595,10.420827047914042,10.402350811983098,10.386980914170298,10.374691403365407,10.365461580615658,10.359276409822835,10.35612670961972,10.353400550337657,10.351101706962043,10.349240636227382,10.347833839763231,10.346903059039775,10.346474331773074,10.346576942017972,10.347242297791952,10.348502770768249,10.350390532401349,10.352936419865616,10.356168863468653,10.360112904821278,10.364789332082516,10.370213955128342,10.376397039593181,10.383342914478119,10.391049763484133,10.39950960548768,10.408708464706544,10.418626726188089,10.429239667375404,10.440518151762888,10.452429466140291,10.464938278748624,10.478007691942262,10.491600359781934,10.505679638482828,10.520210735917665,10.535161825520891,10.550505090037277,10.567926412760245,10.58740886676306,10.608942096287471,10.632522748636312,10.65815468978139,10.685848992175746,10.715623690267119,10.747503306655558,10.78151815949299,10.817703469334685,10.856098290952898,10.896744302336794,10.939684488959234,10.984961766135571,11.032617585703047,11.082690575123472,11.135215257314488,11.190220897962984,11.247730523749059,11.30776014986097,11.370318248530955,11.435405482261105,11.503014716191895,11.573131314009359,11.645733711250793,11.720794249250021,11.798280242676492,11.878155244087441,11.96038046053036,12.044916270377154,12.131723783561554,12.218144906734441,12.304146674278117,12.389701097788386,12.474786301194996,12.559387415365528,12.643497193536383,12.727116319377327,12.810253391287542,12.89292457919026,12.975152963144765,13.05696757600514,13.138402184597986,13.219493854955648,13.300281356555814,13.380803467870868,13.461097250487217,13.541196361374865,13.62112947243494,13.700918863204294,13.780579246642468,13.860116879471484,13.939528997892307,14.018803607067916,14.097919639022983,14.17684747910662,14.255549846475901,14.333982999776975,14.412098225909133,14.489843558003043,14.567165659015703,14.645210337413111,14.7239279207935,14.80327371454129,14.883209771909709,14.963706443118417,15.044743641601006,15.126311775947727,15.208412308599305,15.291057916471406,15.374272243870347,15.458089253697887,15.54255219841497,15.627712246923483,15.713626816844368,15.80035767308575,15.887968862648973,15.976524561950058,16.066086916286494,16.15671395132125,16.248457633579996,16.341362151083107,16.435462476601035,16.53078326498049,16.627338122988863,16.725129275690016,16.824147638078863,16.924373285179552,17.02577629867293,17.12831795396635,17.231952199010628,17.33662736559734,17.439738072964087,17.541228306741804,17.641043407201757,17.73913194860596,17.835447467013886,17.92994997353589,18.022607199296438,18.11339552965136,18.202300598010375,18.289317523410574,18.374450790197297,18.457713782213602,18.53912799721228,18.61872197925795,18.696530017211852,18.772590665601097,18.846945149968974,18.919635721994062,18.990704030170292,19.06018956968947,19.12812827050044,19.1945512755757,19.259483952524953,19.322945171257686,19.38494686887175,19.44549391082262,19.50458424521651,19.562209335267653,19.61835484403753,19.673001535956026,19.727198162199645,19.78091799230919,19.834131910593502,19.88680973409271,19.938921508073015,19.990438727188067,20.041335435144347,20.0915891621774,20.141181667571402,20.190099463475107,20.238334105986773,20.28588224948904,20.332745470097848,20.37892987345537,20.424445510580767,20.469305632781595,20.5135258224609,20.557123040841386,20.6001146360452,20.642517355570746,20.684346406023,20.725614600078202,20.76633162625878,20.806503471375393,20.846132018722535,20.885214837583902,20.923745171629665,20.96171212568968,20.999101042479822,21.035894053440387
"Australian pollen","Airport Swamp","Airport Swamp core_05",31.54,159.08,5,"very small (<0.01 km2)","terrestrial, bog/fen/swamp","core","-28",,"not applicable",136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Australian pollen","Airport Swamp","Airport Swamp core_105",31.54,159.08,5,"very small (<0.01 km2)","terrestrial, bog/fen/swamp","core","46",,"not applicable",137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Australian pollen","Airport Swamp","Airport Swamp core_25",31.54,159.08,5,"very small (<0.01 km2)","terrestrial, bog/fen/swamp","core","-14",,"not applicable",138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Australian pollen","Airport Swamp","Airport Swamp core_50",31.54,159.08,5,"very small (<0.01 km2)","terrestrial, bog/fen/swamp","core","5",,"not applicable",139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Australian pollen","Airport Swamp","Airport Swamp core_75",31.54,159.08,5,"very small (<0.01 km2)","terrestrial, bog/fen/swamp","core","24",,"not applicable",140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Australian pollen","Bremer Bay Swamp","Bremer Bay Swamp_a",-34.833,119.4,0,"not known","terrestrial, bog/fen/swamp","not known","modern",,"not applicable",385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Australian pollen","Bremer Bay Swamp","Bremer Bay Swamp_b",-34.833,119.4,0,"not known","terrestrial, bog/fen/swamp","not known","modern",,"not applicable",386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Australian pollen","Bremer Bay Swamp","Bremer Bay Swamp_c",-34.833,119.4,0,"not known","terrestrial, bog/fen/swamp","not known","modern",,"not applicable",387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
