"source","site_name","entity_name","latitude","longitude","elevation","basin_size","site_type","entity_type","age_BP","ID_BIOME","ID_SAMPLE","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150","T151","T152","T153","T154","T155","T156","T157","T158","T159","T160","T161","T162","T163","T164","T165","T166","T167","T168","T169","T170","T171","T172","T173","T174","T175","T176","T177","T178","T179","T180","T181","T182","T183","T184","T185","T186","T187","T188","T189","T190","T191","T192","T193","T194","T195","T196","T197","T198","T199","T200","T201","T202","T203","T204","T205","T206","T207","T208","T209","T210","T211","T212","T213","T214","T215","T216","T217","T218","T219","T220","T221","T222","T223","T224","T225","T226","T227","T228","T229","T230","T231","T232","T233","T234","T235","T236","T237","T238","T239","T240","T241","T242","T243","T244","T245","T246","T247","T248","T249","T250","T251","T252","T253","T254","T255","T256","T257","T258","T259","T260","T261","T262","T263","T264","T265","T266","T267","T268","T269","T270","T271","T272","T273","T274","T275","T276","T277","T278","T279","T280","T281","T282","T283","T284","T285","T286","T287","T288","T289","T290","T291","T292","T293","T294","T295","T296","T297","T298","T299","T300","T301","T302","T303","T304","T305","T306","T307","T308","T309","T310","T311","T312","T313","T314","T315","T316","T317","T318","T319","T320","T321","T322","T323","T324","T325","T326","T327","T328","T329","T330","T331","T332","T333","T334","T335","T336","T337","T338","T339","T340","T341","T342","T343","T344","T345","T346","T347","T348","T349","T350","T351","T352","T353","T354","T355","T356","T357","T358","T359","T360","T361","T362","T363","T364","T365"
"Harrison et al., 2021","Juodonys","juodonys_core",55.74,25.44,20,"small (0.01-1 km2)","bog","core top","modern",9,1,90.18925462899739,90.06855173589265,89.94698552745233,89.82457794304068,89.70132276065473,89.57718567595063,89.45210509553796,89.32599363289648,89.19874027526143,89.07021316990279,88.94026295903384,88.8087265747799,88.67543138990129,88.54019960693653,88.40285275872003,88.26321618733925,88.12112336694604,87.97641993868592,87.82896733347283,87.6786458703465,87.52535723445692,87.36902625888935,87.20960195795794,87.04705778548156,86.88139111899237,86.71262199879887,86.54079117823547,86.3659575671742,86.18819517385742,86.0075896693256,85.82423471326192,85.63822818923965,85.44765947135258,85.25262251125676,85.05320369026191,84.84947920052376,84.6415130281604,84.42935561450489,84.21304324224181,83.99259816132425,83.76802943667121,83.53933446713323,83.30650109452291,83.06951019403581,82.82833861441219,82.58296231882487,82.33335956660214,82.07951397211384,81.82141728077312,81.55907171310173,81.29249174582668,81.02170522333284,80.74675372251644,80.46769212792624,80.18458741059702,79.89751664157782,79.60656430816022,79.3118190355452,79.01336984754278,78.71130212541556,78.41254005562253,78.11715205649979,77.82519349819896,77.53670320397437,77.25170051947384,76.97018310247248,76.69212555683318,76.417478999814,76.14617161258148,75.87811018158864,75.61318259510891,75.35126121656755,75.09220701622503,74.83587430702602,74.58211590063831,74.33078847724806,74.08175794862726,73.83490458908962,73.59012771354959,73.34734969596188,73.10651914449542,72.86761308106097,72.63063801107529,72.39562981311614,72.16265242565177,71.9317953573935,71.70317009699593,71.47690554476854,71.2531426317959,71.03202832855834,70.81370927421115,70.58784676083731,70.35457085428,70.11399590255324,69.86621520108152,69.61129652460963,69.34927872081273,69.08016952062093,68.80394467354431,68.520548464666,68.22989561548293,67.93187451558809,67.62635167850826,67.31317726500197,66.99219147281393,66.66323155508162,66.32613920181396,65.98076800126353,65.62699069134673,65.26470591583131,64.8938442156729,64.51437301204331,64.12630037324357,63.729677401439474,63.32459912528144,62.91120383900656,62.4896708854423,62.06021693721859,61.623090885260524,61.1785674941752,60.72694002856331,60.28618373940459,59.85659063134643,59.43843246501792,59.03195243336373,58.63735743704761,58.25481121573638,57.88442856326026,57.52627081801021,57.18034277698757,56.84659113437473,56.52490449520353,56.21511496355819,55.91700125464583,55.63029323277757,55.354677734438674,55.0898054985732,54.835298996078855,54.590760928107706,54.35578314857906,54.12995576048794,53.91287613796826,53.70415763618983,53.50343776830717,53.310385651906365,53.12470855560392,52.946157408430324,52.77453116910034,52.60967998796287,52.45150713009838,52.29996966256003,52.155077941118826,52.020759187004785,51.897125338163974,51.78433463487866,51.68258716248862,51.59211971772546,51.51320014698386,51.44612130809036,51.39119480632527,51.3487446510069,51.31910097132813,51.30259391984347,51.299547879552925,51.31027607642102,51.33507568388028,51.374223489837505,51.427972180317546,51.49654727748962,51.580144753716844,51.67892932770936,51.79303343405653,51.922556843559484,52.06756689904653,52.22809931988973,52.40415951839925,52.59572436279806,52.80274431470992,53.025145864163875,53.26283418214345,53.515695909786224,53.783602004536775,54.039513833019065,54.28329249015185,54.5148044289559,54.73392340161523,54.94053194314025,55.134522379073786,55.31579735555552,55.48426990708208,55.63986309391136,55.78250925669948,55.91214895006077,56.02872962876672,56.1322041697609,56.22252931963827,56.29966416039092,56.363568685827865,56.41420257703199,56.45152425754626,56.47549029784269,56.48605522432335,56.48317177104971,56.466791593152976,56.436866440087336,56.39334976529207,56.336198727225565,56.26537651595936,56.18085492041481,56.08261703470364,55.97065998866148,55.84499757821143,55.70566266622811,55.58675935567301,55.488349051590895,55.41050178038146,55.353296905122185,55.31682328273634,55.30117879883044,55.30646924103954,55.33280649973385,55.38030611496839,55.44908421947626,55.539253958090626,55.65092149295025,55.78418172991173,55.939113923513666,56.11577733447616,56.314207124082714,56.53441067310383,56.776364508651696,57.04001201026471,57.32526204668511,57.631988667621755,57.960031941017775,58.30919998703052,58.67927221641459,59.07000373487254,59.481130827968805,59.91237739528515,60.36346215956497,60.83410643853513,61.32404223567811,61.83302038300795,62.335796439244504,62.83218891162041,63.32206373181138,63.805339583592755,64.28199184392433,64.75205495688573,65.21562310983809,65.67284913752552,66.12394164049601,66.56916036693431,67.0088099693373,67.44323230698006,67.87279751943349,68.29789414329483,68.71891858183618,69.13626426387339,69.55031084263885,69.96141378711359,70.36989470695623,70.77603272819113,71.18005720103777,71.58214197499962,71.9824014213342,72.38088832139817,72.77759367347356,73.17244840306866,73.56532689495569,73.95605220191781,74.34440272774003,74.73012013256374,75.11136116500543,75.48782909289483,75.85922622253489,76.22526316458065,76.58566752368029,76.94019171975701,77.28861968601699,77.6307722350206,77.96651093753817,78.29574041724295,78.61840902524038,78.93450791957987,79.24406863387148,79.54715927368383,79.84387952750001,80.13435471891567,80.41872915709293,80.69715906226885,80.96980535180856,81.2368265698117,81.49837222997745,81.75457681807622,82.00555466812428,82.25139588667379,82.49216345425015,82.72789158379568,82.95858536502058,83.1842216728453,83.40475126959662,83.62010198611783,83.83018282807375,84.03942248938226,84.2477025601619,84.45489690020736,84.66087744498458,84.86551988551768,85.06870900820904,85.27034350058885,85.47034005563894,85.6686366394154,85.86519482278429,86.06000111664713,86.25306728950362,86.44442968502634,86.63414759405326,86.82230076871215,87.00898619515642,87.19431426470055,87.37840450035482,87.56138100647948,87.74336781340328,87.92448428652467,88.10484076102885,88.28453454951844,88.4636464513538,88.64223787025342,88.82034862173039,88.99799548529684,89.17517152911128,89.35184620789232,89.52796620940677,89.69504354220715,89.85298846461875,90.00169872420244,90.14106267711139,90.27096271939824,90.39127891601616,90.50189271148554,90.60269060800064,90.69356770179104,90.7744309764173,90.84520226191422,90.90582078081478,90.95624521561648,90.99645524672684,91.02645252492512,91.04626105752153,91.05592700235715,91.05551787829178,91.04512121464673,91.02484267502207,90.99480370284356,90.95513874679007,90.9059921337952,90.84751466550365,90.77986002078771,90.70318105207663,90.61762606670301,90.52333518610193,90.42043687538099,90.30904473340402
"Harrison et al., 2021","Petresiunai","petresiunai_121",55.85,25.7028,107,"0.02","lake","core top","20",9,2,90.42379988278249,90.28986491997283,90.15411177541209,90.01661811789833,89.87742938642776,89.73655781862132,89.59398233668624,89.44964929939441,89.30347410445044,89.15534360120604,89.00511924971093,88.85264093937236,88.69773135983365,88.54020079885507,88.37985222771725,88.21648652459939,88.04990768101673,87.87992783609873,87.70637198841764,87.52908224522933,87.34792148413825,87.16277632191984,86.973559308906,86.78021029415085,86.58269693559507,86.38101435955797,86.17518400394799,85.96525170842085,85.75128514115329,85.533370674855007,85.31160984312956,85.08611552152087,84.85997559242173,84.6333100683927,84.4062350276612,84.17885931847967,83.95128175645594,83.7235889082547,83.49585352792226,83.26813368218426,83.04047256971039,82.8128990079201,82.58542853082561,82.35806501403003,82.13080271959036,81.90362863509608,81.67652496889517,81.44947165752664,81.22244874242624,80.99543848086635,80.76842707057834,80.54140588796953,80.31437216540343,80.087329062518,79.86028511868034,79.63325310694177,79.4062483427166,79.17928653130525,78.95238126583372,78.72554130982729,78.49958528833507,78.27451376039714,78.05032408856037,77.82700807783816,77.60455000698924,77.38292518416685,77.16209913454597,76.94202749747937,76.72265667634576,76.50392524703213,76.28576609257546,76.06810919359815,75.85088496853115,75.63402802587726,75.41748116443623,75.20119943778998,74.98515408745754,74.7693361456849,74.55375951419866,74.33846333939736,74.12351352700418,73.90900326938001,73.69505249541785,73.48180619478933,73.26943161366457,73.05811436604495,72.84805355161072,72.63945601553883,72.43252992618685,72.22747788110762,72.02448977899758,71.81100974939461,71.58718151812332,71.35311624086204,71.10888716677061,70.85452539208288,70.59001689391947,70.31530099263443,70.03027034249631,69.73477249720789,69.42861304069032,69.11156021684009,68.78335093679618,68.4436979907859,68.09229824587102,67.72884157270053,67.35302021521997,66.96453829835247,66.56312116073191,66.14852420295651,65.72054095643827,65.27901010318304,64.8238212117748,64.35491899809581,63.87230596921907,63.376043363532915,62.86625035741037,62.343101566448844,61.80682292531858,61.25768608252167,60.69600149300068,60.15534335689522,59.63605535020127,59.13847454038265,58.662922457925,58.20969652217715,57.77906207842225,57.37124527914536,56.98642701111477,56.62473803257981,56.2862554431878,55.9710005648281,55.678938266231874,55.40997771947151,55.16397453406463,54.94073417558854,54.740016541718475,54.56154154033263,54.40499549242054,54.27003816734043,54.15631024958057,54.0634410344026,53.99105615416838,53.93878514716958,53.906268695622586,53.89316537829244,53.89915780503219,53.923958024416564,53.96731212068257,54.02900394149118,54.108857922812064,54.206741000826376,54.30326173150885,54.39838864635591,54.49214744711347,54.58461910369563,54.67593704704838,54.766283552581044,54.855885419671,54.945009059797805,55.03395511020529,55.123052691790626,55.21265342936673,55.30312534974317,55.394846768438214,55.4882002694836,55.58356687493204,55.68132049154155,55.781822711902706,55.88541803621171,55.99242956919608,56.103155234589195,56.21786453726426,56.33679589090878,56.46015451719698,56.58811091104153,56.720799855922564,56.85831996373715,57.00073370530069,57.14806789075768,57.300314553879325,57.45743219065716,57.60541337573707,57.744160097277174,57.87355171154056,57.993446865464065,58.10368542569029,58.20409038596362,58.29446973382617,58.37461826688215,58.44431935812269,58.50334667849905,58.55146589269824,58.58843635053591,58.61401280120195,58.627947160503645,58.62999036204038,58.619894321794185,58.59741404189165,58.56230987334694,58.51434994957737,58.45331279264106,58.37899008280072,58.29118956957905,58.18973808940738,58.07448464180172,57.9453034632886,57.80209702662074,57.644798882744254,57.473376255055314,57.287832290224735,57.08820786771895,56.874582871468625,56.68519087779563,56.52017237451769,56.379688259262224,56.2639187557643,56.1730617496984,56.107330517952406,56.06695084606942,56.05215755163607,56.06319045592557,56.100289871220085,56.16369169595516,56.253622233095335,56.3702928678877,56.51389475829228,56.68459370396378,56.88252536679121,57.10779101698193,57.36045397301405,57.640536891231754,57.94802004145327,58.282840679037385,58.64489359203792,59.0340328652993,59.45007486280384,59.892802386705036,60.36196992788275,60.857309880268545,61.378539551396784,61.92536876638512,62.49750783348645,63.09467561793272,63.67814605670186,64.24769208247517,64.80313081728819,65.34432903328276,65.87120727103822,66.38374244787545,66.88196883643607,67.36597734756542,67.83591310911288,68.29197139153989,68.73439198990663,69.16345222759186,69.57945879774564,69.98273870192756,70.37362957983927,70.75246974805678,71.11958827815495,71.47529544498325,71.81987386398136,72.15357061268396,72.47659059679884,72.78909137674505,73.0911796179889,73.38290926992477,73.6642815156607,73.93524647129064,74.19570655051446,74.44552135121099,74.68451386703812,74.91247778135775,75.14533811967213,75.3828559731439,75.62478971563766,75.87090341567398,76.12097469735372,76.37480177494271,76.63220942179565,76.89305367895574,77.15722516026544,77.42465086709109,77.69529448456414,77.96915519025042,78.24626506308279,78.52668523303709,78.81050095840055,79.097815855854,79.38874553757438,79.68341092817086,79.98193154191577,80.28441899729653,80.59097103169661,80.90166625474754,81.21655984569144,81.53568035940408,81.85902775927624,82.18657274484922,82.51825738999122,82.85399705554768,83.19368349082393,83.53718899284496,83.88437145277474,84.22380987068618,84.55535046903603,84.87884283491142,85.1941462037914,85.50113543103626,85.79970642864622,86.08978086830167,86.37130998209963,86.64427732836401,86.90870042991243,87.16463123456296,87.4121553907863,87.65139037360706,87.8824825355821,88.10560319354364,88.32094389260125,88.5287110137089,88.72911990925098,88.92238876219947,89.10873236834624,89.28835603810182,89.46144980480472,89.62818311106466,89.78870012420454,89.94311580735042,90.09151284521347,90.2339394942196,90.37040839648071,90.50089636721154,90.62534513655342,90.74281463561748,90.85318759054528,90.95632433512611,91.05206656936988,91.140241581635,91.2206668084207,91.29315460173491,91.35751707342986,91.41357088876053,91.46114188730425,91.50006941787525,91.53021028475597,91.55144221502185,91.56366677056077,91.56681164320088,91.56083228683946,91.54571285630225,91.52146643861163,91.48813457817441,91.44578611291993,91.39451535344013,91.3344396515326,91.26569641803665,91.18843966229194,91.10283613672614,91.00906117976635,90.90729435822361,90.79771501627026,90.68049784186718,90.55580856276292
"Harrison et al., 2021","Prat de Vila","Prat de Vila_core",38.9158333333333,1.43472222222222,4,"not known","marsh","core","0",20,3,53.81076825071362,53.77282768040361,53.73605407419421,53.70049470984406,53.666192720825606,53.633186648513245,53.6015101935204,53.571192161436834,53.54225659339551,53.514723067417044,53.488607152419156,53.463920993222494,53.440674001903666,53.418873628506674,53.39852618247823,53.37963767528228,53.36221465449484,53.3462650002965,53.33179865664753,53.3188282715284,53.30736972339711,53.297442514395726,53.289070014735806,53.282279547010354,53.2771023038006,53.27357309674262,53.27172994006184,53.27161347633955,53.273266256809926,53.27673189267762,53.282054097678255,53.289275645278444,53.29353128625892,53.29485612632828,53.29327858360468,53.288819425078486,53.28149092677246,53.27129617955441,53.258228559083825,53.242271374485924,53.223397706165535,53.201570438825776,53.17674249137384,53.14885724109745,53.11784913540202,53.08364448060758,53.046162393904986,53.00531590162619,52.961013164541185,52.91315880897437,52.861655341139716,52.8064046212071,52.747309373196096,52.684274706798824,52.6172096276013,52.54602851283628,52.47065253069739,52.39101098230987,52.30704254663697,52.21869640985925,52.138188820883045,52.06549459703167,52.00060331169989,51.94351969236592,51.89426377931039,51.85287083964117,51.81939103434451,51.79388883928302,51.77644222434198,51.76714159829887,51.76608853045759,51.773394263625924,51.78917803660546,51.813565237956404,51.84668541634316,51.888670176187524,51.93965099056764,51.99975696621865,52.06911259800496,52.147835552256296,52.23603451978234,52.33380718012108,52.44123831854508,52.55839813648753,52.685340794300956,52.822103222592034,52.968704234781605,53.12514396901944,53.29140368217763,53.46744591240665,53.65321501973917,53.82370640183064,53.97883670391304,54.1185136332839,54.242637683778916,54.35110404029197,54.443804632878674,54.52063030476164,54.58147305354162,54.62622830028338,54.65479713709131,54.66708850053987,54.66302121611339,54.642525857869956,54.60554636810209,54.55204138401702,54.481985222557334,54.39536848052846,54.29219821521799,54.17249768063175,54.03630560618147,53.883675017897126,53.71467161666278,53.52937174315228,53.32785997455809,53.11022641328192,52.8765637418675,52.62696413095934,52.36151609733705,52.080301416510956,51.783392198454656,51.49558029607174,51.21690930185467,50.94740481019177,50.68707318069655,50.43590093225923,50.19385481722369,49.960882602573314,49.736914560294295,49.52186564304684,49.31563829486779,49.118125820879015,48.92921621592226,48.7487963307065,48.57675623638279,48.41299363530609,48.25741815778705,48.10995538240107,47.97055042120437,47.839170921085824,47.71580934829647,47.60048444454389,47.493241769287685,47.39415327318525,47.303315880991406,47.22084909744336,47.14689168549305,47.08159750135238,47.025130603861776,46.9776597853908,46.9393526966436,46.91036975732989,46.865700306948504,46.80547435359337,46.72979942283599,46.63875585022284,46.532392943121756,46.41072616167623,46.27373543604042,46.12136469982741,45.953522679090376,45.770084933593495,45.57089710413337,45.355779277796934,45.124531343806574,44.876939177455036,44.61278145985652,44.331836917947975,44.03389175321214,43.718747019558336,43.38622571096349,43.03617932782286,42.66849370715587,42.28309392522211,41.87994811083829,41.4590700426215,41.0205204422151,40.56440691685625,40.09088254692218,39.600143155855925,39.09242333968246,38.56799136986359,38.068396879165086,37.59393707711734,37.144903366055026,36.72157413121475,36.324207667954376,35.953035438906,35.60825584175902,35.29002865127269,34.99847027788211,34.73364996081734,34.49558698698701,34.28424899895613,34.09955142711039,33.94135805339273,33.80948268756223,33.70369191236645,33.623708831801025,33.56921773707599,33.53986958819909,33.53528819528822,33.55507697279866,33.59882613168295,33.66612016893045,33.7565455107732,33.86969816491045,34.00519123823068,34.162662179570326,34.34177961195152,34.542249625450694,34.76382141035763,35.00629212061871,35.246503480305876,35.48437069244525,35.71987685901055,35.95307350998592,36.184079831079806,36.41308059455132,36.64032282388267,36.866111249631075,37.09080264014624,37.31479911629409,37.53854058319223,37.762496433518336,37.987156695492416,38.213022813477444,38.440598259689516,38.6703791812493,38.90284528736638,39.138451176606395,39.37761829390263,39.620727691376395,39.868113746463955,40.12005896582807,40.376789974762346,40.638474760127885,40.90522120127478,41.177076888967605,41.45403019817687,41.73601254784356,42.02290175046716,42.31452632761102,42.61067064504985,42.897014072212066,43.17328481247926,43.439199565678344,43.69446967044234,43.93880693307697,44.17192899904187,44.39356414523703,44.603455396884655,44.80136390087992,44.987071516939594,45.16038261755152,45.32112511648417,45.46915077236735,45.60433483762636,45.72657514299379,45.835790723268005,45.93192010045557,46.014919345661575,46.08476004102451,46.14142725779778,46.18491765672422,46.215237802683504,46.23240276792434,46.23643507785638,46.227364031294634,46.20522540419667,46.170061523291736,46.121921674533795,46.06086279190383,45.986950355538866,45.92416878501557,45.87258603583443,45.83226420696139,45.803260859578515,45.785630317277196,45.77942485376888,45.784695684005406,45.801493688029915,45.82986981329496,45.86987511983766,45.921560452774536,45.9849757471779,46.06016899063721,46.14718488780498,46.246063288159455,46.35683745234777,46.47953224318597,46.61416233421364,46.76073053132001,46.91922630124575,47.08962459476862,47.27188504234161,47.46595158627203,47.67175259678061,47.88920150015561,48.1181979265259,48.35862936339167,48.61037327987852,48.873299666623794,49.1472739181146,49.43215996895311,49.707787472751626,49.97403703610625,50.230807249833916,50.47801752884329,50.71561054726778,50.94355417742123,51.16184285587824,51.37049831777337,51.56956966054667,51.759132720047766,51.9392887642889,52.11016253235165,52.27189966714605,52.42466361011552,52.56863204286411,52.70399297447698,52.83094058355265,52.949670930375206,53.06037765708243,53.163247792153875,53.25845777022277,53.34616976942201,53.42652845663316,53.499658216660876,53.5656609250915,53.62461430707299,53.67657090612493,53.72155766900729,53.75957613525384,53.79060320376053,53.82079363173603,53.85007971681929,53.87837465319788,53.90557499581634,53.93156335477404,53.956211243057744,53.97938200163063,54.0009337289377,54.02072214681917,54.03860334132596,54.05443632465794,54.068085373042095,54.079422104476414,54.088327269557794,54.0946922377781,54.098420170452414,54.09942687961301,54.09764137959173,54.09300614450134,54.085477090334685,54.0750233049009,54.06162655231581,54.04528058129619,54.025990268139594,54.00377062608053,53.978645712789564,53.95064746721829,53.9198145058821,53.88619090709634,53.849825009723844
