"site_name","entity_name","latitude","longitude","elevation","mi","gdd0","mat","mtco","mtwa"
"Lake Guiers 1","02GUIERS_5",16.116667,-15.850335,0,0.08562332584003786,9606.656160890536,26.31960592024804,21.934800775906172,29.416118942958242
"ODP Site 658 A","658ABRUN_173",20.7492,-18.5808,-2263,-0.16364907331925438,44307.26096595191,120.94560516177312,1.244559097289717,186.79944238662546
"ODP Site 658 A","658ABRUN_23",20.7492,-18.5808,-2263,-0.16364907331925438,44307.26096595191,120.94560516177312,1.244559097289717,186.79944238662546
"ODP Site 658 A","658ABRUN_251",20.7492,-18.5808,-2263,-0.16364907331925438,44307.26096595191,120.94560516177312,1.244559097289717,186.79944238662546
"ODP Site 658 A","658ABRUN_386",20.7492,-18.5808,-2263,-0.16364907331925438,44307.26096595191,120.94560516177312,1.244559097289717,186.79944238662546
"ODP Site 658 A","658ABRUN_450",20.7492,-18.5808,-2263,-0.16364907331925438,44307.26096595191,120.94560516177312,1.244559097289717,186.79944238662546
"ODP Site 658 A","658ABRUN_95",20.7492,-18.5808,-2263,-0.16364907331925438,44307.26096595191,120.94560516177312,1.244559097289717,186.79944238662546
"ODP Site 658 B","658BBRUN_138",20.7492,-18.5808,-2263,-0.16364907331925438,44307.26096595191,120.94560516177312,1.244559097289717,186.79944238662546
"ODP Site 658 B","658BBRUN_232",20.7492,-18.5808,-2263,-0.16364907331925438,44307.26096595191,120.94560516177312,1.244559097289717,186.79944238662546
"ODP Site 658 B","658BBRUN_307",20.7492,-18.5808,-2263,-0.16364907331925438,44307.26096595191,120.94560516177312,1.244559097289717,186.79944238662546
"ODP Site 658 B","658BBRUN_382",20.7492,-18.5808,-2263,-0.16364907331925438,44307.26096595191,120.94560516177312,1.244559097289717,186.79944238662546
"ODP Site 658 B","658BBRUN_457",20.7492,-18.5808,-2263,-0.16364907331925438,44307.26096595191,120.94560516177312,1.244559097289717,186.79944238662546
"ODP Site 658 B","658BBRUN_532",20.7492,-18.5808,-2263,-0.16364907331925438,44307.26096595191,120.94560516177312,1.244559097289717,186.79944238662546
"ODP Site 658 B","658BBRUN_607",20.7492,-18.5808,-2263,-0.16364907331925438,44307.26096595191,120.94560516177312,1.244559097289717,186.79944238662546
"ODP Site 658 B","658BBRUN_682",20.7492,-18.5808,-2263,-0.16364907331925438,44307.26096595191,120.94560516177312,1.244559097289717,186.79944238662546
"ODP Site 658 B","658BBRUN_72",20.7492,-18.5808,-2263,-0.16364907331925438,44307.26096595191,120.94560516177312,1.244559097289717,186.79944238662546
"ODP Site 658 B","658BBRUN_757",20.7492,-18.5808,-2263,-0.16364907331925438,44307.26096595191,120.94560516177312,1.244559097289717,186.79944238662546
"ODP Site 658 B","658BBRUN_832",20.7492,-18.5808,-2263,-0.16364907331925438,44307.26096595191,120.94560516177312,1.244559097289717,186.79944238662546
"Lake Abiyata II","AB5CV_1",7.61666666666666,38,1578,0.6686167413825959,7095.187528160019,19.438869940164434,18.165885064780603,20.867534056438878
"Lake Abiyata II","AB5CV_10",7.61666666666666,38,1578,0.6686167413825959,7095.187528160019,19.438869940164434,18.165885064780603,20.867534056438878
"Lake Abiyata II","AB5CV_15",7.61666666666666,38,1578,0.6686167413825959,7095.187528160019,19.438869940164434,18.165885064780603,20.867534056438878
"Lake Abiyata II","AB5CV_20",7.61666666666666,38,1578,0.6686167413825959,7095.187528160019,19.438869940164434,18.165885064780603,20.867534056438878
"Lake Abiyata II","AB5CV_25",7.61666666666666,38,1578,0.6686167413825959,7095.187528160019,19.438869940164434,18.165885064780603,20.867534056438878
"Lake Abiyata II","AB5CV_30",7.61666666666666,38,1578,0.6686167413825959,7095.187528160019,19.438869940164434,18.165885064780603,20.867534056438878
"Lake Abiyata II","AB5CV_35",7.61666666666666,38,1578,0.6686167413825959,7095.187528160019,19.438869940164434,18.165885064780603,20.867534056438878
"Lake Abiyata II","AB5CV_40",7.61666666666666,38,1578,0.6686167413825959,7095.187528160019,19.438869940164434,18.165885064780603,20.867534056438878
"Lake Abiyata II","AB5CV_45",7.61666666666666,38,1578,0.6686167413825959,7095.187528160019,19.438869940164434,18.165885064780603,20.867534056438878
"Lake Abiyata II","AB5CV_5",7.61666666666666,38,1578,0.6686167413825959,7095.187528160019,19.438869940164434,18.165885064780603,20.867534056438878
"Lake Abiyata II","AB5CV_50",7.61666666666666,38,1578,0.6686167413825959,7095.187528160019,19.438869940164434,18.165885064780603,20.867534056438878
"Lake Abiyata II","AB5CV_53",7.61666666666666,38,1578,0.6686167413825959,7095.187528160019,19.438869940164434,18.165885064780603,20.867534056438878
"Lake Abiyata II","AB5CV_55",7.61666666666666,38,1578,0.6686167413825959,7095.187528160019,19.438869940164434,18.165885064780603,20.867534056438878
"Lake Abiyata II","AB5CV_57",7.61666666666666,38,1578,0.6686167413825959,7095.187528160019,19.438869940164434,18.165885064780603,20.867534056438878
"Lake Abiyata II","AB5CV_60",7.61666666666666,38,1578,0.6686167413825959,7095.187528160019,19.438869940164434,18.165885064780603,20.867534056438878
"Lake Albert II","ALB2PC_0",1.48333333333333,30,619,0.8410040251816959,9055.485331293601,24.80954885285918,23.81432109160992,25.766675663539313
"Mare de Kissi","BS-6_0",14.6194444444444,-0.00555555555555555,280,0.19356036227104606,10725.253934697701,29.384257355336167,23.693515863653417,34.41768342128939
"Mare de Kissi","BS-6_5",14.6194444444444,-0.00555555555555555,280,0.19356036227104606,10725.253934697701,29.384257355336167,23.693515863653417,34.41768342128939
