"source","site_name","entity_name","latitude","longitude","elevation","basin_size","site_type","entity_type","age_BP","ID_BIOME","ID_SAMPLE","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","T40","T41","T42","T43","T44","T45","T46","T47","T48","T49","T50","T51","T52","T53","T54","T55","T56","T57","T58","T59","T60","T61","T62","T63","T64","T65","T66","T67","T68","T69","T70","T71","T72","T73","T74","T75","T76","T77","T78","T79","T80","T81","T82","T83","T84","T85","T86","T87","T88","T89","T90","T91","T92","T93","T94","T95","T96","T97","T98","T99","T100","T101","T102","T103","T104","T105","T106","T107","T108","T109","T110","T111","T112","T113","T114","T115","T116","T117","T118","T119","T120","T121","T122","T123","T124","T125","T126","T127","T128","T129","T130","T131","T132","T133","T134","T135","T136","T137","T138","T139","T140","T141","T142","T143","T144","T145","T146","T147","T148","T149","T150","T151","T152","T153","T154","T155","T156","T157","T158","T159","T160","T161","T162","T163","T164","T165","T166","T167","T168","T169","T170","T171","T172","T173","T174","T175","T176","T177","T178","T179","T180","T181","T182","T183","T184","T185","T186","T187","T188","T189","T190","T191","T192","T193","T194","T195","T196","T197","T198","T199","T200","T201","T202","T203","T204","T205","T206","T207","T208","T209","T210","T211","T212","T213","T214","T215","T216","T217","T218","T219","T220","T221","T222","T223","T224","T225","T226","T227","T228","T229","T230","T231","T232","T233","T234","T235","T236","T237","T238","T239","T240","T241","T242","T243","T244","T245","T246","T247","T248","T249","T250","T251","T252","T253","T254","T255","T256","T257","T258","T259","T260","T261","T262","T263","T264","T265","T266","T267","T268","T269","T270","T271","T272","T273","T274","T275","T276","T277","T278","T279","T280","T281","T282","T283","T284","T285","T286","T287","T288","T289","T290","T291","T292","T293","T294","T295","T296","T297","T298","T299","T300","T301","T302","T303","T304","T305","T306","T307","T308","T309","T310","T311","T312","T313","T314","T315","T316","T317","T318","T319","T320","T321","T322","T323","T324","T325","T326","T327","T328","T329","T330","T331","T332","T333","T334","T335","T336","T337","T338","T339","T340","T341","T342","T343","T344","T345","T346","T347","T348","T349","T350","T351","T352","T353","T354","T355","T356","T357","T358","T359","T360","T361","T362","T363","T364","T365"
"Harrison et al., 2021","Juodonys","juodonys_core",55.74,25.44,20,"small (0.01-1 km2)","bog","core top","modern",9,1,-4.855323822962948,-4.930285894677762,-5.002790492108747,-5.072766007269056,-5.140135149109617,-5.20481758024789,-5.266732559151897,-5.3258015033169945,-5.381950394333003,-5.4351119533298435,-5.485227524755633,-5.532248617393507,-5.576138063557217,-5.616870770114126,-5.654434047974053,-5.68882751958305,-5.720062616435235,-5.748161690363915,-5.7731567731380755,-5.795088028457213,-5.81400194863326,-5.8299493549389805,-5.842983265688859,-5.853156699533429,-5.860520483151096,-5.8651211324962835,-5.866998875014362,-5.8661858767882675,-5.862704733485294,-5.856567277294661,-5.847773743881338,-5.836312333852544,-5.8199612778752865,-5.798688191845422,-5.772452926653104,-5.741208675191942,-5.704903398792413,-5.663481538507282,-5.616885965726984,-5.565060116447099,-5.5079502445313,-5.445507721893094,-5.37769130802524,-5.304469308068544,-5.225821537913906,-5.141741016885206,-5.052235313483638,-4.957327477514851,-4.8570565025876045,-4.751477276268901,-4.640659990790055,-4.524689004690411,-4.403661164625173,-4.2776836161241985,-4.146871151673683,-4.011343163359196,-3.871220284697154,-3.7266208214465366,-3.577657083433579,-3.42443173811877,-3.2696633007367475,-3.1134227199489506,-2.955759603431393,-2.7967000265777906,-2.6362450078070756,-2.474369724646758,-2.311023521424565,-2.146130733325747,-1.9795923236489608,-1.8112883023160793,-1.6410808651294575,-1.4688181660252397,-1.2943386097312275,-1.1174755308334967,-0.9380621082154379,-0.7559363519407856,-0.5709459935119195,-0.38295311043859476,-0.1918383223586609,0.0024955915273223717,0.2001207855501368,0.4010822593482769,0.6053966683047207,0.8130520809642647,1.0240086977761447,1.2382005104948182,1.4555378468705784,1.6759107122299481,1.89919280949831,2.125246093369917,2.3539256937481654,2.582417543277598,2.8105810593799214,3.0382865111969766,3.265419430516618,3.49188441861431,3.717608209262801,3.9425418761240403,4.166662105124871,4.3899714879757274,4.612497830329387,4.834292505724828,5.055427922931288,5.275994208153918,5.4960952334415385,5.715844147363814,5.935358582621871,6.154755726993134,6.3741474484362115,6.593635662139723,6.813308116937154,7.033234761270741,7.253464825489626,7.474024728675611,7.694916885571369,7.916119453865129,8.137587025483976,8.359252229128112,8.581028176481858,8.802811652725326,9.02448692437086,9.242821489214647,9.457689083254959,9.668965814821204,9.876534730112558,10.080290113856018,10.280141367049142,10.476016322046256,10.667863878643375,10.855655872302508,11.039388116071903,11.219080589852016,11.394776783132992,11.566542228905758,11.734462295908308,11.898639332604683,12.05918927835777,12.216237874385655,12.369916618740831,12.52035861540877,12.667694467612646,12.812048359695506,12.95353446091252,13.092253768686897,13.22829148911714,13.3617150296587,13.49257265392323,13.620892822479563,13.746684217445459,13.869936423541201,13.990621215071124,14.108694377838862,14.224654655993765,14.338432057057293,14.44994738814037,14.559115243861791,14.665847010634634,14.770053778704428,14.871649061963758,14.970551237616839,15.066685632610708,15.159986200690808,15.250396752229808,15.337871717850728,15.422376445565144,15.503887048960284,15.582389840251574,15.657880396218046,15.730362316712338,15.799845744264456,15.866345719083466,15.929880446439626,15.990469553039,16.04813240575701,16.102886560250855,16.15474639888126,16.203722007464368,16.24981832911086,16.293034621279247,16.333364229664486,16.370794680132086,16.405308078029574,16.438937883860397,16.471657335838668,16.5034367009499,16.534244610205782,16.56404951771607,16.59282122961614,16.620532447739656,16.647160273521504,16.67268761982716,16.697104482067356,16.720409024876975,16.74260844660548,16.763719590666483,16.783769280208478,16.802794360390752,16.820841440581024,16.837966336855555,16.85423322311578,16.869713506793378,16.884484452368962,16.89862758266355,16.91222689397149,16.92536692649173,16.93813073608988,16.950597817095886,16.962842028524975,16.974929577717017,16.986917115839617,16.998849998918978,17.01076076598499,17.022667882497853,17.02891928832771,17.029504785383793,17.024400280239583,17.013567901044638,16.99695649659622,16.9745025191798,16.94613128171825,16.91175856828619,16.871292565476498,16.824636070818094,16.771688923833196,16.712350595800856,16.646522866270093,16.5741125082346,16.495033899995025,16.40921148039312,16.31658196552825,16.217096249393556,16.110720918123857,15.997439317644373,15.877252127240746,15.750177406610987,15.616250100867477,15.475521006187684,15.32805521773443,15.173930100386835,15.013232841005333,14.846057657658614,14.672502755746264,14.49266713259535,14.306647340315717,14.12223091189568,13.93949749512341,13.758512812075827,13.57932647453967,13.401970332172853,13.226457421601397,13.05278156383562,12.880917634228076,12.71082250454101,12.54243663148579,12.375686241331334,12.210486036851924,12.046742331960564,11.884356501740598,11.72322862201822,11.563261163733923,11.40436260361422,11.246450814257209,11.089456103750146,10.933323787139868,10.778016189063754,10.623513998006748,10.46981691718369,10.316943584013027,10.16493075849223,10.013831809382905,9.863714554816186,9.71465853961302,9.566751854225881,9.420087618810314,9.2720815293601,9.12282539928693,8.972404774932029,8.820895556684425,8.668361019214197,8.51484934916258,8.360391798265344,8.205001525499277,8.048673174396582,7.891383202263571,7.733090947848004,7.573740394243869,7.4132625557113165,7.251578391770733,7.088602130442012,6.9242448657315,6.758418283118051,6.591038361336914,6.422028899447174,6.251324724986078,6.0788744517027125,5.9046426734229644,5.728611503305658,5.550781394191733,5.37117120485412,5.18981750754424,5.006773163056702,4.822105219339908,4.635892217249817,4.448221011250174,4.259183232715218,4.0707414708217335,3.8829858456077178,3.696000226582001,3.50985876998557,3.324622846811704,3.1403384851018212,2.957034429128517,2.7747208930786544,2.593389058788085,2.413011337108307,2.2335423818306377,2.054920815004138,1.8770715941792875,1.6999089267294858,1.5233396149595366,1.3472666990486228,1.1715932536371925,0.9962261884678161,0.8210799041018744,0.6460796602821416,0.471164526678847,0.2962898030004825,0.12142881702583627,-0.053425965892194546,-0.22826256092838143,-0.40304981994417066,-0.5777385074362447,-0.7522630503415318,-0.9265438902416452,-1.1004903441112552,-1.2713910897108898,-1.4391449086093715,-1.603651540695668,-1.7648152723019621,-1.9225483525521843,-2.0767741124520636,-2.2274296742123254,-2.374468155352633,-2.5178602925160005,-2.657595432763913,-2.7936818644781263,-2.926146484888478,-3.055033825704759,-3.180404481427837,-3.30233300580459,-3.420905359838513,-3.5362160091771058,-3.648364779128667,-3.757453581744178,-3.8635831312366764,-3.966849761573354,-4.06734245359728,-4.165140168894009,-4.260309574314227,-4.352903225197011,-4.442958257579688,-4.530495620741197,-4.615519862030088,-4.698019456782383,-4.777967657902763
"Harrison et al., 2021","Petresiunai","petresiunai_121",55.85,25.7028,107,"0.02","lake","core top","20",9,2,-5.483124697044416,-5.574295820893074,-5.66196155401375,-5.746040924508852,-5.826446868837373,-5.903089058111384,-5.97587672926728,-6.044721432583588,-6.109539612644516,-6.170254947781732,-6.226800382894081,-6.279119801941878,-6.32716929891828,-6.370918019295744,-6.4103485574252765,-6.445456908751428,-6.4762519886524865,-6.502754741919783,-6.52499687809231,-6.54301927784695,-6.556870124236308,-6.566602819630436,-6.572273754654446,-6.573939999150626,-6.571656987185472,-6.565476268346286,-6.555443396024583,-6.541596020080968,-6.523962246263439,-6.502559318066623,-6.477392668457201,-6.448455379165719,-6.415348513387202,-6.378043167896576,-6.336501634175086,-6.29067848964429,-6.240522035601621,-6.185976047107239,-6.126981788293123,-6.063480235569644,-5.995414441406324,-5.922731963177225,-5.84538727538628,-5.763344079788174,-5.676577426805892,-5.585075563453533,-5.488841427848037,-5.387893718375713,-5.282267476591075,-5.1720141367632575,-5.057201011320195,-4.937910199820093,-4.814236928938507,-4.686287351634781,-4.554175854415918,-4.418021941660671,-4.277946784495805,-4.1340695379363455,-3.9865035431680584,-3.8353525413014937,-3.6820296999655384,-3.526607111952104,-3.3691355660980458,-3.2096422336630916,-3.048129039838346,-2.8845717995561624,-2.718920172456639,-2.551098464629102,-2.381007275518136,-2.208525958208453,-2.0335158313050568,-1.8558240519628781,-1.6752880334403355,-1.491740267940885,-1.3050133974469253,-1.1149453625718642,-0.9213844528003408,-0.7241940812735395,-0.5232571136809104,-0.3184795937564713,-0.10979372699932755,0.10283999105979819,0.3194315862824074,0.5399614081408661,0.7643809382337184,0.9926145838693746,1.2245623990458316,1.460103640423702,1.6991010342559578,1.941405602980585,2.1868618784248994,2.4318493466465285,2.6762188114955316,2.9198335569329528,3.1625740040215216,3.4043417250613226,3.6450626674562905,3.8846894692088396,4.123202781915033,4.360611554458276,4.596952269820004,4.8322871670023915,5.066701518431822,5.300300068868083,5.533202773375107,5.7655399980717235,5.997447367149342,6.229060452250531,6.46050950527109,6.691914432811378,6.923380200008191,7.154992833782847,7.38681617138863,7.618889470530942,7.851225963479137,8.0838124008638,8.316609592733604,8.54955391645073,8.78255972462945,9.015522552982977,9.248322998913208,9.477129272816494,9.701807331280508,9.922223891952758,10.13825122708927,10.349771713666518,10.556681975363672,10.758896470044206,10.956350399966443,11.149001849795303,11.33683308838698,11.519851002994084,11.698086667668894,11.87159407991769,12.040448129838456,12.204741892931153,12.364583360535967,12.520091739657046,12.671393466210908,12.81861808218197,12.961894127693366,13.101345193769715,13.237086270962296,13.36922051360986,13.497836520074888,13.623006206713907,13.74478332859522,13.863202674102006,13.978279934595966,14.090012225273501,14.198379210158564,14.303344763667974,14.406759897901322,14.508561961276849,14.608678186528278,14.707028580112238,14.803528855193157,14.898093300570675,14.990637485847218,15.081080714464399,15.16934815037241,15.255372560359879,15.339095631734683,15.420468843360423,15.499453886280728,15.576022647607228,15.65015678737442,15.721846952132877,15.791091680721786,15.857896066611302,15.922270247236455,15.984227793783571,16.04378407498262,16.10095466576372,16.155753866406204,16.208193390383173,16.25828126988158,16.306021017401786,16.35141107037486,16.39444453384994,16.435109224448137,16.473388007373405,16.510384074331068,16.546072320321176,16.580425082955234,16.61341338757716,16.645008316965754,16.67518245454957,16.703911348589727,16.73117494497316,16.756958937997478,16.781255991673444,16.80406678844903,16.825400867684188,16.8452772224805,16.86372463040088,16.88078170101183,16.896496630864775,16.910926664339005,16.92413726654277,16.936201022073526,16.9471962807446,16.957205578275506,16.966313866304727,16.974606591807785,16.98216767098239,16.989077406788162,16.995410402492475,17.001233525668606,17.006603978011768,17.011567525987175,17.016156945614753,17.02039073156443,17.01926511849824,17.012769535860947,17.000879329561624,16.983555855850994,16.960746963750218,16.932387869376374,16.898402414066958,16.85870468627223,16.81320097511008,16.76179201165274,16.704375442857778,16.640848473005576,16.57111059899453,16.495066359290924,16.412628012105877,16.323718056793673,16.22827151376951,16.126237882571406,16.01758270507059,15.902288671178622,15.78035621749161,15.65180358481536,15.51666631796815,15.374996210097914,15.22685971332034,15.072335857063944,14.911513734335925,14.744489633429625,14.571363907635796,14.392237687608562,14.207209549576373,14.023386262523957,13.840849080381874,13.659665035991615,13.479884688349312,13.301540417460792,13.124645337493149,12.94919287748534,12.77515705501924,12.602493442835401,12.43114080237599,12.261023332672346,12.092053458896745,11.924135063261867,11.757167042694945,11.591047063635122,11.42567537504648,11.2609585367649,11.096812921855793,10.93316785878025,10.769968291651876,10.60717685429288,10.444775275536253,10.282765058455098,10.121167403959802,9.96002237840327,9.799387354315591,9.639334781969792,9.479949376001064,9.321324824677175,9.1635601486797,9.00485040650803,8.845293080207009,8.68497884614916,8.523988063025191,8.362387671044397,8.200228624502254,8.037543958986841,7.8743475694720395,7.710633747374791,7.5463774944590725,7.381535600464026,7.216048440768995,7.04984242152428,6.882832973649254,6.714927974994592,6.546031462690885,6.376047485977369,6.2048839441120185,6.0324562545537574,5.858690703468123,5.683527343472484,5.506922321892125,5.328849545905196,5.149301617876827,4.968290003827882,4.785844429144722,4.602011527043318,4.416852795672155,4.230441947833695,4.0428617619767895,3.8542005633549534,3.666082616427601,3.478596725201175,3.2918266394741638,3.1058475624357493,2.920723038276615,2.7365023452649453,2.5532184986869275,2.370886942833263,2.189504982877815,2.009051977211966,1.8294902798138115,1.6507668918132037,1.4728157528001895,1.2955605767722818,1.1189181159535555,0.942801718902918,0.7671250380121939,0.59180573609835,0.4167690424931949,0.24195101575196287,0.06730138251691731,-0.10721416036883324,-0.2816122714559178,-0.45589098354515867,-0.6300294535541506,-0.8039884520808884,-0.9777115722147335,-1.1511271091013007,-1.3241505359248222,-1.4966874793317815,-1.6666605997471529,-1.8339678136390662,-1.9985095081011295,-2.160192174238155,-2.318931843912387,-2.4746572021462234,-2.627312261016605,-2.7768584985893128,-2.9232763875555046,-3.06656626185807,-3.206748494763421,-3.3438629875402963,-3.477967993150586,-3.6091383231831538,-3.737463007796615,-3.8630424969227297,-3.985985505800806,-4.106405618609223,-4.224417770250096,-4.340134728123552,-4.453663693071175,-4.565103131812997,-4.674539942537926,-4.782047041352454,-4.8876814406678255,-4.991482872007917,-5.09347298588819,-5.193655141103258,-5.292014775703274,-5.388520332829803
"Harrison et al., 2021","Prat de Vila","Prat de Vila_core",38.9158333333333,1.43472222222222,4,"not known","marsh","core","0",20,3,10.681488920404783,10.66665436629393,10.65319329705866,10.64112453553627,10.630475347197702,10.621280483505544,10.613581069641857,10.607423372710938,10.60285748775665,10.599935979166188,10.598712514339933,10.59924052497988,10.601571929084729,10.605755943835922,10.611838016114662,10.619858893499792,10.629853854350689,10.641852111066362,10.65587639591292,10.671942734010784,10.690060403249918,10.710232076140766,10.73245413399585,10.75671713946245,10.783006449385335,10.81130294636557,10.841583864297522,10.873823680705058,10.907995046953125,10.944069726460476,10.98201951095045,11.021817085592932,11.062265456741779,11.103342417977847,11.145029726500564,11.187313474062796,11.230184282908182,11.273637322162385,11.317672146521684,11.362292365543487,11.407505158137631,11.453320652743109,11.499751198913025,11.546810560397674,11.594513063111625,11.64287273343147,11.691902462975216,11.74161323529192,11.792013447728857,11.843108358188301,11.894899681645034,11.947385355332596,12.000559484639556,12.054412474250283,12.108931341216293,12.164100198777644,12.219900892202006,12.276313761000708,12.333318495927992,12.390895054447894,12.448294309540179,12.505499314003671,12.562495863374512,12.619273241832055,12.675824830377799,12.732148547553251,12.788247099794795,12.844128026498069,12.899803533661697,12.955290119234958,13.0106080026138,13.065780379708828,13.120832533246817,13.175790835086966,13.230681682994314,13.285530418233446,13.340360272310026,13.395191391060868,13.450039982026718,13.504917626680808,13.559830792765002,13.614780573929835,13.669762674390082,13.724767645770138,13.779781372155147,13.834785788054912,13.889759803019022,13.944680396501614,13.999523837730889,14.054266978215823,14.108888559483235,14.165719531304477,14.224744696227884,14.285952793572665,14.34933734558407,14.414897274627577,14.482637254073213,14.55256776655543,14.62470485582279,14.699069571908312,14.775687123295574,14.854585763530814,14.93579545273317,15.01934634609556,15.105267171202767,15.193583563341596,15.284316432552533,15.377480437693103,15.47308264109243,15.57112141245319,15.671585642614257,15.774454316878389,15.879696484213882,15.987271643255712,16.09713054925417,16.209216428617893,16.323466570191343,16.439814245629265,16.558190895907188,16.678528507816946,16.800762093846142,16.923193824058615,17.045772262351235,17.168456217324877,17.291216665100517,17.41403830259303,17.536920659439353,17.659878712060376,17.782942961242643,17.90615895448538,18.029586255406507,18.153296883914035,18.277373271769257,18.401905797749023,18.526989984046562,18.652723450102364,18.77920273110108,18.906520075415337,19.034760337984586,19.163998084820243,19.29429501754136,19.42569781626201,19.558236484642645,19.691923263014214,19.82675215485853,19.96269908936853,20.099722719190105,20.237765828680775,20.37675730504383,20.516614603411014,20.657246618196186,20.79855685756709,20.939836593607808,21.080990534378774,21.22192992437871,21.36257562104452,21.502860822669444,21.6427333486783,21.782157389815538,21.921114665519653,22.059604947800437,22.197645934444925,22.335272478435297,22.472535204138282,22.609498563208497,22.746238403387956,22.882839140720865,23.01939063950163,23.15598491404421,23.292712771779815,23.42966051810725,23.56690683986775,23.704519976498286,23.842555276202354,23.981053219380595,24.12003797371705,24.259516525452405,24.399478410278423,24.539896045778395,24.680725646225547,24.821908680609713,24.96337381669494,25.100260495664493,25.232481121175084,25.359945141942756,25.482561998449732,25.600244052099367,25.712909400877063,25.820484491847782,25.922906449943138,26.02012505401218,26.112104304513547,26.198823541953836,26.280278090652303,26.35647941806518,26.427454815195198,26.493246618052027,26.553911003289702,26.609516402678192,26.66014159070144,26.70587350713207,26.74680488182186,26.783031732151194,26.814650804661238,26.84175703147054,26.864441069326997,26.882786984773357,26.896870143146245,26.90675535222911,26.91249530358504,26.91412934614434,26.911682617737036,26.90516555114431,26.896682179287936,26.886213010801747,26.873724089043016,26.859167988623625,26.842485139976898,26.82360544794834,26.8024501637425,26.7789339636528,26.752967182947717,26.72445814918506,26.693315556188722,26.659450818055976,26.62278034197995,26.58322765947066,26.540725357824105,26.4952167574831,26.446657286283592,26.395015508471253,26.340273774741494,26.282428469280948,26.221489840692435,26.157481415523883,26.090439005599254,26.020409333108574,25.94744831005826,25.871619020779935,25.79298946729523,25.71163014698642,25.62761153979684,25.541001587687333,25.451863251974114,25.3603663985058,25.266557023618677,25.170469728218,25.072126436959657,24.971535580854418,24.868691782196073,24.763576063617702,24.656156584569423,24.546389889235247,24.434222630568872,24.31959371647029,24.202436806888972,24.08268307554601,23.960264137675697,23.835115036272757,23.707177174253346,23.57640107901816,23.442748889310792,23.30619646198882,23.166735008193527,23.02437218406618,22.879132580100222,22.731057574782668,22.580204541579477,22.426645422683468,22.270464707331797,22.11175687595526,21.95062339299873,21.787169350067042,21.621499876307194,21.456215737541505,21.291409774258817,21.127162746092147,20.963540228354614,20.80058997309668,20.638339838073353,20.47679636736062,20.315944084282386,20.155745531662767,19.996142067172197,19.83705539373561,19.67838977769086,19.52003488168927,19.36186911622712,19.203763394096853,19.04558515672998,18.8872025309789,18.72848846977556,18.569324730517096,18.409605550959107,18.249240893615593,18.088159145737475,17.926309182239205,17.76366172267095,17.60020993956435,17.43596930318506,17.27097667582812,17.105288696199896,16.938979520086015,16.772138006429365,16.60486445726645,16.439263259410108,16.275444570281593,16.113516778859196,15.953582886898694,15.795737163835003,15.640062192134604,15.486626403373847,15.3354821852467,15.186664616893987,15.04019086533014,14.89606025031442,14.754254959780047,14.614741373878918,14.477471933739388,14.342387471985393,14.20941990660982,14.07849518845832,13.94953638570998,13.822466786500271,13.69721290319224,13.573707268554422,13.451890924868103,13.331715521233045,13.213144951415847,13.096156483741801,12.980741354961562,12.866904820895643,12.754665677148918,12.644055282513417,12.535116135132904,12.428947222594205,12.325607799610113,12.22516221662685,12.127677466532948,12.03322069741346,11.941856780978616,11.853646020874411,11.768642076793117,11.686890169591399,11.608425620015574,11.533272759694848,11.461444238386727,11.39294073663132,11.32775107855395,11.265852726061503,11.207212623552902,11.151788351874906,11.099529541876983,11.050379491734452,11.004276928302172,10.961157851124772,10.920957398269117,10.883611675693356,10.849059496191362,10.817243979772948,10.788113974345796,10.761625263423914,10.737741535966816,10.716435102031188,10.697687346392918
