"site_name","entity_name","latitude","longitude","elevation","mi","gdd0","mat","mtco","mtwa"
"C705","C705",39.71,20.76,470,0.6490720030653738,5097.86006437857,13.966739902407042,5.233887722014605,23.034609392918764
"C832","C832",45.56,26.21,850,0.8960634463334548,2700.616071622627,6.279082794513969,-6.015121271299879,16.16900641843218
"C837","C837",48.16,24.51,1110,1.2484428454412513,2079.7094296637624,3.762984864392399,-8.516084298788607,13.582963445747184
"F222","F222",42.08,41.71,20,1.4262697810214173,5520.544271724285,15.124778826641876,5.915672828399904,23.619811437098928
"Luganskoe","Luganskoe_Lug 2",43.72,40.68,2428,1.3615492494172774,1144.6760103760976,-1.6947229181272545,-15.089617333586766,10.030358873219585
"Sredna Gora mountains","Sredna Gora mountains_1_0",42.833333,24.833333,1300,0.7997428280425596,2757.288329324783,6.863360323258933,-3.83069197395232,16.96348616196218
"Sredna Gora mountains","Sredna Gora mountains_1_5",42.833333,24.833333,1300,0.7997428280425596,2757.288329324783,6.863360323258933,-3.83069197395232,16.96348616196218
"Anzali lagoon","HCGA05-core_11",37.46944,47.3525,-27,0.23193105253833315,6001.559026912895,16.442627470994235,3.839416908073193,28.832890859244152
"Anzali lagoon","HCGA05-core_17",37.46944,47.3525,-27,0.23193105253833315,6001.559026912895,16.442627470994235,3.839416908073193,28.832890859244152
"Anzali lagoon","HCGA05-core_23",37.46944,47.3525,-27,0.23193105253833315,6001.559026912895,16.442627470994235,3.839416908073193,28.832890859244152
"Anzali lagoon","HCGA05-core_29",37.46944,47.3525,-27,0.23193105253833315,6001.559026912895,16.442627470994235,3.839416908073193,28.832890859244152
"Anzali lagoon","HCGA05-core_35",37.46944,47.3525,-27,0.23193105253833315,6001.559026912895,16.442627470994235,3.839416908073193,28.832890859244152
"Athos Basin","GeoTuSL152",40.1,24.36,-978,0.38638989757274145,8687.8192504719,23.802244521840827,15.258517024772297,32.823250588301825
"Core-2345","Core-2345 lower part",42.4,28.32,0,0.6198897395528438,4916.134952020613,13.468862882248255,3.7022915466877575,22.620817285988775
"Dead Sea","Dead Sea DS7-1SC core",31.493,35.4361,-402,0.3270622618944904,7957.974532312969,21.80266995154238,15.43217084631079,27.788697870325354
"DM-13","DM-13 core top",40.5,27.53,0,0.5641924267230364,5122.711604462376,14.034826313595552,4.348733931026919,23.384085317396476
"E. Marmara basin","Marmara DM-13",40.4,27.6,0,0.5640449131036023,5140.043322178953,14.082310471723156,4.435932773039851,23.407783346294302
"Imera","Imera core 1_0",41.65,44.22,1610,0.714560263956326,2718.3156824915227,5.504350915640001,-8.844655242344007,18.051773185857616
"Imera","Imera core 1_5",41.65,44.22,1610,0.714560263956326,2718.3156824915227,5.504350915640001,-8.844655242344007,18.051773185857616
"Ispani-II","Ispani II core_0",41.87,41.8,2,1.468724757049594,5513.744347982668,15.106148898582653,5.946478437855337,23.523445167226278
"Ispani-II","Ispani II core_25",41.87,41.8,2,1.468724757049594,5513.744347982668,15.106148898582653,5.946478437855337,23.523445167226278
"KBG08-01","KBG08-01_0-1",41.85,53.25,-28.4,0.11999363863218243,5123.8524020518935,14.037951786443543,0.3833622281488506,27.696280694940075
"KBG08-01","KBG08-01_11",41.85,53.25,-28.4,0.11999363863218243,5123.8524020518935,14.037951786443543,0.3833622281488506,27.696280694940075
"KBG08-01","KBG08-01_14",41.85,53.25,-28.4,0.11999363863218243,5123.8524020518935,14.037951786443543,0.3833622281488506,27.696280694940075
