"clean","intermediate","amalgamated","included in"
"Abatia","Abatia","Abatia","neotoma_south_america_pollen"
"Abelia","Abelia","Abelia","CMPD, SMPDSv1"
"Abies","Abies","Abies","CMPD, EMBSeCBIO, EMPDv2, Herzschuh, IbMPD, japanese_pollen, neotoma_north_america_pollen, neotoma_extra, neotropics_pollen, SMPDSv1"
"Abies alba","Abies alba","Abies","EMPDv2, neotoma_extra, SMPDSv1"
"Abies balsamea","Abies balsamea","Abies","neotoma_north_america_pollen"
"Abies cilicica","Abies cilicica","Abies","EMBSeCBIO, EMPDv2, SMPDSv1"
"Abies fargesii","Abies fargesii","Abies","CMPD, SMPDSv1"
"Abies lasiocarpa","Abies lasiocarpa","Abies","neotoma_north_america_pollen"
"Abies nordmanniana","Abies nordmanniana","Abies","EMBSeCBIO, EMPDv2, SMPDSv1"
"Abies pinsapo","Abies pinsapo","Abies","EMPDv2, IbMPD, SMPDSv1"
"Abies pinsapo subsp marocana","Abies pinsapo subsp marocana","Abies","EMPDv2, IbMPD, SMPDSv1"
"Abies sibirica","Abies sibirica","Abies","dugerdil_pollen, EMPDv2, SMPDSv1, tatiana_pollen"
"Abronia","Abronia","Allionia","neotoma_north_america_pollen"
"Abrus type","Abrus","Abrus","australia_pollen"
"Abuta","Abuta","Abuta","neotoma_south_america_pollen, neotropics_pollen"
"Abutilon","Abutilon","Abutilon","australia_pollen"
"Abutilon type","Abutilon","Abutilon","neotoma_north_america_pollen"
"Acacia","Acacia","Acacia","AMSS, APD, australia_pollen, CMPD, EMBSeCBIO, EMPDv2, neotoma_north_america_pollen, neotoma_south_america_pollen, neotropics_pollen, Phelps, SMPDSv1, southern_hemisphere_pollen"
"Acacia aulacocarpa","Acacia aulacocarpa","Acacia","australia_pollen"
"Acacia confusa","Acacia confusa","Acacia","CMPD, SMPDSv1"
"Acacia cyclops","Acacia cyclops","Acacia","australia_pollen"
"Acacia koa","Acacia koa","Acacia","neotoma_north_america_pollen"
"Acacia saligna","Acacia saligna","Acacia","australia_pollen"
"Acacia type","Acacia","Acacia","APD, australia_pollen, neotoma_north_america_pollen, Phelps"
"Acaena","Acaena","Rosaceae","australia_pollen, neotoma_south_america_pollen, neotropics_pollen, southern_hemisphere_pollen"
"Acaena/Polylepis","Acaena/Polylepis","Rosaceae","neotoma_south_america_pollen"
"Acaena/Polylepis type","Acaena/Polylepis","Rosaceae","neotoma_south_america_pollen"
"Acalypha","Acalypha","Euphorbiaceae","AMSS, APD, australia_pollen, CMPD, EMBSeCBIO, neotoma_north_america_pollen, neotoma_south_america_pollen, neotropics_pollen, Phelps, SMPDSv1, southern_hemisphere_pollen"
"Acalypha type","Acalypha","Euphorbiaceae","australia_pollen, Phelps"
"Acanthaceae","Acanthaceae","Acanthaceae","APD, australia_pollen, CMPD, Herzschuh, neotoma_north_america_pollen, neotoma_south_america_pollen, neotropics_pollen, Phelps, SMPDSv1, southern_hemisphere_pollen"
"Acantholimon","Acantholimon","Plumbaginaceae","EMBSeCBIO, EMPDv2, SMPDSv1"
"Acanthopanax","Acanthopanax","Araliaceae","japanese_pollen"
"Acanthus","Acanthus","Acanthus","australia_pollen, CMPD, EMPDv2, neotropics_pollen, SMPDSv1"
"Acanthus ilicifolius","Acanthus ilicifolius","Acanthus","CMPD, SMPDSv1"
"Acanthus mollis","Acanthus mollis","Acanthaceae","EMPDv2, SMPDSv1"
"Acanthus type","Acanthus","Acanthus","Phelps"
"Acer","Acer","Acer","CMPD, EMBSeCBIO, EMPDv2, gaillard_pollen, Herzschuh, IbMPD, japanese_pollen, neotoma_north_america_pollen, neotoma_extra, SMPDSv1"
"Acer campestre","Acer campestre","Acer","EMPDv2, SMPDSv1"
"Acer campestre type","Acer campestre","Acer","EMBSeCBIO, EMPDv2, SMPDSv1"
"Acer circinatum","Acer circinatum","Acer","neotoma_north_america_pollen"
"Acer circinatum type","Acer circinatum","Acer","neotoma_north_america_pollen"
"Acer glabrum","Acer glabrum","Acer","neotoma_north_america_pollen"
"Acer glabrum type","Acer glabrum","Acer","neotoma_north_america_pollen"
"Acer macrophyllum","Acer macrophyllum","Acer","neotoma_north_america_pollen"
"Acer macrophyllum type","Acer macrophyllum","Acer","neotoma_north_america_pollen"
"Acer negundo","Acer negundo","Acer","neotoma_north_america_pollen"
"Acer negundo type","Acer negundo","Acer","neotoma_north_america_pollen"
"Acer pensylvanicum","Acer pensylvanicum","Acer","neotoma_north_america_pollen"
"Acer pensylvanicum type","Acer pensylvanicum","Acer","neotoma_north_america_pollen"
"Acer pseudoplatanus","Acer pseudoplatanus","Acer","EMPDv2, SMPDSv1"
"Acer rubrum","Acer rubrum","Acer","neotoma_north_america_pollen"
"Acer rubrum type","Acer rubrum","Acer","neotoma_north_america_pollen"
"Acer saccharinum","Acer saccharinum","Acer","neotoma_north_america_pollen"
"Acer saccharinum type","Acer saccharinum","Acer","neotoma_north_america_pollen"
"Acer saccharum","Acer saccharum","Acer","neotoma_north_america_pollen"
"Acer saccharum subsp. nigrum","Acer saccharum","Acer","neotoma_north_america_pollen"
"Acer saccharum type","Acer saccharum","Acer","neotoma_north_america_pollen"
"Acer spicatum","Acer spicatum","Acer","neotoma_north_america_pollen"
"Acer spicatum type","Acer spicatum","Acer","neotoma_north_america_pollen"
"Acer turkestanica","Acer turkestanica","Acer","EMPDv2, SMPDSv1"
"Acer type","Acer","Acer","EMPDv2, neotoma_north_america_pollen, SMPDSv1"
"Achillea","Achillea","Asteroideae","EMBSeCBIO, EMPDv2, neotoma_north_america_pollen, SMPDSv1"
"Achillea type","Achillea","Asteroideae","EMBSeCBIO, EMPDv2, neotoma_north_america_pollen, neotoma_extra, SMPDSv1"
"Achillea/Anthemis type","Asteroideae","Asteroideae","EMPDv2, SMPDSv1"
"Achillea/Aster","Asteroideae","Asteroideae","EMBSeCBIO, EMPDv2, SMPDSv1"
"Achillea/Aster type","Asteroideae","Asteroideae","EMBSeCBIO, EMPDv2, SMPDSv1"
"Achillea/Eupatorium type","Asteroideae","Asteroideae","EMPDv2, SMPDSv1"
"Achyranthes","Achyranthes","Amaranthaceae","Phelps"
"Achyranthes aspera type","Achyranthes","Amaranthaceae","APD, Phelps, SMPDSv1"
"Achyranthes type","Achyranthes","Amaranthaceae","AMSS, APD, neotoma_south_america_pollen"
"Aciotis","Aciotis","Melastomataceae","neotoma_north_america_pollen"
"Aciphylla type","Aciphylla","Apiaceae","australia_pollen"
"Acnistus","Acnistus","Acnistus","neotoma_south_america_pollen, neotropics_pollen"
"Aconitum","Aconitum","Aconitum","CMPD, EMBSeCBIO, EMPDv2, IbMPD, neotoma_north_america_pollen, SMPDSv1, tatiana_pollen"
"Aconitum napellus type","Aconitum","Aconitum","SMPDSv1"
"Aconitum septentrionale","Aconitum","Aconitum","EMPDv2, IbMPD, SMPDSv1"
"Aconitum type","Aconitum","Aconitum","EMBSeCBIO, EMPDv2, neotoma_north_america_pollen, neotoma_extra, SMPDSv1"
"Acorus calamus","Acorus","Acoraceae","neotoma_north_america_pollen"
"Acridocarpus","Acridocarpus","Acridocarpus","APD, Phelps"
"Acrisione","Acrisione","Asteroideae","neotoma_south_america_pollen"
"Acronychia","Acronychia","Rutaceae","australia_pollen, CMPD, SMPDSv1"
"Acrostichum","Acrostichum","Polypodiales","australia_pollen, neotoma_north_america_pollen, neotoma_south_america_pollen"
"Acrostichum aureum","Acrostichum","Polypodiales","APD, Phelps"
"Acrothamnus suaveolens","Acrothamnus","Ericaceae","australia_pollen"
"Acrotriche","Acrotriche","Ericaceae","australia_pollen"
"Actaea","Actaea","Ranunculaceae","CMPD, neotoma_north_america_pollen, SMPDSv1"
"Actaea rubra","Actaea","Ranunculaceae","neotoma_north_america_pollen"
"Actaea type","Actaea","Ranunculaceae","neotoma_north_america_pollen"
"Actinidia","Actinidia","Actinidiaceae","CMPD, Herzschuh, SMPDSv1"
"Actinidia chinensis var deliciosa","Actinidia","Actinidiaceae","EMPDv2, SMPDSv1"
"Actinostemma/Gynostemma","Cucurbitaceae","Cucurbitaceae","EMPDv2, SMPDSv1"
"Actinostemon concolor","Actinostemon concolor","Actinostemon","neotoma_south_america_pollen"
"Actinotus","Actinotus","Apiaceae","australia_pollen"
"Adelia","Adelia","Euphorbiaceae","neotropics_pollen"
"Adenanthera","Adenanthera","Fabaceae","CMPD, SMPDSv1"
"Adenanthos","Adenanthos","Adenanthos","australia_pollen"
"Adenanthos/Stirlingia","Adenanthos/Stirlingia","Proteaceae","australia_pollen"
"Adenia","Adenia","Adenia","APD, Phelps"
"Adenopeltis","Adenopeltis","Euphorbiaceae","neotoma_south_america_pollen"
"Adenostemma type","Adenostemma","Asteroideae","neotoma_south_america_pollen"
"Adenostoma","Adenostoma","Adenostoma","neotoma_north_america_pollen"
"Adenostoma fasciculatum","Adenostoma","Adenostoma","neotoma_north_america_pollen"
"Adenostoma sparsifolium","Adenostoma","Adenostoma","neotoma_north_america_pollen"
"Adenostoma type","Adenostoma","Adenostoma","neotoma_north_america_pollen"
"Adenostyles","Adenostyles","Asteroideae","tatiana_pollen"
"Adenostyles type","Adenostyles","Asteroideae","EMPDv2, SMPDSv1"
"Adesmia","Adesmia","Adesmia","neotoma_south_america_pollen"
"Adiantum","Adiantum","Polypodiales","APD, australia_pollen, EMBSeCBIO, EMPDv2, neotoma_north_america_pollen, Phelps, SMPDSv1, southern_hemisphere_pollen"
"Adiantum aleuticum","Adiantum","Polypodiales","neotoma_north_america_pollen"
"Adiantum capillus-veneris","Adiantum","Polypodiales","IbMPD"
"Adiantum pedatum","Adiantum","Polypodiales","neotoma_north_america_pollen"
"Adiantum type","Adiantum","Polypodiales","australia_pollen, neotoma_north_america_pollen"
"Adiantum/Dennstaedtia","Polypodiales","Polypodiales","neotoma_north_america_pollen"
"Adina","Adina","Adina","CMPD, Phelps, SMPDSv1"
"Adinandra","Adinandra","Adinandra","CMPD, SMPDSv1"
"Adinandra type","Adinandra","Adinandra","australia_pollen"
"Adonis","Adonis","Ranunculaceae","EMBSeCBIO, EMPDv2, SMPDSv1"
"Adonis aestivalis","Adonis","Ranunculaceae","EMPDv2, SMPDSv1"
"Adonis aestivalis type","Adonis","Ranunculaceae","EMPDv2, IbMPD, SMPDSv1"
"Adonis annua type","Adonis","Ranunculaceae","EMPDv2, SMPDSv1"
"Adonis type","Adonis","Ranunculaceae","EMBSeCBIO, EMPDv2, SMPDSv1"
"Adonis vernalis","Adonis","Ranunculaceae","EMPDv2, SMPDSv1"
"Adoxa","Adoxa","Adoxaceae","EMBSeCBIO, EMPDv2, SMPDSv1"
"Adoxa moschatellina","Adoxa","Adoxaceae","EMPDv2, SMPDSv1"
"Adoxa moschatellina type","Adoxa","Adoxaceae","EMPDv2, neotoma_north_america_pollen, SMPDSv1"
"Adriana quadripartita","Adriana","Adriana","australia_pollen"
"Adriana type","Adriana","Adriana","southern_hemisphere_pollen"
"Aegiphila","Aegiphila","Aegiphila","neotoma_north_america_pollen, neotoma_south_america_pollen, neotropics_pollen"
"Aegiphila type","Aegiphila","Aegiphila","neotoma_south_america_pollen"
"Aegopodium","Aegopodium","Apiaceae","EMBSeCBIO, EMPDv2, gaillard_pollen, SMPDSv1, tatiana_pollen"
"Aegopodium podagraria","Aegopodium","Apiaceae","EMPDv2, SMPDSv1"
"Aegopodium type","Aegopodium","Apiaceae","EMPDv2, SMPDSv1"
"Aellenia type","Aellenia","Amaranthaceae","EMBSeCBIO, EMPDv2, SMPDSv1"
"Aerva javanica type","Aerva","Amaranthaceae","APD, Phelps, SMPDSv1"
"Aerva type","Aerva","Amaranthaceae","EMPDv2, Phelps, SMPDSv1"
"Aeschynanthus","Aeschynanthus","Geraniaceae","CMPD, SMPDSv1"
"Aeschynomene","Aeschynomene","Aeschynomene","APD, neotoma_south_america_pollen"
"Aeschynomene baumii type","Aeschynomene baumii","Fabaceae (shrubs)","APD, Phelps"
"Aeschynomene type","Aeschynomene","Aeschynomene","australia_pollen, neotoma_south_america_pollen"
"Aesculus","Aesculus","Aesculus","CMPD, EMBSeCBIO, EMPDv2, japanese_pollen, neotoma_north_america_pollen, SMPDSv1"
"Aesculus chinensis var wilsonii","Aesculus chinensis var wilsonii","Aesculus","CMPD, SMPDSv1"
"Aesculus hippocastanum","Aesculus hippocastanum","Aesculus","EMPDv2, gaillard_pollen, neotoma_extra, SMPDSv1"
"Aesculus type","Aesculus","Aesculus","neotoma_north_america_pollen"
"Aethusa cynapium type","Aethusa","Apiaceae","EMPDv2, SMPDSv1"
"Afraegle paniculata type","Afraegle paniculata","Afraegle","APD"
"Afrocarpus falcatus type","Afrocarpus falcatus","Afrocarpus","APD, Phelps"
"Afzelia africana","Afzelia africana","Afzelia","AMSS"
"Aganosma","Aganosma","Apocynaceae","CMPD, SMPDSv1"
"Agastache","Agastache","Lamiaceae","neotoma_north_america_pollen"
"Agastache type","Agastache","Lamiaceae","neotoma_north_america_pollen"
"Agastachys","Agastachys","Agastachys","australia_pollen, southern_hemisphere_pollen"
"Agathis","Agathis","Agathis","australia_pollen"
"Agathis australis","Agathis australis","Agathis","australia_pollen"
"Agathis robusta type","Agathis robusta","Agathis","australia_pollen"
"Agave","Agave","Cactaceae","neotoma_north_america_pollen"
"Agave type","Agave","Cactaceae","neotoma_north_america_pollen"
"Ageratum houstonianum","Ageratum","Asteroideae","neotoma_north_america_pollen"
"Aglaia","Aglaia","Aglaia","australia_pollen, CMPD, IbMPD, SMPDSv1"
"Agonis","Agonis","Agonis","australia_pollen"
"Agonis/Calytrix","Agonis/Calytrix","Myrtaceae","australia_pollen"
"Agoseris glauca type","Agoseris","Cichorioideae","neotoma_north_america_pollen"
"Agrimonia","Agrimonia","Rosaceae","EMPDv2, neotoma_north_america_pollen, SMPDSv1, tatiana_pollen"
"Agrimonia type","Agrimonia","Rosaceae","EMPDv2, SMPDSv1"
"Agrostemma","Agrostemma","Caryophyllaceae","EMPDv2, gaillard_pollen, SMPDSv1"
"Agrostemma githago","Agrostemma","Caryophyllaceae","EMPDv2, SMPDSv1"
"Agrostemma type","Agrostemma","Caryophyllaceae","EMBSeCBIO"
"Agrostis","Agrostis","Poaceae","neotoma_north_america_pollen"
"Aidia","Aidia","Aidia","Phelps"
"Aidia henryi","Aidia henryi","Aidia","CMPD, SMPDSv1"
"Aidia type","Aidia","Aidia","APD, Phelps"
"Ailanthus","Ailanthus","Ailanthus","CMPD, EMPDv2, Herzschuh, neotoma_north_america_pollen, SMPDSv1"
"Ailanthus altissima","Ailanthus altissima","Ailanthus","EMPDv2, neotoma_extra, SMPDSv1"
"Aizoaceae","Aizoaceae","Aizoaceae","APD, australia_pollen, CMPD, Herzschuh, Phelps, SMPDSv1"
"Ajania","Ajania","Asteroideae","CMPD, SMPDSv1"
"Ajuga","Ajuga","Lamiaceae","SMPDSv1"
"Ajuga type","Ajuga","Lamiaceae","EMPDv2, SMPDSv1"
"Akebia","Akebia","Akebia","CMPD, SMPDSv1"
"Alangium","Alangium","Alangium","CMPD, Herzschuh, SMPDSv1"
"Alangium rotundifolium","Alangium rotundifolium","Alangium","australia_pollen"
"Alangium type","Alangium","Alangium","australia_pollen"
"Alangium villosum","Alangium villosum","Alangium","australia_pollen"
"Albizia","Albizia","Albizia","CMPD, Phelps, SMPDSv1"
"Alchemilla","Alchemilla","Rosaceae","APD, EMBSeCBIO, EMPDv2, gaillard_pollen, IbMPD, Phelps, SMPDSv1, tatiana_pollen"
"Alchemilla pentaphylla","Alchemilla","Rosaceae","EMPDv2, SMPDSv1"
"Alchemilla pentaphylla type","Alchemilla","Rosaceae","EMPDv2, SMPDSv1"
"Alchemilla type","Alchemilla","Rosaceae","EMPDv2, neotoma_extra, SMPDSv1"
"Alchornea","Alchornea","Alchornea","AMSS, APD, CMPD, neotoma_north_america_pollen, neotoma_south_america_pollen, neotropics_pollen, Phelps, SMPDSv1"
"Alchornea cordifolia type","Alchornea cordifolia","Alchornea","APD, Phelps"
"Alchornea latifolia type","Alchornea latifolia","Alchornea","Phelps"
"Alchornea type","Alchornea","Alchornea","neotoma_south_america_pollen"
"Alchornea/Aparisthmium","Alchornea/Aparisthmium","Euphorbiaceae","neotoma_south_america_pollen"
"Alectryon","Alectryon","Alectryon","australia_pollen, southern_hemisphere_pollen"
"Aleurites","Aleurites","Aleurites","australia_pollen, neotoma_north_america_pollen, neotoma_south_america_pollen"
"Alfaroa","Alfaroa","Alfaroa","neotoma_north_america_pollen"
"Alhagi","Alhagi","Alhagi","CMPD, SMPDSv1"
"Alibertia","Alibertia","Alibertia","neotoma_south_america_pollen, neotropics_pollen"
"Alibertia type","Alibertia","Alibertia","neotoma_south_america_pollen"
"Alkanna","Alkanna","Boraginaceae","EMBSeCBIO, EMPDv2, SMPDSv1"
"Alkanna type","Alkanna","Boraginaceae","EMPDv2, SMPDSv1"
"Allenrolfea occidentalis","Allenrolfea","Amaranthaceae","neotoma_north_america_pollen"
"Allionia","Allionia","Allionia","neotoma_north_america_pollen"
"Allium","Allium","Liliaceae","CMPD, EMBSeCBIO, EMPDv2, gaillard_pollen, IbMPD, japanese_pollen, neotoma_north_america_pollen, SMPDSv1, tatiana_pollen"
"Allium type","Allium","Liliaceae","EMBSeCBIO, EMPDv2, IbMPD, neotoma_north_america_pollen, SMPDSv1"
"Allium ursinum type","Allium","Liliaceae","EMPDv2, neotoma_extra, SMPDSv1"
"Allium vineale","Allium","Liliaceae","gaillard_pollen, SMPDSv1"
"Allocasuarina","Allocasuarina","Allocasuarina","australia_pollen"
"Allocasuarina/Casuarina","Allocasuarina/Casuarina","Casuarinaceae","australia_pollen"
"Allophylus","Allophylus","Allophylus","AMSS, APD, CMPD, neotoma_north_america_pollen, neotoma_south_america_pollen, neotropics_pollen, Phelps, SMPDSv1"
"Allophylus abyssinicus type","Allophylus abyssinicus","Allophylus","APD, IbMPD, SMPDSv1"
"Alnus","Alnus","Alnus","additional_european_pollen, australia_pollen, CMPD, dugerdil_pollen, EMBSeCBIO, EMPDv2, gaillard_pollen, Herzschuh, IbMPD, japanese_pollen, neotoma_north_america_pollen, neotoma_south_america_pollen, neotoma_extra, neotropics_pollen, SMPDSv1, tatiana_pollen"
"Alnus acuminata","Alnus acuminata","Alnus","neotoma_south_america_pollen"
"Alnus alnobetula","Alnus alnobetula","Alnus subgen Alnobetula","EMPDv2, neotoma_north_america_pollen, SMPDSv1"
"Alnus alnobetula subsp crispa","Alnus alnobetula","Alnus subgen Alnobetula","EMPDv2, SMPDSv1"
"Alnus alnobetula subsp crispa type","Alnus alnobetula","Alnus subgen Alnobetula","EMPDv2, SMPDSv1"
"Alnus alnobetula subsp fruticosa","Alnus alnobetula","Alnus subgen Alnobetula","EMPDv2, SMPDSv1"
"Alnus alnobetula subsp fruticosa type","Alnus alnobetula","Alnus subgen Alnobetula","EMPDv2, SMPDSv1"
"Alnus alnobetula subsp. crispa","Alnus alnobetula subsp. crispa","Alnus subgen Alnobetula","neotoma_north_america_pollen"
"Alnus alnobetula subsp. crispa type","Alnus alnobetula subsp. crispa","Alnus subgen Alnobetula","neotoma_north_america_pollen"
"Alnus alnobetula subsp. sinuata","Alnus alnobetula subsp. sinuata","Alnus subgen Alnobetula","neotoma_north_america_pollen"
"Alnus alnobetula subsp. sinuata type","Alnus alnobetula subsp. sinuata","Alnus subgen Alnobetula","neotoma_north_america_pollen"
"Alnus alnobetula type","Alnus alnobetula","Alnus subgen Alnobetula","EMPDv2, neotoma_north_america_pollen, SMPDSv1"
"Alnus alnobetula/Alnus maximowiczii","Alnus subgen Alnobetula","Alnus subgen Alnobetula","EMPDv2, SMPDSv1"
"Alnus glutinosa","Alnus glutinosa","Alnus subgen Alnus","EMBSeCBIO, EMPDv2, IbMPD, neotoma_extra, SMPDSv1"
"Alnus glutinosa type","Alnus glutinosa","Alnus subgen Alnus","EMBSeCBIO, EMPDv2, IbMPD, SMPDSv1"
"Alnus glutinosa/Alnus incana","Alnus subgen Alnus","Alnus subgen Alnus","EMPDv2, SMPDSv1"
"Alnus hirsuta","Alnus hirsuta","Alnus subgen Alnus","EMPDv2, SMPDSv1"
"Alnus incana","Alnus incana","Alnus subgen Alnus","EMPDv2, neotoma_north_america_pollen, SMPDSv1"
"Alnus incana type","Alnus incana","Alnus subgen Alnus","EMPDv2, neotoma_north_america_pollen, SMPDSv1"
"Alnus incana/Alnus cordata type","Alnus subgen Alnus","Alnus subgen Alnus","EMPDv2, SMPDSv1"
"Alnus rhombifolia type","Alnus rhombifolia","Alnus subgen Alnus","neotoma_north_america_pollen"
"Alnus rubra","Alnus rubra","Alnus subgen Alnus","neotoma_north_america_pollen"
"Alnus rubra type","Alnus rubra","Alnus subgen Alnus","neotoma_north_america_pollen"
"Alnus serrulata","Alnus serrulata","Alnus subgen Alnus","neotoma_north_america_pollen"
"Alnus serrulata type","Alnus serrulata","Alnus subgen Alnus","neotoma_north_america_pollen"
"Alnus type","Alnus","Alnus","EMPDv2, neotoma_north_america_pollen, SMPDSv1"
"Alocasia","Alocasia","Araceae","CMPD, IbMPD, SMPDSv1"
"Aloe type","Aloe","Aloe","APD, Phelps, SMPDSv1"
"Alopecurus","Alopecurus","Poaceae","CMPD, SMPDSv1"
"Aloysia","Aloysia","Aloysia","neotoma_south_america_pollen"
"Alphitonia","Alphitonia","Alphitonia","australia_pollen, neotoma_south_america_pollen, southern_hemisphere_pollen"
"Alseis","Alseis","Alseis","neotropics_pollen"
"Alseis blackiana","Alseis blackiana","Alseis","neotoma_south_america_pollen"
"Alsophila","Alsophila","Cyatheaceae","australia_pollen, neotoma_south_america_pollen"
"Alsophila australis","Alsophila australis","Cyatheaceae","australia_pollen"
"Alsophila smithii","Alsophila","Cyatheaceae","southern_hemisphere_pollen"
"Alsophila smithii type","Alsophila","Cyatheaceae","australia_pollen, southern_hemisphere_pollen"
"Alsophila type","Alsophila","Cyatheaceae","neotoma_south_america_pollen"
"Alstonia","Alstonia","Alstonia","australia_pollen"
"Alstonia boonei type","Alstonia boonei","Alstonia","APD, Phelps"
"Alstroemeria","Alstroemeria","Astroemeriaceae","neotoma_south_america_pollen"
"Alternanthera","Alternanthera","Amaranthaceae","APD, australia_pollen, CMPD, EMPDv2, neotoma_north_america_pollen, neotoma_south_america_pollen, neotropics_pollen, Phelps, SMPDSv1, southern_hemisphere_pollen"
"Alternanthera philoxeroides","Alternanthera","Amaranthaceae","neotoma_north_america_pollen"
"Alternanthera type","Alternanthera","Amaranthaceae","neotoma_south_america_pollen"
"Altingiaceae","Altingiaceae","Altingiaceae","CMPD, SMPDSv1"
"Alyxia","Alyxia","Alyxia","australia_pollen, CMPD, SMPDSv1"
"Alyxia buxifolia","Alyxia","Alyxia","australia_pollen"
"Amanoa","Amanoa","Amanoa","neotoma_south_america_pollen"
"Amanoa type","Amanoa","Amanoa","APD, Phelps"
"Amaranthaceae","Amaranthaceae","Amaranthaceae","additional_european_pollen, AMSS, APD, australia_pollen, CMPD, dugerdil_pollen, EMBSeCBIO, EMPDv2, gaillard_pollen, Herzschuh, IbMPD, japanese_pollen, moroccan_pollen, neotoma_north_america_pollen, neotoma_south_america_pollen, neotoma_extra, neotropics_pollen, Phelps, SMPDSv1, southern_hemisphere_pollen, tatiana_pollen"
"Amaranthus","Amaranthus","Amaranthaceae","CMPD, EMBSeCBIO, EMPDv2, neotoma_north_america_pollen, neotoma_south_america_pollen, neotropics_pollen, SMPDSv1"
"Amaranthus australis","Amaranthus","Amaranthaceae","neotoma_north_america_pollen"
"Amaranthus type","Amaranthus","Amaranthaceae","neotoma_north_america_pollen, Phelps"
"Amaranthus/Chenopodium","Amaranthus/Chenopodium","Amaranthaceae","neotoma_north_america_pollen, neotoma_south_america_pollen"
"Amaranthus/Chenopodium type","Amaranthus/Chenopodium","Amaranthaceae","neotoma_north_america_pollen"
"Amaryllidaceae","Amaryllidaceae","Amaryllidaceae","APD, CMPD, EMPDv2, Herzschuh, IbMPD, neotoma_north_america_pollen, neotoma_south_america_pollen, neotropics_pollen, Phelps, SMPDSv1"
"Ambrosia","Ambrosia","Asteroideae","CMPD, EMBSeCBIO, EMPDv2, IbMPD, neotoma_north_america_pollen, neotoma_south_america_pollen, neotoma_extra, neotropics_pollen, Phelps, SMPDSv1"
"Ambrosia artemisiifolia","Ambrosia","Asteroideae","neotoma_north_america_pollen"
"Ambrosia artemisiifolia type","Ambrosia","Asteroideae","EMPDv2, neotoma_extra, SMPDSv1"
"Ambrosia maritima","Ambrosia","Asteroideae","Phelps"
"Ambrosia maritima type","Ambrosia","Asteroideae","APD"
"Ambrosia type","Ambrosia","Asteroideae","EMBSeCBIO, EMPDv2, neotoma_north_america_pollen, neotoma_south_america_pollen, neotoma_extra, SMPDSv1"
"Ambrosia/Iva","Ambrosia/Iva","Asteroideae","neotoma_north_america_pollen"
"Ambrosia/Iva annua","Ambrosia/Iva","Asteroideae","neotoma_north_america_pollen"
"Ambrosia/Xanthium","Asteroideae","Asteroideae","EMPDv2, SMPDSv1"
"Amelanchier","Amelanchier","Rosaceae","neotoma_north_america_pollen"
"Amelanchier type","Amelanchier","Rosaceae","neotoma_north_america_pollen"
"Ammi type","Ammi","Apiaceae","EMBSeCBIO, EMPDv2, SMPDSv1"
"Amoora","Amoora","Amoora","australia_pollen"
"Amorpha","Amorpha","Amorpha","neotoma_north_america_pollen"
"Amorpha canescens","Amorpha","Amorpha","neotoma_north_america_pollen"
"Amorpha canescens type","Amorpha","Amorpha","neotoma_north_america_pollen"
"Amorpha fruticosa","Amorpha fruticosa","Amorpha","EMPDv2, SMPDSv1"
"Amorpha type","Amorpha","Amorpha","neotoma_north_america_pollen"
"Ampelocera type","Ampelocera","Ampelocera","neotoma_south_america_pollen"
"Amperea","Amperea","Amperea","australia_pollen, southern_hemisphere_pollen"
"Amperea type","Amperea","Amperea","australia_pollen"
"Amperea xiphoclada","Amperea","Amperea","australia_pollen"
"Amyema","Amyema","Loranthaceae","australia_pollen"
"Amygdaloideae","Rosaceae","Rosaceae","EMPDv2, SMPDSv1"
"Amygdalus","Amygdalus","Amygdalus","CMPD, SMPDSv1"
"Amyris","Amyris","Amyris","neotoma_north_america_pollen"
"Anabasis","Anabasis","Amaranthaceae","CMPD, SMPDSv1"
"Anacardiaceae","Anacardiaceae","Anacardiaceae","AMSS, APD, australia_pollen, CMPD, EMBSeCBIO, EMPDv2, Herzschuh, neotoma_north_america_pollen, neotoma_south_america_pollen, neotropics_pollen, Phelps, SMPDSv1"
"Anacardium","Anacardium","Anacardium","neotoma_north_america_pollen, neotoma_south_america_pollen, neotropics_pollen"
"Anacardium type","Anacardium","Anacardium","neotoma_south_america_pollen"
"Anadenanthera","Anadenanthera","Anadenanthera","neotoma_south_america_pollen"
"Anagallis","Anagallis","Primulaceae","CMPD, EMBSeCBIO, EMPDv2, gaillard_pollen, SMPDSv1"
"Anagallis arvensis","Anagallis","Primulaceae","EMPDv2, SMPDSv1"
"Anagallis arvensis type","Anagallis","Primulaceae","EMPDv2, SMPDSv1"
"Anagallis tenella","Anagallis","Primulaceae","EMPDv2, SMPDSv1"
"Anagallis tenella type","Anagallis","Primulaceae","EMPDv2, SMPDSv1"
"Anagallis type","Anagallis","Primulaceae","EMPDv2, SMPDSv1"
"Anarthria","Anarthria","Restionaceae","australia_pollen"
"Anchusa","Anchusa","Boraginaceae","EMBSeCBIO, EMPDv2, SMPDSv1"
"Anchusa arvensis","Anchusa","Boraginaceae","EMPDv2, SMPDSv1"
"Anchusa officinalis","Anchusa","Boraginaceae","EMPDv2, SMPDSv1"
"Anchusa type","Anchusa","Boraginaceae","EMBSeCBIO, EMPDv2, SMPDSv1"
"Andira","Andira","Andira","neotoma_south_america_pollen"
"Andrachne","Andrachne","Phyllanthaceae","EMBSeCBIO, EMPDv2, SMPDSv1"
