"site.id","site.name","latitude","longitude","dataset.id","dataset.type","age.oldest","age.youngest","...9","id","pub.type","year","citation","contact.id","order","contact.name"
16166,"Fangeas",44.716111,6.449444,24993,"pollen",4542,560,NA,10968,"Journal Article",2003,"Walsh, K., and F. Mocci. 2003. 9000 ans d'occupation du sol en moyenne et haute montagne: la vallée de Freissinières dans le Parc national des Ecrins (Freissinières, Hautes- Alpes). Archéologie du Midi Médiéval 21:185-198.",NA,NA,NA
16167,"Lake of Annecy",45.856667,6.172222,25400,"pollen",5538,92,NA,10971,"Doctoral Dissertation",2001,"Noël, H. 2001. Caractérisation et calibration des flux organiques sédimentaires dérivant du bassin versant et de la production aquatique (Annecy, Le Petit Lac) -Rôles respectifs de l'Homme et du Climat surl'évolution des flux organiques au cours des 6000 dernières années.. Doctoral dissertation. Université d'Orléans, Orléans, France.",NA,NA,NA
16167,"Lake of Annecy",45.856667,6.172222,25400,"pollen",5538,92,NA,10972,"Journal Article",2001,"Dearing, J.A., Y. Hu, P. Doody, P.A. James, and A. Brauer. 2001. Preliminary reconstruction of sediment-source linkages for the past 6000 yrs at the Petit Lac d'Annecy, France, based on mineral magnetic data. Journal of Paleolimnology 25:245-258.",NA,NA,NA
16167,"Lake of Annecy",45.856667,6.172222,25400,"pollen",5538,92,NA,10970,"Journal Article",2001,"Noël, H., E. Garbolino, A. Brauer, E. Lallier-Vergès, J.L. de Beaulieu, and J.R. Disnar. 2001. Human impact and soil erosion during the last 5000 yrs as recorded in lacustrine sedimentary organic matter at Lac d'Annecy, the French Alps. Journal of Paleolimnology 25:229-244.",NA,NA,NA
16167,"Lake of Annecy",45.856667,6.172222,24994,"pollen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16167,"Lake of Annecy",45.856667,6.172222,24994,"pollen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16168,"Lac des Boites",45.056111,5.885278,25481,"pollen",17785,902,NA,1241,"Doctoral Dissertation",1998,"Nakagawa, T. 1998. Etudes palynologiques dans les Alpes Françaises centrales et méridionales: histoire de la végétation Tardiglaciaire et Holocène  [Pollen studies in the central meridional French Alps: Lateglacial and Holocene vegetation history]. Doctoral dissertation. Université d'Aix-Marseille, Marseille, France. Notes: 211 pages",NA,NA,NA
16168,"Lac des Boites",45.056111,5.885278,24996,"pollen",15614,170,NA,1241,"Doctoral Dissertation",1998,"Nakagawa, T. 1998. Etudes palynologiques dans les Alpes Françaises centrales et méridionales: histoire de la végétation Tardiglaciaire et Holocène  [Pollen studies in the central meridional French Alps: Lateglacial and Holocene vegetation history]. Doctoral dissertation. Université d'Aix-Marseille, Marseille, France. Notes: 211 pages",NA,NA,NA
16169,"Tourbière du massif de la Serre",47.176111,5.547222,24997,"pollen",NA,NA,NA,10973,"Journal Article",2001,"Marage, D., L. Jaccottey, and O. Puertas. 2001. Pour une écologie historique: l'exemple du massif forestier de la Serre (Jura). Revue Forestière Française 53:105-113. Notes: Numéro spécial - Gestion de la Biodiversité",NA,NA,NA
16170,"Le Stade",43.567222,3.907778,24998,"pollen",NA,NA,NA,1279,"Doctoral Dissertation",1997,"Puertas, O. 1997. Evolution de la végétation depuis le Dryas récent dans la plaine littorale de Montpellier (Hérault, France) à partir de l'analyse pollinique. Dynamique naturelle et anthropisation du milieu. Doctoral dissertation. Université de Franche-Comté, Besançon, France.",NA,NA,NA
16170,"Le Stade",43.567222,3.907778,24998,"pollen",NA,NA,NA,1280,"Journal Article",1998,"Puertas, O. 1998. Perception palynologique de la gestion du paysage autour de la cité protohistorique de Lattara (Lattes France). Revue d'Archéométrie 2:23-27.",NA,NA,NA
