ID_ENTITY_PUB,ID_ENTITY,ID_PUB,citation
30,1691,16,"Björkman, L., Feurdean, A., and Wohlfarth, B., (2003) Late-Glacial and Holocene forest dynamics at Steregoiu in the Gutaiului Mountains, Northwest Romania. Review of Palaeobotany and palynology 124:79-111"
33,8,19,"Bottema, S, (1986) A late Quaternary pollen diagram from Lake Urmia (northwestern Iran). Review of Palaeobotany and Palynology 47: 241-261."
44,1341,24,"Bottema, S., (1982) Palynological investigations in Greece with special reference to pollen as indicator of human activity. Palaeohistoria, 24: 257-289."
55,1329,26,"Bottema, S., and Woldring, H. (1984) Late Quaternary vegetation and climate of southwestern Turkey. Part II. Palaeohistoria 26:123-149."
60,1324,27,"Bottema,S., Woldring, H. and Aytug, B. (1993) Late Quaternary vegetation history of northern Turkey. Palaeohistoria 35/36: 13-72"
62,1354,27,"Bottema,S., Woldring, H. and Aytug, B. (1993) Late Quaternary vegetation history of northern Turkey. Palaeohistoria 35/36: 13-72"
70,1694,31,"Bozilova, E., and A.G. Smit 1979. Palynology of lake Sucho Ezero from South Rila Mountain (Bulgaria). Phytologia 11:54-67."
76,1694,36,"Bozilova, E., S. Tonkov, and D. Pavloa. 1986. Pollen and plant macrofossil analyses of the Lake Sucho Ezero in the south Rila mountains. Jn. Annual of Sofia University, Faculty of Biology 80(2):48-57"
80,1060,40,"Cagatay, M. N., Gorur, N., Algan, O., Eastoe, C., Tchapalyga, A., Ongan, D., Kuhn, T., and Kuscu, I. (2000) Late GlacialHolocene palaeoceanography of the Sea of Marmara: timing of connections with the Mediterranean and the Black Seas. Marine Geology 167 (3-4):191-206"
81,1060,41,"Caner, H. and Algan, O. 2002. Palynology of sapropelic layers from the Marmara Sea. Marine Geology 190: 35-46."
82,1071,41,"Caner, H. and Algan, O. 2002. Palynology of sapropelic layers from the Marmara Sea. Marine Geology 190: 35-46."
83,1059,42,"Catagay, M.N., Algan, O.,Sakinc,M., Eastoe, C.J., Egesel, L., Balkis,N., Ongan, D., Caner, H., 1999. A mid-late Holocene sapropelic sediment unit from the southern Mamarara Sea shelf and its paleoceanographic significance. Quaternary Science Review 18:531-540"
85,7,44,"Connor SE, Thomas I, Kvavadze EV (2007) A 5600-yr history of changing vegetation, sea levels and human impacts from the Black Sea coast of Georgia. The Holocene 17:25-36. doi: 10.1177/0959683607073270"
86,2101,45,"Connor, S.E., D. Colombaroli, F. Confortini, E. Gobet, B.P. Ilyashuk, E.A. Ilyashuk, J.F.N. van Leeuwen, M. Lamentowicz, W.O. van der Knaap, E. Malysheva, A. Marchetto, N. Margalitadze, Y. Mazei, E.A.D. Mitchell, R.J. Payne, and B. Ammann. 2017. Long-term population dynamics  theory and reality in a peatland ecosystem. Journal of Ecology DOI: 10.1111/1365-2745.12865. "
87,1828,46,"Connor, S.E., S.A. Ross, A. Sobotkova, A.I.R. Herries, S.D. Mooney, C. Longford, and I. Iliev. 2013. Environmental conditions in the SE Balkans since the Last Glacial Maximum and their influence on the spread of agriculture into Europe. Quaternary Science Reviews, 68:200-215."
89,4,47,"Connor, SE, and Kvavadze, EV, 2005. Climatic and human influences on vegetation dynamics around Tbilisi over the past 6000 years. Proceedings of the Georgian Academy of Sciences, Biological Series B3: 64-76."
90,5,48,"Connor, SE, and Sagona, A, (2007) Environment and society in the late prehistory of southern Georgia, Caucasus. Caucasus in B. Lyonnet (ed.) Les cultures du Caucase (VI-IIIeme millenaires av. notrere). Leurs relations avec le Proche-Orient Ancien, Peeters Press, pp. 21-26"
91,6,48,"Connor, SE, and Sagona, A, (2007) Environment and society in the late prehistory of southern Georgia, Caucasus. Caucasus in B. Lyonnet (ed.) Les cultures du Caucase (VI-IIIeme millenaires av. notrere). Leurs relations avec le Proche-Orient Ancien, Peeters Press, pp. 21-26"
92,6,49,"Connor, SE, Thomas, I, Kvavadze, EV, Arabuli, GJ, Avakov, GS, & Sagona, A, 2004. A survey of modern pollen and vegetation along an altitudinal transect in southern Georgia, Caucasus region. Review of Palaeobotany and Palynology 129: 229-250."
93,1193,49,"Connor, SE, Thomas, I, Kvavadze, EV, Arabuli, GJ, Avakov, GS, & Sagona, A, 2004. A survey of modern pollen and vegetation along an altitudinal transect in southern Georgia, Caucasus region. Review of Palaeobotany and Palynology 129: 229-250."
94,1194,49,"Connor, SE, Thomas, I, Kvavadze, EV, Arabuli, GJ, Avakov, GS, & Sagona, A, 2004. A survey of modern pollen and vegetation along an altitudinal transect in southern Georgia, Caucasus region. Review of Palaeobotany and Palynology 129: 229-250."
95,1195,49,"Connor, SE, Thomas, I, Kvavadze, EV, Arabuli, GJ, Avakov, GS, & Sagona, A, 2004. A survey of modern pollen and vegetation along an altitudinal transect in southern Georgia, Caucasus region. Review of Palaeobotany and Palynology 129: 229-250."
96,1196,49,"Connor, SE, Thomas, I, Kvavadze, EV, Arabuli, GJ, Avakov, GS, & Sagona, A, 2004. A survey of modern pollen and vegetation along an altitudinal transect in southern Georgia, Caucasus region. Review of Palaeobotany and Palynology 129: 229-250."
97,1190,49,"Connor, SE, Thomas, I, Kvavadze, EV, Arabuli, GJ, Avakov, GS, & Sagona, A, 2004. A survey of modern pollen and vegetation along an altitudinal transect in southern Georgia, Caucasus region. Review of Palaeobotany and Palynology 129: 229-250."
98,1191,49,"Connor, SE, Thomas, I, Kvavadze, EV, Arabuli, GJ, Avakov, GS, & Sagona, A, 2004. A survey of modern pollen and vegetation along an altitudinal transect in southern Georgia, Caucasus region. Review of Palaeobotany and Palynology 129: 229-250."
99,1192,49,"Connor, SE, Thomas, I, Kvavadze, EV, Arabuli, GJ, Avakov, GS, & Sagona, A, 2004. A survey of modern pollen and vegetation along an altitudinal transect in southern Georgia, Caucasus region. Review of Palaeobotany and Palynology 129: 229-250."
100,1179,49,"Connor, SE, Thomas, I, Kvavadze, EV, Arabuli, GJ, Avakov, GS, & Sagona, A, 2004. A survey of modern pollen and vegetation along an altitudinal transect in southern Georgia, Caucasus region. Review of Palaeobotany and Palynology 129: 229-250."
101,1180,49,"Connor, SE, Thomas, I, Kvavadze, EV, Arabuli, GJ, Avakov, GS, & Sagona, A, 2004. A survey of modern pollen and vegetation along an altitudinal transect in southern Georgia, Caucasus region. Review of Palaeobotany and Palynology 129: 229-250."
102,1181,49,"Connor, SE, Thomas, I, Kvavadze, EV, Arabuli, GJ, Avakov, GS, & Sagona, A, 2004. A survey of modern pollen and vegetation along an altitudinal transect in southern Georgia, Caucasus region. Review of Palaeobotany and Palynology 129: 229-250."
103,1182,49,"Connor, SE, Thomas, I, Kvavadze, EV, Arabuli, GJ, Avakov, GS, & Sagona, A, 2004. A survey of modern pollen and vegetation along an altitudinal transect in southern Georgia, Caucasus region. Review of Palaeobotany and Palynology 129: 229-250."
104,5,49,"Connor, SE, Thomas, I, Kvavadze, EV, Arabuli, GJ, Avakov, GS, & Sagona, A, 2004. A survey of modern pollen and vegetation along an altitudinal transect in southern Georgia, Caucasus region. Review of Palaeobotany and Palynology 129: 229-250."
105,1186,49,"Connor, SE, Thomas, I, Kvavadze, EV, Arabuli, GJ, Avakov, GS, & Sagona, A, 2004. A survey of modern pollen and vegetation along an altitudinal transect in southern Georgia, Caucasus region. Review of Palaeobotany and Palynology 129: 229-250."
106,1187,49,"Connor, SE, Thomas, I, Kvavadze, EV, Arabuli, GJ, Avakov, GS, & Sagona, A, 2004. A survey of modern pollen and vegetation along an altitudinal transect in southern Georgia, Caucasus region. Review of Palaeobotany and Palynology 129: 229-250."
107,1188,49,"Connor, SE, Thomas, I, Kvavadze, EV, Arabuli, GJ, Avakov, GS, & Sagona, A, 2004. A survey of modern pollen and vegetation along an altitudinal transect in southern Georgia, Caucasus region. Review of Palaeobotany and Palynology 129: 229-250."
108,1189,49,"Connor, SE, Thomas, I, Kvavadze, EV, Arabuli, GJ, Avakov, GS, & Sagona, A, 2004. A survey of modern pollen and vegetation along an altitudinal transect in southern Georgia, Caucasus region. Review of Palaeobotany and Palynology 129: 229-250."
109,3,49,"Connor, SE, Thomas, I, Kvavadze, EV, Arabuli, GJ, Avakov, GS, & Sagona, A, 2004. A survey of modern pollen and vegetation along an altitudinal transect in southern Georgia, Caucasus region. Review of Palaeobotany and Palynology 129: 229-250."
110,1172,49,"Connor, SE, Thomas, I, Kvavadze, EV, Arabuli, GJ, Avakov, GS, & Sagona, A, 2004. A survey of modern pollen and vegetation along an altitudinal transect in southern Georgia, Caucasus region. Review of Palaeobotany and Palynology 129: 229-250."
111,1173,49,"Connor, SE, Thomas, I, Kvavadze, EV, Arabuli, GJ, Avakov, GS, & Sagona, A, 2004. A survey of modern pollen and vegetation along an altitudinal transect in southern Georgia, Caucasus region. Review of Palaeobotany and Palynology 129: 229-250."
112,1174,49,"Connor, SE, Thomas, I, Kvavadze, EV, Arabuli, GJ, Avakov, GS, & Sagona, A, 2004. A survey of modern pollen and vegetation along an altitudinal transect in southern Georgia, Caucasus region. Review of Palaeobotany and Palynology 129: 229-250."
113,2,49,"Connor, SE, Thomas, I, Kvavadze, EV, Arabuli, GJ, Avakov, GS, & Sagona, A, 2004. A survey of modern pollen and vegetation along an altitudinal transect in southern Georgia, Caucasus region. Review of Palaeobotany and Palynology 129: 229-250."
114,1197,49,"Connor, SE, Thomas, I, Kvavadze, EV, Arabuli, GJ, Avakov, GS, & Sagona, A, 2004. A survey of modern pollen and vegetation along an altitudinal transect in southern Georgia, Caucasus region. Review of Palaeobotany and Palynology 129: 229-250."
115,1169,49,"Connor, SE, Thomas, I, Kvavadze, EV, Arabuli, GJ, Avakov, GS, & Sagona, A, 2004. A survey of modern pollen and vegetation along an altitudinal transect in southern Georgia, Caucasus region. Review of Palaeobotany and Palynology 129: 229-250."
116,1170,49,"Connor, SE, Thomas, I, Kvavadze, EV, Arabuli, GJ, Avakov, GS, & Sagona, A, 2004. A survey of modern pollen and vegetation along an altitudinal transect in southern Georgia, Caucasus region. Review of Palaeobotany and Palynology 129: 229-250."
117,1171,49,"Connor, SE, Thomas, I, Kvavadze, EV, Arabuli, GJ, Avakov, GS, & Sagona, A, 2004. A survey of modern pollen and vegetation along an altitudinal transect in southern Georgia, Caucasus region. Review of Palaeobotany and Palynology 129: 229-250."
118,1183,49,"Connor, SE, Thomas, I, Kvavadze, EV, Arabuli, GJ, Avakov, GS, & Sagona, A, 2004. A survey of modern pollen and vegetation along an altitudinal transect in southern Georgia, Caucasus region. Review of Palaeobotany and Palynology 129: 229-250."
119,1184,49,"Connor, SE, Thomas, I, Kvavadze, EV, Arabuli, GJ, Avakov, GS, & Sagona, A, 2004. A survey of modern pollen and vegetation along an altitudinal transect in southern Georgia, Caucasus region. Review of Palaeobotany and Palynology 129: 229-250."
120,1185,49,"Connor, SE, Thomas, I, Kvavadze, EV, Arabuli, GJ, Avakov, GS, & Sagona, A, 2004. A survey of modern pollen and vegetation along an altitudinal transect in southern Georgia, Caucasus region. Review of Palaeobotany and Palynology 129: 229-250."
121,1175,49,"Connor, SE, Thomas, I, Kvavadze, EV, Arabuli, GJ, Avakov, GS, & Sagona, A, 2004. A survey of modern pollen and vegetation along an altitudinal transect in southern Georgia, Caucasus region. Review of Palaeobotany and Palynology 129: 229-250."
122,1176,49,"Connor, SE, Thomas, I, Kvavadze, EV, Arabuli, GJ, Avakov, GS, & Sagona, A, 2004. A survey of modern pollen and vegetation along an altitudinal transect in southern Georgia, Caucasus region. Review of Palaeobotany and Palynology 129: 229-250."
123,1177,49,"Connor, SE, Thomas, I, Kvavadze, EV, Arabuli, GJ, Avakov, GS, & Sagona, A, 2004. A survey of modern pollen and vegetation along an altitudinal transect in southern Georgia, Caucasus region. Review of Palaeobotany and Palynology 129: 229-250."
124,1178,49,"Connor, SE, Thomas, I, Kvavadze, EV, Arabuli, GJ, Avakov, GS, & Sagona, A, 2004. A survey of modern pollen and vegetation along an altitudinal transect in southern Georgia, Caucasus region. Review of Palaeobotany and Palynology 129: 229-250."
125,2086,50,"Connor, Simon Edward (2006) A promethean legacy: late quaternary vegetation history of Southern Georgia, Caucasus. PhD Thesis, Faculty of Arts, Social and Environmental Enquiry, University of Melbourne."
126,2087,50,"Connor, Simon Edward (2006) A promethean legacy: late quaternary vegetation history of Southern Georgia, Caucasus. PhD Thesis, Faculty of Arts, Social and Environmental Enquiry, University of Melbourne."
127,2088,50,"Connor, Simon Edward (2006) A promethean legacy: late quaternary vegetation history of Southern Georgia, Caucasus. PhD Thesis, Faculty of Arts, Social and Environmental Enquiry, University of Melbourne."
128,2083,50,"Connor, Simon Edward (2006) A promethean legacy: late quaternary vegetation history of Southern Georgia, Caucasus. PhD Thesis, Faculty of Arts, Social and Environmental Enquiry, University of Melbourne."
129,2084,50,"Connor, Simon Edward (2006) A promethean legacy: late quaternary vegetation history of Southern Georgia, Caucasus. PhD Thesis, Faculty of Arts, Social and Environmental Enquiry, University of Melbourne."
130,2085,50,"Connor, Simon Edward (2006) A promethean legacy: late quaternary vegetation history of Southern Georgia, Caucasus. PhD Thesis, Faculty of Arts, Social and Environmental Enquiry, University of Melbourne."
131,2081,50,"Connor, Simon Edward (2006) A promethean legacy: late quaternary vegetation history of Southern Georgia, Caucasus. PhD Thesis, Faculty of Arts, Social and Environmental Enquiry, University of Melbourne."
132,2082,50,"Connor, Simon Edward (2006) A promethean legacy: late quaternary vegetation history of Southern Georgia, Caucasus. PhD Thesis, Faculty of Arts, Social and Environmental Enquiry, University of Melbourne."
133,2089,50,"Connor, Simon Edward (2006) A promethean legacy: late quaternary vegetation history of Southern Georgia, Caucasus. PhD Thesis, Faculty of Arts, Social and Environmental Enquiry, University of Melbourne."
134,2090,50,"Connor, Simon Edward (2006) A promethean legacy: late quaternary vegetation history of Southern Georgia, Caucasus. PhD Thesis, Faculty of Arts, Social and Environmental Enquiry, University of Melbourne."
135,2091,50,"Connor, Simon Edward (2006) A promethean legacy: late quaternary vegetation history of Southern Georgia, Caucasus. PhD Thesis, Faculty of Arts, Social and Environmental Enquiry, University of Melbourne."
136,2092,50,"Connor, Simon Edward (2006) A promethean legacy: late quaternary vegetation history of Southern Georgia, Caucasus. PhD Thesis, Faculty of Arts, Social and Environmental Enquiry, University of Melbourne."
137,2093,50,"Connor, Simon Edward (2006) A promethean legacy: late quaternary vegetation history of Southern Georgia, Caucasus. PhD Thesis, Faculty of Arts, Social and Environmental Enquiry, University of Melbourne."
138,2095,50,"Connor, Simon Edward (2006) A promethean legacy: late quaternary vegetation history of Southern Georgia, Caucasus. PhD Thesis, Faculty of Arts, Social and Environmental Enquiry, University of Melbourne."
139,2094,50,"Connor, Simon Edward (2006) A promethean legacy: late quaternary vegetation history of Southern Georgia, Caucasus. PhD Thesis, Faculty of Arts, Social and Environmental Enquiry, University of Melbourne."
140,4,50,"Connor, Simon Edward (2006) A promethean legacy: late quaternary vegetation history of Southern Georgia, Caucasus. PhD Thesis, Faculty of Arts, Social and Environmental Enquiry, University of Melbourne."
141,1309,51,"Cordova CE, Lehman PH (2003) Archaeopalynology of synanthropic vegetation in the chora of Chersonesos, Crimea, Ukraine. Journal of Archaeological Science 30 (11):1483-1501"
142,1310,51,"Cordova CE, Lehman PH (2003) Archaeopalynology of synanthropic vegetation in the chora of Chersonesos, Crimea, Ukraine. Journal of Archaeological Science 30 (11):1483-1501"
143,1311,51,"Cordova CE, Lehman PH (2003) Archaeopalynology of synanthropic vegetation in the chora of Chersonesos, Crimea, Ukraine. Journal of Archaeological Science 30 (11):1483-1501"
144,1313,51,"Cordova CE, Lehman PH (2003) Archaeopalynology of synanthropic vegetation in the chora of Chersonesos, Crimea, Ukraine. Journal of Archaeological Science 30 (11):1483-1501"
146,1095,51,"Cordova CE, Lehman PH (2003) Archaeopalynology of synanthropic vegetation in the chora of Chersonesos, Crimea, Ukraine. Journal of Archaeological Science 30 (11):1483-1501"
147,1094,52,"Cordova, C.E. (2007). Millenial Landscape Change in Jordan: Geoarchaeology and Cultural Ecology. Tucson: University of Arizona Pres 272 p."
148,1284,53,"Cordova, C.E. (2007). Millenial Landscape Change in Jordan: Geoarchaeology and Cultural. The University of Arizona Press, Tucson, Arizona"
149,1293,53,"Cordova, C.E. (2007). Millenial Landscape Change in Jordan: Geoarchaeology and Cultural. The University of Arizona Press, Tucson, Arizona"
150,1294,53,"Cordova, C.E. (2007). Millenial Landscape Change in Jordan: Geoarchaeology and Cultural. The University of Arizona Press, Tucson, Arizona"
151,1295,53,"Cordova, C.E. (2007). Millenial Landscape Change in Jordan: Geoarchaeology and Cultural. The University of Arizona Press, Tucson, Arizona"
152,1296,53,"Cordova, C.E. (2007). Millenial Landscape Change in Jordan: Geoarchaeology and Cultural. The University of Arizona Press, Tucson, Arizona"
153,1297,53,"Cordova, C.E. (2007). Millenial Landscape Change in Jordan: Geoarchaeology and Cultural. The University of Arizona Press, Tucson, Arizona"
154,1298,53,"Cordova, C.E. (2007). Millenial Landscape Change in Jordan: Geoarchaeology and Cultural. The University of Arizona Press, Tucson, Arizona"
155,1299,53,"Cordova, C.E. (2007). Millenial Landscape Change in Jordan: Geoarchaeology and Cultural. The University of Arizona Press, Tucson, Arizona"
156,1285,53,"Cordova, C.E. (2007). Millenial Landscape Change in Jordan: Geoarchaeology and Cultural. The University of Arizona Press, Tucson, Arizona"
157,1286,53,"Cordova, C.E. (2007). Millenial Landscape Change in Jordan: Geoarchaeology and Cultural. The University of Arizona Press, Tucson, Arizona"
158,1287,53,"Cordova, C.E. (2007). Millenial Landscape Change in Jordan: Geoarchaeology and Cultural. The University of Arizona Press, Tucson, Arizona"
159,1288,53,"Cordova, C.E. (2007). Millenial Landscape Change in Jordan: Geoarchaeology and Cultural. The University of Arizona Press, Tucson, Arizona"
160,1289,53,"Cordova, C.E. (2007). Millenial Landscape Change in Jordan: Geoarchaeology and Cultural. The University of Arizona Press, Tucson, Arizona"
161,1290,53,"Cordova, C.E. (2007). Millenial Landscape Change in Jordan: Geoarchaeology and Cultural. The University of Arizona Press, Tucson, Arizona"
162,1291,53,"Cordova, C.E. (2007). Millenial Landscape Change in Jordan: Geoarchaeology and Cultural. The University of Arizona Press, Tucson, Arizona"
163,1292,53,"Cordova, C.E. (2007). Millenial Landscape Change in Jordan: Geoarchaeology and Cultural. The University of Arizona Press, Tucson, Arizona"
165,1300,54,"Cordova, C.E. and P.H. Lehman. 2005. Holocene environmental change in southwestern Crimea (Ukraine) in pollen and soil records.  The Holocene 15:263-277."
166,1308,54,"Cordova, C.E. and P.H. Lehman. 2005. Holocene environmental change in southwestern Crimea (Ukraine) in pollen and soil records.  The Holocene 15:263-277."
167,1309,54,"Cordova, C.E. and P.H. Lehman. 2005. Holocene environmental change in southwestern Crimea (Ukraine) in pollen and soil records.  The Holocene 15:263-277."
168,1310,54,"Cordova, C.E. and P.H. Lehman. 2005. Holocene environmental change in southwestern Crimea (Ukraine) in pollen and soil records.  The Holocene 15:263-277."
169,1301,54,"Cordova, C.E. and P.H. Lehman. 2005. Holocene environmental change in southwestern Crimea (Ukraine) in pollen and soil records.  The Holocene 15:263-277."
170,1311,54,"Cordova, C.E. and P.H. Lehman. 2005. Holocene environmental change in southwestern Crimea (Ukraine) in pollen and soil records.  The Holocene 15:263-277."
171,1302,54,"Cordova, C.E. and P.H. Lehman. 2005. Holocene environmental change in southwestern Crimea (Ukraine) in pollen and soil records.  The Holocene 15:263-277."
172,1312,54,"Cordova, C.E. and P.H. Lehman. 2005. Holocene environmental change in southwestern Crimea (Ukraine) in pollen and soil records.  The Holocene 15:263-277."
173,1313,54,"Cordova, C.E. and P.H. Lehman. 2005. Holocene environmental change in southwestern Crimea (Ukraine) in pollen and soil records.  The Holocene 15:263-277."
174,1303,54,"Cordova, C.E. and P.H. Lehman. 2005. Holocene environmental change in southwestern Crimea (Ukraine) in pollen and soil records.  The Holocene 15:263-277."
175,1304,54,"Cordova, C.E. and P.H. Lehman. 2005. Holocene environmental change in southwestern Crimea (Ukraine) in pollen and soil records.  The Holocene 15:263-277."
176,1305,54,"Cordova, C.E. and P.H. Lehman. 2005. Holocene environmental change in southwestern Crimea (Ukraine) in pollen and soil records.  The Holocene 15:263-277."
177,1306,54,"Cordova, C.E. and P.H. Lehman. 2005. Holocene environmental change in southwestern Crimea (Ukraine) in pollen and soil records.  The Holocene 15:263-277."
178,1307,54,"Cordova, C.E. and P.H. Lehman. 2005. Holocene environmental change in southwestern Crimea (Ukraine) in pollen and soil records.  The Holocene 15:263-277."
183,1095,54,"Cordova, C.E. and P.H. Lehman. 2005. Holocene environmental change in southwestern Crimea (Ukraine) in pollen and soil records.  The Holocene 15:263-277."
189,1366,57,"Djamali M, de Beaulieu JL, Campagne P, Andrieu-Ponel V, Ponel P, Leroy SAG, Akhani H (2009) Modern pollen rain-vegetation relationships along a forest-steppe transect in the Golestan National Park, NE Iran. Review of Palaeobotany and palynology 153 (3-4):272-28"
190,1375,57,"Djamali M, de Beaulieu JL, Campagne P, Andrieu-Ponel V, Ponel P, Leroy SAG, Akhani H (2009) Modern pollen rain-vegetation relationships along a forest-steppe transect in the Golestan National Park, NE Iran. Review of Palaeobotany and palynology 153 (3-4):272-28"
191,1376,57,"Djamali M, de Beaulieu JL, Campagne P, Andrieu-Ponel V, Ponel P, Leroy SAG, Akhani H (2009) Modern pollen rain-vegetation relationships along a forest-steppe transect in the Golestan National Park, NE Iran. Review of Palaeobotany and palynology 153 (3-4):272-28"
192,1377,57,"Djamali M, de Beaulieu JL, Campagne P, Andrieu-Ponel V, Ponel P, Leroy SAG, Akhani H (2009) Modern pollen rain-vegetation relationships along a forest-steppe transect in the Golestan National Park, NE Iran. Review of Palaeobotany and palynology 153 (3-4):272-28"
193,1378,57,"Djamali M, de Beaulieu JL, Campagne P, Andrieu-Ponel V, Ponel P, Leroy SAG, Akhani H (2009) Modern pollen rain-vegetation relationships along a forest-steppe transect in the Golestan National Park, NE Iran. Review of Palaeobotany and palynology 153 (3-4):272-28"
194,1379,57,"Djamali M, de Beaulieu JL, Campagne P, Andrieu-Ponel V, Ponel P, Leroy SAG, Akhani H (2009) Modern pollen rain-vegetation relationships along a forest-steppe transect in the Golestan National Park, NE Iran. Review of Palaeobotany and palynology 153 (3-4):272-28"
195,1380,57,"Djamali M, de Beaulieu JL, Campagne P, Andrieu-Ponel V, Ponel P, Leroy SAG, Akhani H (2009) Modern pollen rain-vegetation relationships along a forest-steppe transect in the Golestan National Park, NE Iran. Review of Palaeobotany and palynology 153 (3-4):272-28"
196,1381,57,"Djamali M, de Beaulieu JL, Campagne P, Andrieu-Ponel V, Ponel P, Leroy SAG, Akhani H (2009) Modern pollen rain-vegetation relationships along a forest-steppe transect in the Golestan National Park, NE Iran. Review of Palaeobotany and palynology 153 (3-4):272-28"
197,1382,57,"Djamali M, de Beaulieu JL, Campagne P, Andrieu-Ponel V, Ponel P, Leroy SAG, Akhani H (2009) Modern pollen rain-vegetation relationships along a forest-steppe transect in the Golestan National Park, NE Iran. Review of Palaeobotany and palynology 153 (3-4):272-28"
198,1383,57,"Djamali M, de Beaulieu JL, Campagne P, Andrieu-Ponel V, Ponel P, Leroy SAG, Akhani H (2009) Modern pollen rain-vegetation relationships along a forest-steppe transect in the Golestan National Park, NE Iran. Review of Palaeobotany and palynology 153 (3-4):272-28"
199,1367,57,"Djamali M, de Beaulieu JL, Campagne P, Andrieu-Ponel V, Ponel P, Leroy SAG, Akhani H (2009) Modern pollen rain-vegetation relationships along a forest-steppe transect in the Golestan National Park, NE Iran. Review of Palaeobotany and palynology 153 (3-4):272-28"
200,1368,57,"Djamali M, de Beaulieu JL, Campagne P, Andrieu-Ponel V, Ponel P, Leroy SAG, Akhani H (2009) Modern pollen rain-vegetation relationships along a forest-steppe transect in the Golestan National Park, NE Iran. Review of Palaeobotany and palynology 153 (3-4):272-28"
201,1369,57,"Djamali M, de Beaulieu JL, Campagne P, Andrieu-Ponel V, Ponel P, Leroy SAG, Akhani H (2009) Modern pollen rain-vegetation relationships along a forest-steppe transect in the Golestan National Park, NE Iran. Review of Palaeobotany and palynology 153 (3-4):272-28"
202,1370,57,"Djamali M, de Beaulieu JL, Campagne P, Andrieu-Ponel V, Ponel P, Leroy SAG, Akhani H (2009) Modern pollen rain-vegetation relationships along a forest-steppe transect in the Golestan National Park, NE Iran. Review of Palaeobotany and palynology 153 (3-4):272-28"
203,1371,57,"Djamali M, de Beaulieu JL, Campagne P, Andrieu-Ponel V, Ponel P, Leroy SAG, Akhani H (2009) Modern pollen rain-vegetation relationships along a forest-steppe transect in the Golestan National Park, NE Iran. Review of Palaeobotany and palynology 153 (3-4):272-28"
204,1372,57,"Djamali M, de Beaulieu JL, Campagne P, Andrieu-Ponel V, Ponel P, Leroy SAG, Akhani H (2009) Modern pollen rain-vegetation relationships along a forest-steppe transect in the Golestan National Park, NE Iran. Review of Palaeobotany and palynology 153 (3-4):272-28"
205,1373,57,"Djamali M, de Beaulieu JL, Campagne P, Andrieu-Ponel V, Ponel P, Leroy SAG, Akhani H (2009) Modern pollen rain-vegetation relationships along a forest-steppe transect in the Golestan National Park, NE Iran. Review of Palaeobotany and palynology 153 (3-4):272-28"
